finished?,stimulus_name,noun,noun_type,frequency,speaker,gaze,noise,carrier,sentence_onset_sec,sentence_onset_frames,carrier_onset_sec,carrier_onset_frames,noun_onset_sec,noun_onset_frames,noun_offset_sec,noun_offset_frames,sentence_offset_sec,sentence_offset_frames,gaze_onset_sec,gaze_onset_frames,gaze_offset_sec,gaze_offset_frames,trial_onset,trial_offset_sec,trial_offset_frames
yes,gr_sa_bosa_nonoise_hey,bosa,novel,none,gr,straight_ahead,no_noise,hey,3,3,4,8,5,10,5,27,5,27,NA,NA,NA,NA,0,7,27
yes,gr_sa_bosa_nonoise_look,bosa,novel,none,gr,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22
yes,gr_sa_modi_nonoise_hey,modi,novel,none,gr,straight_ahead,no_noise,hey,2,29,3,25,4,24,5,10,5,10,NA,NA,NA,NA,0,7,10
yes,gr_sa_modi_nonoise_look,modi,novel,none,gr,straight_ahead,no_noise,look,3,23,5,1,5,21,6,5,6,5,NA,NA,NA,NA,0,8,6
yes,gr_sa_pifo_nonoise_hey,pifo,novel,none,gr,straight_ahead,no_noise,hey,2,27,4,1,5,3,5,20,5,20,NA,NA,NA,NA,0,7,20
yes,gr_sa_pifo_nonoise_look,pifo,novel,none,gr,straight_ahead,no_noise,look,3,5,4,11,5,1,5,20,5,20,NA,NA,NA,NA,0,7,20
yes,gr_sa_toma_nonoise_hey,toma,novel,none,gr,straight_ahead,no_noise,hey,3,1,4,6,5,8,5,25,5,25,NA,NA,NA,NA,0,7,25
yes,gr_sa_toma_nonoise_look,toma,novel,none,gr,straight_ahead,no_noise,look,3,18,4,29,5,19,6,4,6,4,NA,NA,NA,NA,0,8,4
yes,gr_dl_bosa_nonoise_hey,bosa,novel,none,gr,down_left,no_noise,hey,3,7,4,5,5,6,5,24,5,24,6,8,8,5,0,10,24
yes,gr_dl_bosa_nonoise_look,bosa,novel,none,gr,down_left,no_noise,look,2,17,3,21,4,11,4,29,4,29,5,7,7,0,0,9,13
yes,gr_dr_bosa_nonoise_hey,bosa,novel,none,gr,down_right,no_noise,hey,3,7,4,5,5,6,5,24,5,24,6,8,8,5,0,10,24
yes,gr_dr_bosa_nonosie_look,bosa,novel,none,gr,down_right,no_noise,look,2,17,3,21,4,11,4,29,4,29,5,7,7,0,0,9,13
yes,gr_dl_modi_nonoise_hey,modi,novel,none,gr,down_left,no_noise,hey,3,6,4,6,5,9,5,24,5,24,6,0,7,28,0,10,18
yes,gr_dl_modi_nonoise_look,modi,novel,none,gr,down_left,no_noise,look,3,8,4,23,5,11,5,28,5,28,6,3,7,29,0,10,11
yes,gr_dr_modi_nonoise_hey,modi,novel,none,gr,down_right,no_noise,hey,3,6,4,6,5,9,5,24,5,24,6,0,7,28,0,10,18
yes,gr_dr_modi_nonosie_look,modi,novel,none,gr,down_right,no_noise,look,3,8,4,23,5,11,5,28,5,28,6,3,7,29,0,10,11
yes,gr_dl_pifo_nonoise_hey,pifo,novel,none,gr,down_left,no_noise,hey,3,10,4,6,5,11,5,26,5,26,6,5,8,1,0,10,18
yes,gr_dl_pifo_nonoise_look,pifo,novel,none,gr,down_left,no_noise,look,2,27,4,6,4,25,5,12,5,12,5,16,7,9,0,9,28
yes,gr_dr_pifo_nonoise_hey,pifo,novel,none,gr,down_right,no_noise,hey,3,10,4,6,5,11,5,26,5,26,6,5,8,1,0,10,18
yes,gr_dr_pifo_nonoise_look,pifo,novel,none,gr,down_right,no_noise,look,2,27,4,6,4,25,5,12,5,12,5,16,7,9,0,9,28
yes,gr_dl_toma_nonoise_hey,toma,novel,none,gr,down_left,no_noise,hey,3,13,4,13,5,15,6,3,6,3,6,15,8,10,0,10,24
yes,gr_dl_toma_nonoise_look,toma,novel,none,gr,down_left,no_noise,look,2,17,4,1,4,20,5,7,5,7,5,12,7,4,0,9,18
yes,gr_dr_toma_nonoise_hey,toma,novel,none,gr,down_right,no_noise,hey,3,13,4,13,5,15,6,3,6,3,6,15,8,10,0,10,24
yes,gr_dr_toma_nonosie_look,toma,novel,none,gr,down_right,no_noise,look,2,17,4,1,4,20,5,7,5,7,5,12,7,4,0,9,18
yes,ol_sa_bosa_nonoise_hey,bosa,novel,none,ol,straight_ahead,no_noise,hey,3,13,4,22,5,22,6,10,6,10,NA,NA,NA,NA,0,8,11
yes,ol_sa_bosa_nonoise_look,bosa,novel,none,ol,straight_ahead,no_noise,look,3,2,4,15,5,8,5,28,5,28,NA,NA,NA,NA,0,9,0
yes,ol_sa_modi_nonoise_hey,modi,novel,none,ol,straight_ahead,no_noise,hey,2,26,4,3,5,1,5,19,5,19,NA,NA,NA,NA,0,7,20
yes,ol_sa_modi_nonoise_look,modi,novel,none,ol,straight_ahead,no_noise,look,2,29,4,11,4,28,5,16,5,16,NA,NA,NA,NA,0,7,16
yes,ol_sa_pifo_noise_hey,pifo,novel,none,ol,straight_ahead,noise,hey,2,29,4,7,5,4,5,24,5,24,NA,NA,NA,NA,0,8,24
yes,ol_sa_pifo_nonoise_look,pifo,novel,none,ol,straight_ahead,no_noise,look,3,18,5,0,5,19,6,10,6,10,NA,NA,NA,NA,0,8,11
