stimulus_name,trial_num_exp,learning_block,gaze_block,trial_num_gaze_block,trial_num_learn_block,left_image,right_image,target_word,target_side,distractor_image,target_image,carrier_phrase,gaze_direction,gaze_target,trial_type,gaze_condition,speaker,order_name,order_number
ol_sa_modi_nonoise_hey,1,1,1,1,1,Novel12.jpg,Novel16.jpg,modi,right,Novel12.jpg,Novel16.jpg,hey,straight_ahead,NA,exposure,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_modi_nonoise_hey,2,1,1,2,1,Novel16.jpg,Novel3.jpg,modi,left,Novel3.jpg,Novel16.jpg,hey,straight_ahead,NA,test,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_modi_nonoise_look,3,1,1,3,2,Novel19.jpg,Novel16.jpg,modi,right,Novel19.jpg,Novel16.jpg,look,straight_ahead,NA,exposure,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_modi_nonoise_look,4,1,1,4,2,Novel16.jpg,Novel4.jpg,modi,left,Novel4.jpg,Novel16.jpg,look,straight_ahead,NA,test,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_modi_nonoise_hey,5,1,1,5,3,Novel16.jpg,Novel14.jpg,modi,left,Novel14.jpg,Novel16.jpg,hey,straight_ahead,NA,exposure,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_modi_nonoise_hey,6,1,1,6,3,Novel16.jpg,Novel2.jpg,modi,left,Novel2.jpg,Novel16.jpg,hey,straight_ahead,NA,test,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_modi_nonoise_look,7,1,1,7,4,Novel13.jpg,Novel16.jpg,modi,right,Novel13.jpg,Novel16.jpg,look,straight_ahead,NA,exposure,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_modi_nonoise_look,8,1,1,8,4,Novel20.jpg,Novel16.jpg,modi,right,Novel20.jpg,Novel16.jpg,look,straight_ahead,NA,test,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_toma_nonoise_hey,9,2,1,9,1,Novel6.jpg,Novel8.jpg,toma,right,Novel6.jpg,Novel8.jpg,hey,straight_ahead,NA,exposure,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_toma_nonoise_hey,10,2,1,10,1,Novel8.jpg,Novel26.jpg,toma,left,Novel26.jpg,Novel8.jpg,hey,straight_ahead,NA,test,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_toma_nonoise_look,11,2,1,11,2,Novel17.jpg,Novel8.jpg,toma,right,Novel17.jpg,Novel8.jpg,look,straight_ahead,NA,exposure,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_toma_nonoise_look,12,2,1,12,2,Novel8.jpg,Novel18.jpg,toma,left,Novel18.jpg,Novel8.jpg,look,straight_ahead,NA,test,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_toma_nonoise_hey,13,2,1,13,3,Novel8.jpg,Novel1.jpg,toma,left,Novel1.jpg,Novel8.jpg,hey,straight_ahead,NA,exposure,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_toma_nonoise_hey,14,2,1,14,3,Novel8.jpg,Novel10.jpg,toma,left,Novel10.jpg,Novel8.jpg,hey,straight_ahead,NA,test,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_toma_nonoise_look,15,2,1,15,4,Novel5.jpg,Novel8.jpg,toma,right,Novel5.jpg,Novel8.jpg,look,straight_ahead,NA,exposure,straight_ahead,olivia,nogaze_gaze_ol_gr,2
ol_sa_toma_nonoise_look,16,2,1,16,4,Novel28.jpg,Novel8.jpg,toma,right,Novel28.jpg,Novel8.jpg,look,straight_ahead,NA,test,straight_ahead,olivia,nogaze_gaze_ol_gr,2
gr_dr_pifo_nonoise_hey,17,3,2,1,1,Novel5.jpg,Novel15.jpg,pifo,right,Novel5.jpg,Novel15.jpg,hey,right,pifo,exposure,gaze,grace,nogaze_gaze_ol_gr,2
gr_sa_pifo_nonoise_hey,18,3,2,2,1,Novel15.jpg,Novel28.jpg,pifo,left,Novel28.jpg,Novel15.jpg,hey,straight_ahead,NA,test,gaze,grace,nogaze_gaze_ol_gr,2
gr_dr_pifo_nonoise_look,19,3,2,3,2,Novel23.jpg,Novel15.jpg,pifo,right,Novel23.jpg,Novel15.jpg,look,right,pifo,exposure,gaze,grace,nogaze_gaze_ol_gr,2
gr_sa_pifo_nonoise_look,20,3,2,4,2,Novel15.jpg,Novel20.jpg,pifo,left,Novel20.jpg,Novel15.jpg,look,straight_ahead,NA,test,gaze,grace,nogaze_gaze_ol_gr,2
gr_dl_pifo_nonoise_hey,21,3,2,5,3,Novel15.jpg,Novel10.jpg,pifo,left,Novel10.jpg,Novel15.jpg,hey,left,pifo,exposure,gaze,grace,nogaze_gaze_ol_gr,2
gr_sa_pifo_nonoise_hey,22,3,2,6,3,Novel15.jpg,Novel14.jpg,pifo,left,Novel14.jpg,Novel15.jpg,hey,straight_ahead,NA,test,gaze,grace,nogaze_gaze_ol_gr,2
gr_dr_pifo_nonoise_look,23,3,2,7,4,Novel4.jpg,Novel15.jpg,pifo,right,Novel4.jpg,Novel15.jpg,look,right,pifo,exposure,gaze,grace,nogaze_gaze_ol_gr,2
gr_sa_pifo_nonoise_look,24,3,2,8,4,Novel9.jpg,Novel15.jpg,pifo,right,Novel9.jpg,Novel15.jpg,look,straight_ahead,NA,test,gaze,grace,nogaze_gaze_ol_gr,2
gr_dr_bosa_nonoise_hey,25,4,2,9,1,Novel21.jpg,Novel11.jpg,bosa,right,Novel21.jpg,Novel11.jpg,hey,right,bosa,exposure,gaze,grace,nogaze_gaze_ol_gr,2
gr_sa_bosa_nonoise_hey,26,4,2,10,1,Novel11.jpg,Novel19.jpg,bosa,left,Novel19.jpg,Novel11.jpg,hey,straight_ahead,NA,test,gaze,grace,nogaze_gaze_ol_gr,2
gr_dr_bosa_nonoise_look,27,4,2,11,2,Novel1.jpg,Novel11.jpg,bosa,right,Novel1.jpg,Novel11.jpg,look,right,bosa,exposure,gaze,grace,nogaze_gaze_ol_gr,2
gr_sa_bosa_nonoise_look,28,4,2,12,2,Novel11.jpg,Novel25.jpg,bosa,left,Novel25.jpg,Novel11.jpg,look,straight_ahead,NA,test,gaze,grace,nogaze_gaze_ol_gr,2
gr_dl_bosa_nonoise_hey,29,4,2,13,3,Novel11.jpg,Novel3.jpg,bosa,left,Novel3.jpg,Novel11.jpg,hey,left,bosa,exposure,gaze,grace,nogaze_gaze_ol_gr,2
gr_sa_bosa_nonoise_hey,30,4,2,14,3,Novel11.jpg,Novel26.jpg,bosa,left,Novel26.jpg,Novel11.jpg,hey,straight_ahead,NA,test,gaze,grace,nogaze_gaze_ol_gr,2
gr_dr_bosa_nonoise_look,31,4,2,15,4,Novel12.jpg,Novel11.jpg,bosa,right,Novel12.jpg,Novel11.jpg,look,right,bosa,exposure,gaze,grace,nogaze_gaze_ol_gr,2
gr_sa_bosa_nonoise_look,32,4,2,16,4,Novel7.jpg,Novel11.jpg,bosa,right,Novel7.jpg,Novel11.jpg,look,straight_ahead,NA,test,gaze,grace,nogaze_gaze_ol_gr,2
