stimulus_name,trial_num_exp,trial_num_internal,trial_num_learn_block,left_image,right_image,target_word,target_side,distractor_image,target_image,carrier_phrase,gaze_direction,gaze_target,trial_type,gaze_condition,speaker,order_name,order_number
gr_dr_bosa_nonoise_hey,1,1,1,Novel12.jpg,Novel27.jpg,bosa,right,Novel12.jpg,Novel27.jpg,hey,right,bosa,exposure,gaze,grace,gaze_2,4
gr_dl_toma_nonoise_hey,2,2,1,Novel9.jpg,Novel2.jpg,toma,left,Novel2.jpg,Novel9.jpg,hey,left,toma,exposure,gaze,grace,gaze_2,4
gr_toma_nonoise_look_audio,3,3,1,Novel27.jpg,Novel9.jpg,toma,right,Novel27.jpg,Novel9.jpg,look,NA,NA,test,gaze,grace,gaze_2,4
gr_dl_bosa_nonoise_hey,4,1,2,Novel27.jpg,Novel7.jpg,bosa,left,Novel7.jpg,Novel27.jpg,hey,left,bosa,exposure,gaze,grace,gaze_2,4
gr_dl_toma_nonoise_look,5,2,2,Novel9.jpg,Novel21.jpg,toma,left,Novel21.jpg,Novel9.jpg,look,left,toma,exposure,gaze,grace,gaze_2,4
gr_bosa_nonoise_look_audio,6,3,2,Novel9.jpg,Novel27.jpg,bosa,right,Novel9.jpg,Novel27.jpg,look,NA,NA,test,gaze,grace,gaze_2,4
gr_dl_bosa_nonoise_hey,7,1,3,Novel27.jpg,Novel11.jpg,bosa,left,Novel11.jpg,Novel27.jpg,hey,left,bosa,exposure,gaze,grace,gaze_2,4
gr_dr_toma_nonoise_hey,8,2,3,Novel10.jpg,Novel9.jpg,toma,right,Novel10.jpg,Novel9.jpg,hey,right,toma,exposure,gaze,grace,gaze_2,4
gr_toma_nonoise_look_audio,9,3,3,Novel9.jpg,Novel27.jpg,toma,left,Novel27.jpg,Novel9.jpg,look,NA,NA,test,gaze,grace,gaze_2,4
gr_dr_bosa_nonoise_hey,10,1,4,Novel4.jpg,Novel27.jpg,bosa,right,Novel4.jpg,Novel27.jpg,hey,right,bosa,exposure,gaze,grace,gaze_2,4
gr_dr_toma_nonoise_look,11,2,4,Novel17.jpg,Novel9.jpg,toma,right,Novel17.jpg,Novel9.jpg,look,right,toma,exposure,gaze,grace,gaze_2,4
gr_bosa_nonoise_look_audio,12,3,4,Novel27.jpg,Novel9.jpg,bosa,left,Novel9.jpg,Novel27.jpg,look,NA,NA,test,gaze,grace,gaze_2,4
gr_dr_bosa_nonoise_hey,13,1,5,Novel24.jpg,Novel27.jpg,bosa,right,Novel24.jpg,Novel27.jpg,hey,right,bosa,exposure,gaze,grace,gaze_2,4
gr_dl_toma_nonoise_hey,14,2,5,Novel9.jpg,Novel14.jpg,toma,left,Novel14.jpg,Novel9.jpg,hey,left,toma,exposure,gaze,grace,gaze_2,4
gr_bosa_nonoise_look_audio,15,3,5,Novel9.jpg,Novel27.jpg,bosa,right,Novel9.jpg,Novel27.jpg,look,NA,NA,test,gaze,grace,gaze_2,4
gr_dl_bosa_nonoise_hey,16,1,6,Novel27.jpg,Novel23.jpg,bosa,left,Novel23.jpg,Novel27.jpg,hey,left,bosa,exposure,gaze,grace,gaze_2,4
gr_dl_toma_nonoise_look,17,2,6,Novel9.jpg,Novel22.jpg,toma,left,Novel22.jpg,Novel9.jpg,look,left,toma,exposure,gaze,grace,gaze_2,4
gr_toma_nonoise_look_audio,18,3,6,Novel27.jpg,Novel9.jpg,toma,right,Novel27.jpg,Novel9.jpg,look,NA,NA,test,gaze,grace,gaze_2,4
gr_dl_bosa_nonoise_hey,19,1,7,Novel27.jpg,Novel15.jpg,bosa,left,Novel15.jpg,Novel27.jpg,hey,left,bosa,exposure,gaze,grace,gaze_2,4
gr_dr_toma_nonoise_hey,20,2,7,Novel13.jpg,Novel9.jpg,toma,right,Novel13.jpg,Novel9.jpg,hey,right,toma,exposure,gaze,grace,gaze_2,4
gr_toma_nonoise_look_audio,21,3,7,Novel9.jpg,Novel27.jpg,toma,left,Novel27.jpg,Novel9.jpg,look,NA,NA,test,gaze,grace,gaze_2,4
gr_dr_bosa_nonoise_hey,22,1,8,Novel26.jpg,Novel27.jpg,bosa,right,Novel26.jpg,Novel27.jpg,hey,right,bosa,exposure,gaze,grace,gaze_2,4
gr_dr_toma_nonoise_look,23,2,8,Novel25.jpg,Novel9.jpg,toma,right,Novel25.jpg,Novel9.jpg,look,right,toma,exposure,gaze,grace,gaze_2,4
gr_bosa_nonoise_look_audio,24,3,8,Novel27.jpg,Novel9.jpg,bosa,left,Novel9.jpg,Novel27.jpg,look,NA,NA,test,gaze,grace,gaze_2,4
