subid,condition,keep,gender,age,exp.time,notes,old_subid
020816_01,gaze,y,f,18-21,,,pn15
020916_01,nogaze,y,f,18-21,,,pn16
020916_02,gaze,y,m,18-21,,,pn17
020916_03,nogaze,y,m,18-21,,,pn18
021016_01,nogaze,y,m,18-21,,,pn19
021016_02,gaze,y,f,18-21,,,pn20
021216_01,gaze,y,f,< 18,160.449,,
021216_02,nogaze,y,m,18-21,160.35,,
021616_01,nogaze,y,m,18-21,158.45,,
021616_02,gaze,y,f,18-21,160.35,,
021616_03,nogaze,y,f,18-21,158.517,,
021616_04,gaze,y,f,18-21,160.749,,
021716_01,gaze,y,m,18-21,160.45,,
021916_01,nogaze,y,m,18-21,159.216,,
021916_02,gaze,y,f,18-21,160.882,,
021916_03,nogaze,y,f,18-21,158.85,,
021916_04,gaze,y,f,18-21,160.816,,
021916_05,nogaze,y,m,18-21,158.616,,
021916_06,gaze,y,m,18-21,160.916,,
021916_07,nogaze,y,m,18-21,158.817,,
021916_08,gaze,y,f,18-21,160.616,,
051216_01,gaze,n,m,18-21,,keystroke error - raised volume,
051216_02,nogaze,y,m,18-21,,,
051216_03,gaze,y,f,18-21,,,
051216_04,nogaze,y,m,18-21,,,
051716_01,gaze,y,m,18-21,,,
051716_02,nogaze,y,m,18-21,,glasses off,
051716_03,gaze,y,f,18-21,,,
051716_04,nogaze,y,m,22-25,,,
051716_05,gaze,y,f,18-21,,,
051716_06,nogaze,y,f,18-21,,,
051716_07,gaze,y,f,18-21,,,
051716_08,nogaze,y,m,18-21,,erroneously typed 051617_08 (km fixed in raw data file),
051716_09,gaze,y,f,22-25,,,
