## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-071218-03-[38eb779f-2305-4536-a752-014a00edfe19]\SAN-071218-03-eye_data.idf
## Date:	12.07.2018 14:06:58
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1829                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	SAN-071218-03                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
15439693606	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
15439717278	SMP	1	1319.21	877.06	1094.85	908.99	26.21	26.21	5.03	25.47	25.47	5.01	1322.65	877.81	1330.57	877.70	1100.29	908.77	1107.94	908.51	1963.06	1069.28	1918.05	1067.47	0	1	1	2	-1	-1	3.47	-24.32	648.52	49.97	-31.14	658.34	0.30	0.06	-0.95	0.32	0.03	-0.95	0	 -1	
15439750474	SMP	1	1318.02	876.87	1093.72	909.05	25.72	25.72	5.02	25.31	25.31	5.01	1321.64	877.68	1329.50	877.59	1099.21	908.93	1106.87	908.65	1967.75	1064.56	1920.37	1065.13	0	1	1	2	-1	-1	3.69	-24.33	649.53	50.24	-31.20	658.92	0.31	0.07	-0.95	0.33	0.03	-0.94	0	 -1	
15439783793	SMP	1	1316.76	877.00	1092.51	909.28	25.57	25.57	5.02	25.43	25.43	5.02	1320.45	877.60	1328.34	877.54	1098.03	909.12	1105.67	908.96	1973.35	1066.37	1922.40	1064.71	0	1	1	2	-1	-1	3.94	-24.34	649.89	50.53	-31.28	659.56	0.31	0.06	-0.95	0.33	0.03	-0.94	0	 -1	
15439817120	SMP	1	1315.66	877.11	1090.97	909.69	25.94	25.94	5.02	25.35	25.35	5.02	1319.07	877.72	1326.97	877.64	1096.68	909.42	1104.28	909.18	1969.34	1064.40	1928.97	1065.69	0	1	1	2	-1	-1	4.22	-24.37	650.31	50.89	-31.37	660.44	0.30	0.06	-0.95	0.33	0.03	-0.94	0	 -1	
15439850456	SMP	1	1314.23	877.38	1089.82	910.05	25.97	25.97	5.03	25.18	25.18	5.02	1317.68	877.89	1325.60	877.83	1095.38	909.80	1103.02	909.56	1970.33	1065.47	1929.22	1065.18	0	1	1	2	-1	-1	4.51	-24.42	650.50	51.17	-31.46	660.64	0.30	0.06	-0.95	0.33	0.03	-0.94	0	 -1	
15439883780	SMP	1	1312.71	877.39	1088.51	910.49	25.57	25.57	5.03	25.36	25.36	5.02	1316.33	878.06	1324.23	877.99	1094.02	910.20	1101.72	910.04	1974.62	1064.13	1930.10	1067.38	0	1	1	2	-1	-1	4.79	-24.47	650.96	51.44	-31.55	660.52	0.31	0.06	-0.95	0.33	0.03	-0.94	0	 -1	
15439917290	SMP	1	1311.38	877.51	1087.24	910.66	25.51	25.51	5.02	25.50	25.50	5.03	1315.06	878.16	1322.88	878.13	1092.77	910.57	1100.47	910.33	1978.92	1064.87	1933.42	1064.67	0	1	1	2	-1	-1	5.07	-24.52	651.69	51.72	-31.63	660.70	0.31	0.06	-0.95	0.33	0.04	-0.94	0	 -1	
15439950549	SMP	1	1310.16	877.63	1086.05	911.16	25.68	25.68	5.02	25.54	25.54	5.04	1313.78	878.29	1321.66	878.21	1091.56	910.91	1099.27	910.72	1981.68	1064.65	1934.91	1067.27	0	1	1	2	-1	-1	5.33	-24.55	651.84	51.97	-31.71	660.73	0.31	0.06	-0.95	0.33	0.03	-0.94	0	 -1	
15439983789	SMP	1	1308.86	877.75	1084.66	911.38	25.54	25.54	5.01	25.22	25.22	5.04	1312.54	878.50	1320.47	878.43	1090.30	911.34	1097.97	911.12	1984.96	1062.73	1938.80	1063.71	0	1	1	2	-1	-1	5.58	-24.59	651.89	52.26	-31.80	660.96	0.31	0.07	-0.95	0.33	0.04	-0.94	0	 -1	
15440017174	SMP	1	1307.72	878.09	1083.68	912.04	25.59	25.59	5.01	25.31	25.31	5.04	1311.39	878.78	1319.34	878.70	1089.18	911.83	1096.94	911.57	1988.42	1062.58	1939.61	1066.81	0	1	1	2	-1	-1	5.81	-24.65	651.84	52.45	-31.89	660.61	0.31	0.06	-0.95	0.33	0.03	-0.94	0	 -1	
15440050451	SMP	1	1306.89	878.42	1082.56	912.44	25.65	25.65	5.01	25.21	25.21	5.03	1310.40	879.03	1318.32	878.98	1088.15	912.28	1095.85	912.10	1987.86	1062.96	1941.96	1067.22	0	1	1	2	-1	-1	6.02	-24.70	651.72	52.67	-31.99	660.59	0.31	0.06	-0.95	0.33	0.03	-0.94	0	 -1	
15440083741	SMP	1	1307.00	879.60	1082.86	913.66	26.17	26.17	5.03	25.40	25.40	5.03	1309.98	879.64	1317.85	879.54	1087.90	913.03	1095.94	912.79	1967.10	1088.30	1934.44	1078.30	0	1	1	2	-1	-1	6.11	-24.82	651.75	52.47	-32.01	657.87	0.28	0.04	-0.96	0.31	0.01	-0.95	0	 -1	
15440117080	SMP	1	1314.19	883.47	1091.05	917.81	26.02	26.02	5.04	25.71	25.71	5.04	1312.74	881.01	1321.04	881.02	0.00	0.00	1118.64	917.61	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	5.47	-25.01	649.04	48.40	-33.04	658.94	0.11	-0.06	-0.99	0.80	0.02	-0.60	0	 -1	
15440150417	SMP	1	1315.54	883.40	1091.51	918.19	26.60	26.60	5.06	25.68	25.68	5.05	1313.35	881.19	1321.60	881.15	0.00	0.00	1118.04	924.11	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	5.34	-24.99	647.60	48.53	-34.39	658.77	0.07	-0.06	-1.00	0.76	0.27	-0.59	0	 -1	
15440183746	SMP	1	1315.60	883.99	1091.02	918.74	26.40	26.40	5.07	25.74	25.74	5.06	1313.65	881.42	1321.87	881.46	1091.24	915.69	1099.27	915.58	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	5.28	-25.00	646.46	51.61	-32.47	655.76	0.08	-0.07	-0.99	0.10	-0.08	-0.99	0	 -1	
15440217079	SMP	1	1315.82	884.28	1090.92	918.89	26.13	26.13	5.07	25.76	25.76	5.06	1313.77	881.64	1322.06	881.62	1091.07	915.94	1099.17	915.68	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	5.23	-24.95	644.27	51.43	-32.37	653.06	0.08	-0.07	-0.99	0.10	-0.08	-0.99	0	 -1	
15440250410	SMP	1	1315.87	884.02	1090.82	919.19	26.40	26.40	5.07	25.66	25.66	5.05	1313.91	881.72	1322.22	881.73	0.00	0.00	1098.42	934.15	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	5.18	-24.91	642.67	51.30	-35.96	649.29	0.08	-0.06	-0.99	0.09	0.66	-0.75	0	 -1	
15440283743	SMP	1	1316.26	884.42	1090.81	919.40	26.37	26.37	5.07	25.59	25.59	5.04	1314.04	881.89	1322.30	881.89	1091.05	916.19	1099.15	915.96	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	5.16	-24.92	641.99	51.14	-32.25	649.39	0.07	-0.07	-1.00	0.11	-0.09	-0.99	0	 -1	
15440317084	SMP	1	1316.28	884.42	1091.15	919.39	26.35	26.35	5.07	25.82	25.82	5.04	1314.24	882.08	1322.48	882.09	1091.15	916.32	1099.28	916.17	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	5.11	-24.94	641.40	50.99	-32.20	647.70	0.08	-0.06	-1.00	0.09	-0.08	-0.99	0	 -1	
15440350405	SMP	1	0.00	0.00	1091.44	919.48	0.00	0.00	0.00	25.98	25.98	5.04	0.00	0.00	0.00	0.00	0.00	0.00	1098.81	934.50	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	50.75	-35.70	643.28	0.00	0.00	0.00	0.07	0.66	-0.75	0	 -1	
15440383742	SMP	1	1317.26	884.53	1091.81	919.34	26.38	26.38	5.07	25.78	25.78	5.04	1315.17	882.14	1323.43	882.23	1091.96	916.19	1100.01	915.98	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	4.91	-24.91	640.33	50.70	-32.09	646.14	0.08	-0.06	-1.00	0.10	-0.09	-0.99	0	 -1	
15440417067	SMP	1	1317.77	884.64	0.00	0.00	26.53	26.53	5.08	0.00	0.00	0.00	1315.95	881.98	1324.26	881.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	4.74	-24.83	639.14	0.00	0.00	0.00	0.09	-0.07	-0.99	0.00	0.00	0.00	0	 -1	
15440450406	SMP	1	1318.75	884.32	1093.07	918.80	26.46	26.46	5.07	25.87	25.87	5.04	1316.66	881.98	1324.93	881.96	1093.33	915.88	1101.32	915.67	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	4.60	-24.81	638.70	50.46	-32.04	646.51	0.08	-0.06	-1.00	0.10	-0.08	-0.99	0	 -1	
15440483713	SMP	1	1316.95	880.89	1092.38	915.02	26.26	26.26	5.07	25.96	25.96	5.04	1316.10	880.73	1324.33	880.70	1093.69	914.23	1101.73	914.00	1453.96	1130.19	1411.82	1108.03	0	1	1	2	-1	-1	4.71	-24.55	638.54	50.30	-31.65	645.45	0.13	0.03	-0.99	0.15	0.01	-0.99	0	 -1	
15440517143	SMP	1	1316.42	879.84	1091.96	913.78	26.52	26.52	5.07	26.19	26.19	5.05	1316.16	880.50	1324.34	880.46	1093.85	913.73	1101.92	913.54	1498.75	1070.02	1464.73	1071.46	0	1	1	2	-1	-1	4.71	-24.50	638.53	50.19	-31.51	644.55	0.15	0.06	-0.99	0.17	0.04	-0.98	0	 -1	
15440550372	SMP	1	1316.88	879.90	1092.42	913.47	26.67	26.67	5.08	26.19	26.19	5.05	1316.90	880.56	1325.14	880.52	1094.39	913.63	1102.42	913.45	1532.01	1070.51	1477.50	1063.86	0	1	1	2	-1	-1	4.55	-24.49	637.97	50.09	-31.49	644.55	0.16	0.06	-0.98	0.18	0.05	-0.98	0	 -1	
15440583703	SMP	1	1317.45	880.02	1092.71	913.25	26.49	26.49	5.07	26.14	26.14	5.05	1317.49	880.55	1325.68	880.55	1094.77	913.58	1102.86	913.42	1538.97	1073.93	1487.46	1053.14	0	1	1	2	-1	-1	4.43	-24.49	637.99	49.95	-31.44	643.82	0.16	0.06	-0.98	0.18	0.06	-0.98	0	 -1	
15440617036	SMP	1	1318.36	879.96	1093.29	913.46	27.07	27.07	5.09	26.03	26.03	5.05	1318.10	880.68	1326.32	880.67	1095.35	913.65	1103.34	913.46	1524.75	1069.99	1489.18	1052.66	0	1	1	2	-1	-1	4.31	-24.51	637.75	49.87	-31.47	644.19	0.15	0.07	-0.99	0.18	0.05	-0.98	0	 -1	
15440650365	SMP	1	1318.94	880.36	1093.79	913.69	26.63	26.63	5.09	26.25	26.25	5.06	1318.88	880.86	1327.13	880.83	1096.01	913.79	1103.92	913.54	1535.01	1078.16	1495.64	1054.60	0	1	1	2	-1	-1	4.14	-24.53	637.52	49.80	-31.53	644.98	0.16	0.06	-0.99	0.18	0.05	-0.98	0	 -1	
15440683801	SMP	1	1319.68	880.55	1094.66	913.90	26.60	26.60	5.09	26.07	26.07	5.06	1319.74	881.12	1327.94	881.14	1096.73	913.94	1104.78	913.64	1540.39	1076.95	1495.64	1055.47	0	1	1	2	-1	-1	3.98	-24.60	637.76	49.58	-31.52	644.21	0.17	0.06	-0.98	0.18	0.04	-0.98	0	 -1	
15440717041	SMP	1	1320.25	881.05	1095.31	914.31	26.73	26.73	5.10	26.36	26.36	5.07	1320.47	881.61	1328.58	881.60	1097.34	914.23	1105.35	913.96	1547.41	1079.73	1494.55	1061.25	0	1	1	2	-1	-1	3.84	-24.72	638.31	49.46	-31.59	644.25	0.17	0.06	-0.98	0.18	0.04	-0.98	0	 -1	
15440750383	SMP	1	1321.15	881.43	1095.87	914.34	26.94	26.94	5.11	26.46	26.46	5.08	1321.15	882.05	1329.37	882.03	1097.90	914.47	1105.93	914.35	1545.02	1079.82	1494.83	1050.23	0	1	1	2	-1	-1	3.69	-24.80	638.30	49.36	-31.66	644.38	0.16	0.06	-0.98	0.18	0.05	-0.98	0	 -1	
15440783689	SMP	1	1321.65	881.90	1096.44	914.71	26.63	26.63	5.11	26.32	26.32	5.09	1321.87	882.57	1330.12	882.57	1098.51	914.86	1106.60	914.62	1553.22	1078.55	1496.51	1049.18	0	1	1	2	-1	-1	3.54	-24.91	638.30	49.21	-31.72	644.24	0.17	0.07	-0.98	0.18	0.05	-0.98	0	 -1	
15440817050	SMP	1	1322.49	882.39	1097.08	915.00	27.13	27.13	5.12	26.36	26.36	5.09	1322.48	883.09	1330.62	883.06	1099.01	915.14	1107.07	914.89	1547.58	1075.60	1494.11	1047.15	0	1	1	2	-1	-1	3.43	-25.03	638.77	49.13	-31.78	644.45	0.16	0.07	-0.98	0.18	0.05	-0.98	0	 -1	
15440850518	SMP	1	1322.71	882.98	1097.22	915.23	26.86	26.86	5.13	26.53	26.53	5.10	1322.87	883.53	1331.17	883.50	1099.46	915.41	1107.44	915.24	1555.30	1075.87	1499.52	1044.66	0	1	1	2	-1	-1	3.34	-25.11	638.46	49.08	-31.87	644.88	0.17	0.06	-0.98	0.19	0.05	-0.98	0	 -1	
15440883657	SMP	1	1323.25	883.06	1097.63	915.54	27.01	27.01	5.14	26.46	26.46	5.11	1323.27	883.91	1331.43	883.88	1099.68	915.62	1107.77	915.51	1553.95	1072.01	1500.32	1043.62	0	1	1	2	-1	-1	3.27	-25.20	638.79	49.01	-31.91	644.67	0.16	0.07	-0.98	0.18	0.05	-0.98	0	 -1	
15440917007	SMP	1	1323.65	883.40	1097.96	915.85	26.96	26.96	5.14	26.22	26.22	5.10	1323.50	884.21	1331.73	884.26	1099.92	915.93	1107.94	915.64	1550.63	1069.21	1499.32	1045.57	0	1	1	2	-1	-1	3.22	-25.27	638.73	49.00	-31.97	645.07	0.16	0.07	-0.98	0.18	0.05	-0.98	0	 -1	
15440950323	SMP	1	1323.73	884.02	1097.97	916.02	26.86	26.86	5.14	26.60	26.60	5.12	1323.67	884.68	1331.94	884.71	1100.05	916.26	1108.10	916.05	1551.86	1069.08	1500.16	1044.37	0	1	1	2	-1	-1	3.18	-25.35	638.61	48.96	-32.04	645.01	0.16	0.07	-0.98	0.18	0.05	-0.98	0	 -1	
15440983717	SMP	1	1323.67	884.53	1098.02	916.54	27.37	27.37	5.16	26.53	26.53	5.12	1323.69	885.06	1331.98	885.05	1100.07	916.59	1108.09	916.43	1555.77	1071.81	1500.06	1046.27	0	1	1	2	-1	-1	3.17	-25.42	638.39	48.96	-32.12	645.00	0.17	0.06	-0.98	0.18	0.05	-0.98	0	 -1	
