## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-071218-04-[4eced24b-943c-4674-933a-5bb48b69aa47]\SAN-071218-04-eye_data.idf
## Date:	12.07.2018 14:13:51
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11335                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-071218-04                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
15851290172	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
15851307648	SMP	1	1362.86	672.01	1155.37	705.89	24.64	24.64	5.56	25.04	25.04	5.62	1358.53	679.71	1364.39	679.74	1153.66	713.55	1159.65	713.51	0.00	0.00	915.22	-47.24	0	1	1	2	-1	-1	-4.29	19.07	753.70	44.16	10.87	745.32	-0.06	0.35	-0.93	0.01	0.35	-0.94	0	 -1	
15851340930	SMP	1	1363.66	671.50	1155.93	705.10	24.46	24.46	5.55	25.10	25.10	5.62	1359.21	678.98	1365.09	679.05	1154.19	712.67	1160.16	712.72	0.00	0.00	914.44	-48.82	0	1	1	2	-1	-1	-4.46	19.25	754.17	44.09	11.08	746.27	-0.07	0.34	-0.94	0.01	0.35	-0.94	0	 -1	
15851374624	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
15851407573	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
15851440939	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
15851474341	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
15851507590	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
15851540908	SMP	1	1367.03	672.97	1158.79	705.57	24.22	24.22	5.54	24.73	24.73	5.61	1361.83	679.17	1367.85	679.28	1156.05	712.23	1162.25	712.20	801.55	56.51	828.66	48.36	0	1	1	2	-1	-1	-5.10	19.18	753.53	43.49	11.16	744.08	-0.10	0.28	-0.95	-0.04	0.30	-0.95	0	 -1	
15851574235	SMP	1	1366.47	672.50	1157.91	705.28	24.99	24.99	5.56	25.35	25.35	5.62	1361.41	679.72	1367.28	679.81	1155.58	712.81	1161.44	712.80	0.00	0.00	836.87	-49.74	0	1	1	2	-1	-1	-4.98	19.07	754.08	43.86	11.07	747.66	-0.10	0.33	-0.94	-0.02	0.35	-0.94	0	 -1	
