## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order3\SAN-071718-02-[6a4aa043-e4b3-4c49-85ac-c59fb5e40611]\SAN-071718-02-eye_data.idf
## Date:	17.07.2018 09:36:12
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7144                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	SAN-071718-02                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4882446658	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
4882459490	SMP	1	1394.89	824.18	1207.03	838.75	14.44	14.44	3.70	16.24	16.24	4.09	1387.50	827.88	1392.05	827.89	1202.40	842.01	1207.16	841.98	222.48	413.40	232.06	394.08	0	1	1	2	-1	-1	-12.60	-18.62	858.40	36.98	-22.00	840.73	-0.27	0.23	-0.94	-0.16	0.20	-0.97	0	 -1	
4882492843	SMP	1	1398.96	826.64	1211.26	841.10	14.20	14.20	3.69	16.36	16.36	4.10	1389.04	829.09	1393.63	828.89	1204.69	843.25	1209.36	843.22	0.00	0.00	-160.01	617.70	0	1	1	2	-1	-1	-13.01	-18.91	857.90	36.42	-22.35	841.55	-0.41	0.15	-0.90	-0.27	0.14	-0.95	0	 -1	
4882526094	SMP	1	1399.87	827.08	1212.25	841.07	14.58	14.58	3.70	16.18	16.18	4.10	1389.65	829.19	1394.33	829.05	1205.18	843.08	1209.89	843.01	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.18	-18.92	856.91	36.28	-22.30	841.56	-0.42	0.13	-0.90	-0.30	0.13	-0.95	0	 -1	
4882559433	SMP	1	1400.32	827.09	1212.40	841.03	14.18	14.18	3.69	16.35	16.35	4.10	1390.11	829.12	1394.64	828.93	1205.31	842.95	1210.07	842.77	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.29	-18.91	857.63	36.25	-22.25	841.65	-0.42	0.13	-0.90	-0.30	0.12	-0.95	0	 -1	
4882592816	SMP	1	1400.44	826.85	1212.55	840.83	14.16	14.16	3.68	16.28	16.28	4.10	1390.15	828.92	1394.88	828.83	1205.44	842.66	1210.40	842.53	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.29	-18.82	855.36	36.08	-22.11	839.21	-0.42	0.13	-0.90	-0.29	0.12	-0.95	0	 -1	
4882626157	SMP	1	1400.54	826.57	1212.58	840.53	14.40	14.40	3.68	16.35	16.35	4.10	1390.23	828.69	1394.96	828.50	1205.49	842.46	1210.43	842.45	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.29	-18.71	853.90	36.01	-22.04	837.91	-0.42	0.13	-0.90	-0.29	0.13	-0.95	0	 -1	
4882659427	SMP	1	1400.37	826.44	1212.63	840.33	14.44	14.44	3.68	16.25	16.25	4.10	1390.13	828.34	1394.93	828.34	1205.51	842.12	1210.33	842.13	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.23	-18.58	851.25	36.03	-21.96	838.19	-0.42	0.12	-0.90	-0.30	0.12	-0.95	0	 -1	
4882692783	SMP	1	1400.50	826.05	1212.53	840.03	14.54	14.54	3.69	16.40	16.40	4.11	1390.20	828.20	1394.93	828.06	1205.50	841.90	1210.34	841.66	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.24	-18.52	850.83	36.01	-21.86	837.65	-0.42	0.13	-0.90	-0.29	0.12	-0.95	0	 -1	
4882726151	SMP	1	1400.21	825.80	1212.64	839.72	14.67	14.67	3.70	16.35	16.35	4.10	1390.06	827.93	1394.83	827.84	1205.48	841.54	1210.41	841.49	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.17	-18.41	848.83	35.91	-21.73	835.48	-0.41	0.13	-0.90	-0.29	0.12	-0.95	0	 -1	
