## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order3\SAN-071718-06-[7f46b2f5-67b4-4767-a526-0d03cd4541b4]\SAN-071718-06-eye_data.idf
## Date:	17.07.2018 14:36:50
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11250                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-071718-06                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
5518364117	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
5518386201	SMP	1	0.00	0.00	1176.66	930.41	0.00	0.00	0.00	25.32	25.32	4.47	0.00	0.00	0.00	0.00	1168.27	936.09	1176.35	935.95	0.00	0.00	230.57	529.81	0	0	1	1	-1	-1	0.00	0.00	0.00	35.06	-36.16	645.88	0.00	0.00	0.00	-0.23	0.29	-0.93	0	 -1	
5518419528	SMP	1	0.00	0.00	1178.04	930.34	0.00	0.00	0.00	25.24	25.24	4.55	0.00	0.00	0.00	0.00	1169.66	936.06	1177.67	935.92	0.00	0.00	224.16	526.85	0	0	1	1	-1	-1	0.00	0.00	0.00	34.78	-36.15	645.91	0.00	0.00	0.00	-0.23	0.29	-0.93	0	 -1	
5518452864	SMP	1	0.00	0.00	1179.12	930.28	0.00	0.00	0.00	25.26	25.26	4.61	0.00	0.00	0.00	0.00	1170.76	935.97	1178.80	935.85	0.00	0.00	221.83	525.45	0	0	1	1	-1	-1	0.00	0.00	0.00	34.55	-36.13	645.79	0.00	0.00	0.00	-0.23	0.29	-0.93	0	 -1	
5518486256	SMP	1	0.00	0.00	1179.89	930.50	0.00	0.00	0.00	25.16	25.16	4.66	0.00	0.00	0.00	0.00	1171.46	936.14	1179.50	936.02	0.00	0.00	217.67	525.44	0	0	1	1	-1	-1	0.00	0.00	0.00	34.40	-36.16	645.71	0.00	0.00	0.00	-0.23	0.28	-0.93	0	 -1	
5518519606	SMP	1	0.00	0.00	1180.08	930.93	0.00	0.00	0.00	25.29	25.29	4.71	0.00	0.00	0.00	0.00	1171.71	936.38	1179.76	936.36	0.00	0.00	217.69	527.96	0	0	1	1	-1	-1	0.00	0.00	0.00	34.34	-36.22	645.66	0.00	0.00	0.00	-0.23	0.28	-0.93	0	 -1	
5518552914	SMP	1	0.00	0.00	1179.84	931.26	0.00	0.00	0.00	25.22	25.22	4.74	0.00	0.00	0.00	0.00	1171.42	936.76	1179.54	936.69	0.00	0.00	216.40	529.12	0	0	1	1	-1	-1	0.00	0.00	0.00	34.38	-36.27	645.29	0.00	0.00	0.00	-0.23	0.28	-0.93	0	 -1	
5518586186	SMP	1	0.00	0.00	1179.30	931.65	0.00	0.00	0.00	25.26	25.26	4.77	0.00	0.00	0.00	0.00	1170.86	937.26	1178.93	937.20	0.00	0.00	213.71	528.21	0	0	1	1	-1	-1	0.00	0.00	0.00	34.49	-36.36	645.14	0.00	0.00	0.00	-0.23	0.28	-0.93	0	 -1	
5518619554	SMP	1	0.00	0.00	1178.33	932.30	0.00	0.00	0.00	25.19	25.19	4.79	0.00	0.00	0.00	0.00	1169.96	937.95	1178.09	937.82	0.00	0.00	214.31	527.71	0	0	1	1	-1	-1	0.00	0.00	0.00	34.64	-36.47	644.67	0.00	0.00	0.00	-0.23	0.29	-0.93	0	 -1	
5518652924	SMP	1	0.00	0.00	1177.39	932.71	0.00	0.00	0.00	25.23	25.23	4.81	0.00	0.00	0.00	0.00	1168.94	938.34	1177.04	938.26	0.00	0.00	212.27	527.19	0	0	1	1	-1	-1	0.00	0.00	0.00	34.84	-36.54	644.40	0.00	0.00	0.00	-0.23	0.29	-0.93	0	 -1	
