## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-071918-07-[23f09199-b7cc-4bb3-b6d8-cb2bdb9855a5]\SAN-071918-07-eye_data.idf
## Date:	19.07.2018 14:27:32
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11336                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-071918-07                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4705829438	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
4705850146	SMP	1	1431.72	467.44	1188.50	476.94	22.53	22.53	4.98	22.33	22.33	5.01	1431.07	467.63	1437.37	467.55	1190.74	476.78	1196.91	476.87	1487.53	1083.70	1576.86	1120.33	0	1	1	2	-1	-1	-20.97	67.48	728.91	35.06	66.23	738.78	0.15	-0.08	-0.99	0.21	-0.09	-0.97	0	 -1	
4705883492	SMP	1	1431.91	467.67	1188.84	476.92	22.24	22.24	4.96	22.45	22.45	5.00	1431.33	467.67	1437.56	467.62	1190.94	476.79	1197.07	476.81	1487.07	1097.37	1565.95	1121.08	0	1	1	2	-1	-1	-21.04	67.53	729.61	35.02	66.24	738.85	0.15	-0.09	-0.98	0.20	-0.09	-0.97	0	 -1	
4705916721	SMP	1	1432.02	467.36	1188.76	476.63	22.34	22.34	4.95	22.38	22.38	5.00	1431.43	467.56	1437.55	467.53	1190.98	476.58	1197.08	476.54	1482.00	1091.03	1566.12	1117.71	0	1	1	2	-1	-1	-21.09	67.69	731.11	35.03	66.32	739.15	0.14	-0.08	-0.99	0.21	-0.09	-0.97	0	 -1	
4705950058	SMP	1	1432.01	467.12	1188.76	476.42	22.44	22.44	4.95	22.27	22.27	4.99	1431.48	467.47	1437.53	467.46	1190.79	476.41	1197.04	476.47	1480.51	1084.54	1560.16	1112.71	0	1	1	2	-1	-1	-21.15	67.88	732.93	34.99	66.23	737.78	0.15	-0.07	-0.99	0.20	-0.09	-0.98	0	 -1	
4705983542	SMP	1	1431.72	467.18	1188.55	476.42	22.06	22.06	4.94	22.42	22.42	4.99	1431.17	467.37	1437.42	467.43	1190.57	476.39	1196.87	476.40	1480.11	1091.21	1557.57	1113.77	0	1	1	2	-1	-1	-21.05	67.74	731.22	34.98	66.13	736.59	0.15	-0.08	-0.99	0.20	-0.09	-0.98	0	 -1	
4706016717	SMP	1	1431.38	466.96	1188.18	476.35	22.04	22.04	4.92	22.11	22.11	4.98	1430.70	467.32	1437.06	467.28	1190.32	476.41	1196.28	476.39	1479.17	1088.14	1556.18	1109.61	0	1	1	2	-1	-1	-20.92	67.64	729.94	35.24	66.43	739.88	0.15	-0.08	-0.99	0.20	-0.09	-0.98	0	 -1	
4706050047	SMP	1	1430.83	466.92	1187.72	476.37	22.01	22.01	4.91	22.06	22.06	4.96	1430.24	467.30	1436.43	467.36	1189.65	476.48	1196.02	476.49	1479.19	1083.94	1553.82	1103.33	0	1	1	2	-1	-1	-20.84	67.78	731.48	35.13	66.01	735.45	0.15	-0.07	-0.99	0.20	-0.08	-0.98	0	 -1	
4706083379	SMP	1	1430.21	466.68	1187.09	476.39	21.93	21.93	4.89	21.99	21.99	4.95	1429.57	467.05	1435.93	467.02	1189.27	476.48	1195.22	476.55	1478.99	1082.54	1554.31	1097.72	0	1	1	2	-1	-1	-20.66	67.73	730.20	35.50	66.43	740.20	0.15	-0.07	-0.99	0.20	-0.08	-0.98	0	 -1	
4706116737	SMP	1	1429.69	466.44	1186.55	476.22	21.92	21.92	4.88	22.11	22.11	4.94	1429.11	466.60	1435.37	466.51	1188.62	476.42	1194.98	476.44	1479.78	1091.21	1554.45	1089.53	0	1	1	2	-1	-1	-20.56	67.90	730.84	35.33	65.93	734.45	0.15	-0.09	-0.99	0.20	-0.08	-0.98	0	 -1	
