## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order3\SAN-072018-03-[75a2d21d-7424-4a46-891d-9cc6c342b112]\SAN-072018-03-eye_data.idf
## Date:	20.07.2018 15:30:30
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11143                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-pilotB2-072018-03                                                                                                                                                                                                                                           
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;459)
## Calibration Point 1:	Position(446;109)
## Calibration Point 2:	Position(1774;282)
## Calibration Point 3:	Position(1528;970)
## Calibration Point 4:	Position(139;707)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2534468524	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
2534504913	SMP	1	1413.07	780.59	1163.18	793.10	26.01	26.01	6.57	26.14	26.14	6.61	1409.97	784.45	1414.52	784.48	1161.42	797.31	1166.13	797.24	937.69	420.92	826.97	401.69	0	1	1	2	-1	-1	-18.44	-6.70	845.86	47.98	-10.09	841.94	-0.02	0.22	-0.98	-0.02	0.24	-0.97	0	 -1	
2534538236	SMP	1	1413.22	780.58	1163.27	793.00	25.93	25.93	6.58	26.12	26.12	6.61	1410.04	784.41	1414.59	784.45	1161.42	797.27	1166.20	797.21	930.01	424.53	828.95	394.13	0	1	1	2	-1	-1	-18.50	-6.70	847.73	47.89	-10.06	840.46	-0.03	0.22	-0.98	-0.02	0.24	-0.97	0	 -1	
2534571699	SMP	1	1413.18	780.66	1163.28	793.22	25.91	25.91	6.58	25.96	25.96	6.60	1409.99	784.48	1414.61	784.57	1161.49	797.40	1166.24	797.30	926.52	426.76	833.50	400.72	0	1	1	2	-1	-1	-18.49	-6.72	847.31	47.87	-10.09	840.43	-0.03	0.22	-0.98	-0.02	0.24	-0.97	0	 -1	
2534604899	SMP	1	1413.48	780.40	1163.54	792.96	25.99	25.99	6.58	25.99	25.99	6.59	1410.22	784.43	1414.85	784.48	1161.56	797.19	1166.28	797.25	917.35	413.44	828.27	392.40	0	1	1	2	-1	-1	-18.57	-6.71	848.37	47.88	-10.06	840.89	-0.03	0.23	-0.97	-0.03	0.24	-0.97	0	 -1	
2534638272	SMP	1	1413.49	780.85	1163.59	792.95	25.81	25.81	6.58	26.13	26.13	6.59	1410.40	784.59	1415.15	784.67	1161.60	797.36	1166.38	797.35	924.92	430.20	829.68	380.42	0	1	1	2	-1	-1	-18.59	-6.74	846.21	47.81	-10.08	839.88	-0.02	0.21	-0.98	-0.03	0.25	-0.97	0	 -1	
2534671573	SMP	1	1413.79	780.67	1163.86	792.80	25.88	25.88	6.57	26.05	26.05	6.59	1410.56	784.44	1415.45	784.49	1161.67	797.05	1166.48	797.02	919.66	432.15	819.45	385.82	0	1	1	2	-1	-1	-18.58	-6.67	842.97	47.76	-9.99	839.46	-0.02	0.21	-0.98	-0.04	0.24	-0.97	0	 -1	
2534704982	SMP	1	1413.98	780.74	1163.99	792.93	26.13	26.13	6.58	25.92	25.92	6.59	1410.70	784.65	1415.53	784.62	1162.14	797.20	1166.63	797.18	913.80	426.24	823.64	377.40	0	1	1	2	-1	-1	-18.62	-6.72	843.57	48.00	-10.10	845.18	-0.03	0.22	-0.98	-0.03	0.24	-0.97	0	 -1	
2534738352	SMP	1	1414.22	780.56	1164.25	792.56	26.03	26.03	6.59	25.92	25.92	6.59	1410.97	784.49	1415.58	784.54	1162.38	796.64	1166.91	796.61	906.92	419.76	824.98	382.86	0	1	1	2	-1	-1	-18.77	-6.73	848.26	47.99	-9.96	846.14	-0.03	0.23	-0.97	-0.03	0.23	-0.97	0	 -1	
2534771658	SMP	1	1414.05	780.88	1164.08	792.94	26.12	26.12	6.59	26.07	26.07	6.60	1410.82	785.00	1415.63	785.11	1162.35	797.23	1166.73	797.19	906.80	398.13	827.85	368.52	0	1	1	2	-1	-1	-18.68	-6.85	844.74	48.51	-10.22	854.78	-0.02	0.24	-0.97	-0.03	0.25	-0.97	0	 -1	
2534804905	SMP	1	1414.12	780.80	1164.06	792.88	26.00	26.00	6.59	26.12	26.12	6.63	1410.91	784.63	1415.63	784.74	1162.38	797.01	1166.74	797.00	905.47	414.38	827.70	369.87	0	1	1	2	-1	-1	-18.72	-6.76	846.16	48.84	-10.24	860.69	-0.03	0.22	-0.98	-0.03	0.24	-0.97	0	 -1	
