## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-072518-01-[ddb66e4e-c4ab-4a9b-8510-d990e92d6e91]\SAN-072518-01-eye_data.idf
## Date:	25.07.2018 10:04:31
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11308                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-072518-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1580149001	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
1580176523	SMP	1	0.00	0.00	1055.37	861.83	0.00	0.00	0.00	24.01	24.01	6.34	0.00	0.00	0.00	0.00	1057.16	860.51	1061.76	860.54	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	76.72	-27.29	851.81	0.00	0.00	0.00	0.14	-0.04	-0.99	0	 -1	
1580209872	SMP	1	0.00	0.00	1054.47	860.41	0.00	0.00	0.00	24.36	24.36	6.34	0.00	0.00	0.00	0.00	1056.92	859.91	1061.23	859.92	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	77.87	-27.50	863.43	0.00	0.00	0.00	0.17	0.00	-0.99	0	 -1	
1580243198	SMP	1	1266.50	844.45	1053.81	860.83	21.93	21.93	6.16	23.59	23.59	6.31	1267.08	842.12	1271.82	842.13	1056.46	859.53	1060.75	859.68	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	20.10	-22.43	855.89	78.44	-27.56	868.23	0.14	-0.10	-0.98	0.18	-0.04	-0.98	0	 -1	
1580276523	SMP	1	1266.40	844.79	1053.80	860.98	22.01	22.01	6.06	23.56	23.56	6.28	1267.11	842.49	1271.85	842.33	1056.40	859.88	1060.69	859.92	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	20.04	-22.45	853.79	78.73	-27.74	871.36	0.15	-0.11	-0.98	0.18	-0.03	-0.98	0	 -1	
1580309929	SMP	1	1266.57	843.84	1053.73	860.58	22.95	22.95	6.03	23.94	23.94	6.27	1267.18	842.18	1271.81	842.23	1056.22	859.71	1060.70	859.79	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	20.07	-22.44	855.44	78.02	-27.44	863.15	0.14	-0.06	-0.99	0.18	-0.01	-0.98	0	 -1	
1580343187	SMP	1	1266.62	844.17	1053.84	860.78	22.62	22.62	5.99	24.00	24.00	6.28	1267.18	842.24	1271.88	842.20	1056.41	859.90	1060.71	859.93	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	20.00	-22.37	852.81	78.89	-27.81	873.12	0.14	-0.08	-0.99	0.18	-0.02	-0.98	0	 -1	
1580376517	SMP	1	1266.86	843.72	1054.09	860.47	22.96	22.96	5.97	23.90	23.90	6.28	1267.53	842.04	1271.96	842.05	1056.45	859.58	1060.83	859.65	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	20.09	-22.49	858.94	78.64	-27.64	870.56	0.14	-0.07	-0.99	0.17	-0.02	-0.99	0	 -1	
1580409843	SMP	1	0.00	0.00	1059.96	857.20	0.00	0.00	0.00	24.24	24.24	6.29	0.00	0.00	0.00	0.00	1060.47	857.84	1064.89	857.86	0.00	0.00	1451.15	992.77	0	0	1	1	-1	-1	0.00	0.00	0.00	77.47	-27.13	869.94	0.00	0.00	0.00	0.07	0.07	-1.00	0	 -1	
1580443278	SMP	1	1279.11	839.10	1066.92	855.71	23.18	23.18	5.97	23.59	23.59	6.26	1275.17	839.79	1279.77	839.53	1064.60	856.43	1069.16	856.34	762.05	769.61	798.58	952.38	0	1	1	2	-1	-1	17.92	-21.75	855.72	75.84	-26.57	864.62	-0.11	0.06	-0.99	-0.09	0.07	-0.99	0	 -1	
