## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order4\SAN-072618-04-[6c5d9231-a454-46b3-9a54-a6bbb8d3531d]\SAN-072618-04-eye_data.idf
## Date:	26.07.2018 15:21:38
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11505                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-072618-04                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
25531805320	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
25531838004	SMP	1	1504.91	726.95	1288.44	734.85	21.17	21.17	4.75	21.09	21.09	4.84	1500.55	733.14	1506.53	733.13	1286.05	741.48	1292.02	741.34	819.39	166.34	838.50	105.90	0	1	1	2	-1	-1	-38.37	6.32	756.06	13.24	4.40	766.91	-0.02	0.29	-0.96	0.01	0.32	-0.95	0	 -1	
25531871285	SMP	1	1501.75	727.66	1284.96	736.24	21.24	21.24	4.76	21.19	21.19	4.84	1497.32	733.85	1503.35	733.86	1282.69	742.79	1288.66	742.71	821.18	168.10	839.84	129.40	0	1	1	2	-1	-1	-37.52	6.14	754.47	14.02	4.06	764.52	-0.02	0.29	-0.96	0.02	0.32	-0.95	0	 -1	
25531904840	SMP	1	1498.75	728.61	1281.81	737.61	21.24	21.24	4.77	21.28	21.28	4.85	1494.33	734.81	1500.36	734.81	1279.63	744.13	1285.61	743.93	825.14	169.33	840.35	139.86	0	1	1	2	-1	-1	-36.74	5.90	753.24	14.71	3.74	761.91	-0.02	0.29	-0.96	0.02	0.31	-0.95	0	 -1	
25531937974	SMP	1	1496.03	729.38	1279.06	738.30	21.30	21.30	4.77	21.10	21.10	4.84	1491.68	735.55	1497.75	735.61	1276.93	744.95	1282.95	744.75	832.56	170.79	842.87	140.60	0	1	1	2	-1	-1	-36.05	5.70	751.80	15.29	3.53	758.89	-0.02	0.29	-0.96	0.02	0.32	-0.95	0	 -1	
25531971352	SMP	1	1493.76	729.79	1276.79	738.92	21.12	21.12	4.77	21.12	21.12	4.83	1489.34	735.96	1495.38	735.94	1274.67	745.32	1280.70	745.22	835.05	173.12	845.73	152.85	0	1	1	2	-1	-1	-35.45	5.61	751.05	15.79	3.41	756.57	-0.02	0.29	-0.96	0.02	0.31	-0.95	0	 -1	
25532004857	SMP	1	1492.50	728.35	1275.84	737.48	21.02	21.02	4.76	21.16	21.16	4.83	1487.81	735.17	1493.85	735.34	1273.42	744.61	1279.38	744.47	825.15	110.10	837.77	113.03	0	1	1	2	-1	-1	-35.04	5.77	750.13	16.10	3.59	756.61	-0.04	0.33	-0.94	0.01	0.34	-0.94	0	 -1	
25532038023	SMP	1	1491.00	728.02	1274.46	737.28	21.13	21.13	4.76	21.28	21.28	4.82	1486.37	735.03	1492.28	735.05	1272.06	744.44	1278.02	744.27	822.45	74.49	835.91	104.76	0	1	1	2	-1	-1	-34.71	5.82	750.65	16.40	3.63	755.51	-0.04	0.33	-0.94	0.01	0.34	-0.94	0	 -1	
25532071296	SMP	1	1489.88	727.90	1273.53	737.11	21.13	21.13	4.76	21.16	21.16	4.82	1485.24	734.84	1491.20	734.84	1271.02	744.30	1276.96	744.12	821.55	82.83	828.65	96.79	0	1	1	2	-1	-1	-34.42	5.87	750.09	16.64	3.66	754.94	-0.04	0.33	-0.94	0.00	0.34	-0.94	0	 -1	
25532104747	SMP	1	1489.06	727.36	1272.70	736.77	21.13	21.13	4.76	21.26	21.26	4.82	1484.57	734.20	1490.42	734.33	1270.31	743.95	1276.24	743.77	825.60	82.77	828.02	94.32	0	1	1	2	-1	-1	-34.28	6.01	750.90	16.80	3.74	754.33	-0.03	0.33	-0.94	0.01	0.34	-0.94	0	 -1	
