## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order4\SAN-080118-01-[f5854414-5d6c-4e63-9dc1-2e5f066ff4a7]\SAN-080118-01-eye_data.idf
## Date:	01.08.2018 09:55:18
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11522                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-080118-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1972221880	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
1972240092	SMP	1	1423.10	823.88	1193.23	832.57	22.31	22.31	5.60	21.17	21.17	5.26	1417.15	824.68	1421.67	824.66	1190.64	833.38	1195.56	833.43	571.41	981.96	582.23	946.65	0	1	1	2	-1	-1	-20.48	-17.58	850.70	39.83	-19.58	835.21	-0.18	0.06	-0.98	-0.05	0.07	-1.00	0	 -1	
1972273366	SMP	1	1423.08	823.30	1193.21	832.08	22.43	22.43	5.62	21.29	21.29	5.27	1417.14	824.25	1421.67	824.32	1190.59	832.83	1195.51	832.84	570.46	976.11	580.37	947.30	0	1	1	2	-1	-1	-20.51	-17.51	852.06	39.80	-19.40	834.29	-0.18	0.07	-0.98	-0.05	0.06	-1.00	0	 -1	
1972306747	SMP	1	1415.41	822.00	1186.17	830.62	22.64	22.64	5.65	21.23	21.23	5.28	1412.94	823.51	1417.54	823.53	1187.45	831.90	1192.16	831.91	1246.86	912.32	1274.20	919.48	0	1	1	2	-1	-1	-19.38	-17.30	851.93	40.82	-19.23	837.49	0.01	0.10	-0.99	0.15	0.09	-0.98	0	 -1	
1972340031	SMP	1	1415.00	822.18	1185.36	830.64	22.60	22.60	5.67	21.23	21.23	5.29	1412.69	823.80	1417.51	823.61	1186.61	831.98	1191.34	831.95	1277.12	890.10	1272.78	895.16	0	1	1	2	-1	-1	-19.28	-17.29	849.02	41.04	-19.25	837.64	0.03	0.10	-0.99	0.15	0.09	-0.98	0	 -1	
1972373358	SMP	1	1415.01	822.54	1185.24	831.15	22.66	22.66	5.68	21.48	21.48	5.31	1412.52	824.06	1417.41	824.30	1186.52	832.46	1191.25	832.43	1271.26	860.25	1274.27	884.59	0	1	1	2	-1	-1	-19.18	-17.36	846.14	41.10	-19.39	838.24	0.02	0.11	-0.99	0.15	0.09	-0.98	0	 -1	
1972406691	SMP	1	1414.65	822.99	1184.94	831.56	22.82	22.82	5.70	21.36	21.36	5.33	1412.24	824.66	1417.26	824.58	1186.22	832.75	1190.89	832.70	1280.11	857.00	1274.04	893.58	0	1	1	2	-1	-1	-18.97	-17.34	839.56	41.27	-19.50	839.89	0.03	0.11	-0.99	0.15	0.09	-0.99	0	 -1	
1972440035	SMP	1	1414.39	822.89	1184.37	831.42	22.84	22.84	5.71	21.42	21.42	5.34	1412.00	824.50	1416.80	824.48	1185.75	832.63	1190.37	832.69	1278.93	853.18	1277.16	878.34	0	1	1	2	-1	-1	-18.98	-17.40	844.38	41.48	-19.53	841.63	0.02	0.11	-0.99	0.15	0.09	-0.98	0	 -1	
1972473349	SMP	1	1413.88	822.72	1183.93	831.50	22.83	22.83	5.72	21.47	21.47	5.36	1411.48	824.19	1416.39	824.40	1185.36	832.69	1189.92	832.56	1280.46	852.38	1280.93	884.01	0	1	1	2	-1	-1	-18.75	-17.25	839.30	41.74	-19.59	844.56	0.02	0.11	-0.99	0.16	0.08	-0.98	0	 -1	
1972506682	SMP	1	1413.19	822.31	1183.24	831.20	22.94	22.94	5.73	21.63	21.63	5.38	1410.73	823.90	1415.56	823.75	1184.52	832.46	1189.27	832.45	1277.34	855.64	1280.87	868.94	0	1	1	2	-1	-1	-18.55	-17.14	840.18	41.79	-19.47	841.51	0.02	0.10	-0.99	0.15	0.09	-0.98	0	 -1	
