## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order3\SAN-080118-04-[0a1ae91a-069a-4473-81e0-e63eee8210cc]\SAN-080118-04-eye_data.idf
## Date:	01.08.2018 15:26:34
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11169                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-080118-04                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;459)
## Calibration Point 1:	Position(446;109)
## Calibration Point 2:	Position(1774;282)
## Calibration Point 3:	Position(1528;970)
## Calibration Point 4:	Position(139;707)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
21807744125	SMP	1	1313.17	912.35	1056.72	931.31	23.73	23.73	5.74	22.30	22.30	5.07	1305.14	911.55	1310.41	911.45	1051.65	930.03	1057.52	930.02	168.56	1127.16	0.00	0.00	0	1	1	2	-1	-1	9.12	-38.79	804.73	69.19	-40.84	755.28	-0.29	0.00	-0.96	-0.19	-0.01	-0.98	0		
21829953294	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
21829975057	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
21830008395	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
21830041721	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
21830075049	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
21830108378	SMP	1	1313.60	898.58	1057.80	915.41	23.64	23.64	5.99	23.70	23.70	5.80	1308.78	899.97	1314.52	900.03	1056.60	917.40	1062.38	917.18	965.20	855.39	979.71	702.28	0	1	1	2	-1	-1	7.75	-34.19	767.40	68.65	-38.14	762.28	-0.11	0.11	-0.99	0.00	0.14	-0.99	0	 -1	
21830141726	SMP	1	1313.38	897.17	1057.80	914.09	25.24	25.24	5.96	25.03	25.03	5.79	1308.88	899.55	1314.60	899.66	1056.56	917.02	1062.43	916.95	972.17	651.52	979.11	542.97	0	1	1	2	-1	-1	7.73	-34.09	767.22	68.53	-38.01	760.97	-0.09	0.16	-0.98	0.00	0.19	-0.98	0	 -1	
21830175035	SMP	1	1313.13	897.16	1057.34	914.09	26.00	26.00	5.96	25.56	25.56	5.81	1308.59	900.17	1314.42	900.41	1056.49	917.48	1062.00	917.41	977.18	551.80	987.75	424.70	0	1	1	2	-1	-1	7.77	-34.19	765.76	68.97	-38.33	765.20	-0.09	0.20	-0.98	0.01	0.22	-0.98	0	 -1	
21830208373	SMP	1	1313.09	896.54	1057.41	913.41	26.25	26.25	5.97	25.90	25.90	5.84	1308.57	899.80	1314.38	899.79	1056.42	916.92	1061.96	916.81	981.76	533.07	986.83	421.75	0	1	1	2	-1	-1	7.77	-34.05	765.28	69.09	-38.24	766.34	-0.09	0.20	-0.97	0.00	0.22	-0.98	0	 -1	
