## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order4\SAN-080718-01-[dd2a8e1d-dea7-4237-b267-c5a2ce060016]\SAN-080718-01-eye_data.idf
## Date:	07.08.2018 13:18:25
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11525                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-080718-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
7017603402	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
7017612891	SMP	1	1200.59	803.92	961.19	810.74	20.57	20.57	4.28	20.87	20.87	4.30	1197.69	805.94	1204.67	805.85	960.00	813.68	967.26	813.50	1177.82	829.06	1178.62	780.98	0	1	1	2	-1	-1	31.32	-10.21	694.02	82.35	-11.73	683.77	-0.02	0.10	-0.99	-0.01	0.14	-0.99	0	 -1	
7017646201	SMP	1	1199.62	803.96	960.54	810.81	20.71	20.71	4.29	20.83	20.83	4.30	1196.88	805.87	1203.82	805.77	959.34	813.70	966.34	813.47	1178.48	830.52	1177.77	779.60	0	1	1	2	-1	-1	31.50	-10.19	694.06	82.69	-11.75	685.12	-0.01	0.10	-1.00	-0.01	0.14	-0.99	0	 -1	
7017679450	SMP	1	1198.55	803.92	959.47	810.85	20.89	20.89	4.30	21.11	21.11	4.31	1195.91	805.78	1202.82	805.71	958.51	813.58	965.36	813.49	1181.93	831.30	1182.68	781.27	0	1	1	2	-1	-1	31.73	-10.18	694.23	83.13	-11.77	687.13	-0.01	0.10	-1.00	-0.01	0.14	-0.99	0	 -1	
7017712806	SMP	1	1197.49	803.84	958.77	810.63	21.07	21.07	4.32	21.46	21.46	4.34	1194.79	805.62	1201.74	805.60	957.44	813.38	964.44	813.35	1183.30	831.90	1178.26	781.82	0	1	1	2	-1	-1	31.97	-10.15	694.22	83.30	-11.73	686.74	-0.01	0.09	-1.00	-0.02	0.14	-0.99	0	 -1	
7017746154	SMP	1	1196.49	803.78	957.51	810.49	21.07	21.07	4.33	21.56	21.56	4.36	1193.67	805.56	1200.60	805.58	956.33	813.21	963.34	813.20	1180.32	831.70	1178.66	781.97	0	1	1	2	-1	-1	32.22	-10.15	694.35	83.59	-11.70	687.13	-0.02	0.10	-1.00	-0.01	0.14	-0.99	0	 -1	
7017779433	SMP	1	1195.27	803.88	956.24	810.58	21.21	21.21	4.35	21.62	21.62	4.38	1192.43	805.72	1199.40	805.61	955.01	813.46	962.23	813.38	1179.16	831.89	1181.87	779.37	0	1	1	2	-1	-1	32.49	-10.17	694.30	83.62	-11.72	685.28	-0.02	0.09	-1.00	-0.01	0.14	-0.99	0	 -1	
7017812766	SMP	1	1193.73	804.15	954.82	811.38	21.45	21.45	4.37	21.66	21.66	4.40	1190.99	806.22	1197.96	806.20	953.60	814.04	960.57	813.95	1182.65	826.86	1181.36	782.36	0	1	1	2	-1	-1	32.80	-10.28	694.20	84.24	-11.88	687.55	-0.01	0.11	-0.99	-0.02	0.13	-0.99	0	 -1	
7017846092	SMP	1	1192.49	805.08	953.36	812.12	21.56	21.56	4.39	21.89	21.89	4.43	1189.71	806.94	1196.62	806.77	952.26	814.91	959.35	814.69	1182.24	830.25	1184.77	782.24	0	1	1	2	-1	-1	33.11	-10.43	694.56	84.42	-12.04	686.79	-0.02	0.10	-1.00	-0.01	0.14	-0.99	0	 -1	
7017879421	SMP	1	1191.47	805.40	952.43	812.81	21.68	21.68	4.41	22.12	22.12	4.46	1188.60	807.43	1195.54	807.39	951.10	815.69	958.32	815.47	1180.61	824.61	1182.43	781.20	0	1	1	2	-1	-1	33.35	-10.56	694.67	84.49	-12.19	685.39	-0.02	0.11	-0.99	-0.02	0.14	-0.99	0	 -1	
