## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-080918-08-[4f07843d-2d37-4e05-a9f4-6ce2a472e2e7]\SAN-080918-08-eye_data.idf
## Date:	09.08.2018 13:35:34
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11321                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-080918-08                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
728487531	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
728522309	SMP	1	1653.18	568.75	1378.32	551.26	24.42	24.42	4.36	25.24	25.24	4.50	1641.82	575.56	1652.08	575.38	1371.10	558.50	1381.37	558.48	560.70	536.34	574.60	505.25	0	1	1	2	-1	-1	-54.70	33.18	568.58	-5.96	36.59	573.93	-0.14	0.19	-0.97	-0.07	0.21	-0.98	 -1	
728555638	SMP	1	1653.10	568.85	1378.25	551.12	24.24	24.24	4.32	25.15	25.15	4.47	1641.68	575.53	1651.94	575.35	1371.04	558.45	1381.31	558.40	560.70	539.20	574.80	506.77	0	1	1	2	-1	-1	-54.67	33.19	568.57	-5.94	36.57	573.49	-0.14	0.18	-0.97	-0.07	0.21	-0.98	 -1	
728588948	SMP	1	1652.91	568.88	1378.21	551.26	24.15	24.15	4.29	25.15	25.15	4.45	1641.52	575.53	1651.76	575.40	1371.01	558.51	1381.29	558.45	562.62	542.35	576.51	510.71	0	1	1	2	-1	-1	-54.66	33.19	568.75	-5.93	36.53	572.98	-0.14	0.18	-0.97	-0.07	0.20	-0.98	 -1	
728622278	SMP	1	1652.61	569.11	1378.16	551.47	24.12	24.12	4.26	24.84	24.84	4.42	1641.27	575.76	1651.56	575.64	1370.94	558.71	1381.13	558.68	564.43	544.91	576.80	513.48	0	1	1	2	-1	-1	-54.60	33.14	568.53	-5.91	36.49	572.97	-0.14	0.18	-0.97	-0.07	0.20	-0.98	 -1	
728655617	SMP	1	1652.34	569.39	1377.72	551.70	24.15	24.15	4.24	24.95	24.95	4.39	1640.97	575.97	1651.28	575.93	1370.73	558.93	1380.82	558.99	566.11	547.93	578.50	515.57	0	1	1	2	-1	-1	-54.53	33.09	568.41	-5.87	36.45	573.19	-0.14	0.18	-0.97	-0.06	0.21	-0.98	 -1	
728688949	SMP	1	1652.02	569.56	1377.48	552.22	24.09	24.09	4.22	25.21	25.21	4.38	1640.66	576.21	1650.83	576.17	1370.46	559.22	1380.50	559.29	566.37	549.11	579.32	521.14	0	1	1	2	-1	-1	-54.50	33.07	568.82	-5.81	36.42	573.46	-0.14	0.19	-0.97	-0.06	0.20	-0.98	 -1	
728722298	SMP	1	1651.67	569.68	1377.12	552.22	24.11	24.11	4.21	25.24	25.24	4.38	1640.19	576.38	1650.45	576.26	1369.96	559.43	1380.16	559.39	566.27	550.09	578.83	522.71	0	1	1	2	-1	-1	-54.42	33.04	568.80	-5.73	36.36	572.97	-0.14	0.19	-0.97	-0.07	0.20	-0.98	 -1	
728755610	SMP	1	1651.10	569.72	1376.54	552.28	24.33	24.33	4.20	25.21	25.21	4.37	1639.71	576.35	1649.93	576.27	1369.59	559.41	1379.60	559.40	566.70	551.69	579.71	525.59	0	1	1	2	-1	-1	-54.36	33.06	569.06	-5.65	36.40	573.66	-0.14	0.19	-0.97	-0.06	0.20	-0.98	 -1	
728788999	SMP	1	1655.39	569.83	1381.20	552.20	24.25	24.25	4.19	25.28	25.28	4.37	1641.70	576.23	1651.71	576.19	1371.79	559.18	1381.73	559.29	348.30	554.24	358.92	528.87	0	1	1	2	-1	-1	-54.79	33.13	569.99	-6.06	36.48	574.46	-0.23	0.18	-0.96	-0.15	0.20	-0.97	 -1	
728822274	SMP	1	1658.22	569.94	1384.40	552.19	24.14	24.14	4.19	25.30	25.30	4.37	1643.03	576.28	1653.02	576.18	1373.55	559.05	1383.54	559.22	208.75	556.47	225.25	533.19	0	1	1	2	-1	-1	-55.10	33.18	570.80	-6.39	36.53	574.84	-0.29	0.18	-0.94	-0.21	0.20	-0.96	 -1	
728855606	SMP	1	1657.98	569.96	1384.28	552.25	24.38	24.38	4.19	25.46	25.46	4.38	1642.70	576.22	1652.81	576.12	1373.30	559.06	1383.30	559.24	206.72	560.12	217.76	537.07	0	1	1	2	-1	-1	-55.08	33.20	571.04	-6.35	36.55	575.22	-0.29	0.17	-0.94	-0.21	0.19	-0.96	 -1	
