## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order2\SAN-081518-01-[d31cb48e-515d-4e69-a513-abc36bdb797f]\SAN-081518-01-eye_data.idf
## Date:	15.08.2018 10:37:20
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11235                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-081518-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
868564786	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
868596517	SMP	1	1597.60	733.57	1297.13	688.16	32.11	32.11	5.26	29.57	29.57	4.85	1590.20	738.34	1601.55	738.29	1291.67	693.40	1302.94	693.38	900.17	668.64	883.24	618.12	0	1	1	2	-1	-1	-43.38	3.64	542.30	7.99	11.44	545.58	0.01	0.16	-0.99	-0.01	0.16	-0.99	0	 -1	
868629866	SMP	1	1597.66	732.85	1297.08	687.63	32.50	32.50	5.27	29.93	29.93	4.86	1590.18	737.61	1601.56	737.61	1291.74	692.72	1303.00	692.75	900.90	668.96	882.67	621.69	0	1	1	2	-1	-1	-43.36	3.76	542.06	7.97	11.55	545.30	0.01	0.16	-0.99	0.00	0.16	-0.99	0	 -1	
868663200	SMP	1	1597.50	732.85	1297.03	687.46	32.61	32.61	5.28	30.00	30.00	4.87	1590.05	737.49	1601.41	737.46	1291.65	692.64	1302.88	692.66	901.45	670.52	881.30	623.56	0	1	1	2	-1	-1	-43.33	3.79	541.87	7.99	11.56	545.15	0.01	0.16	-0.99	-0.01	0.16	-0.99	0	 -1	
868696511	SMP	1	1597.29	732.74	1296.93	687.46	32.70	32.70	5.29	30.22	30.22	4.88	1589.98	737.43	1601.31	737.39	1291.56	692.56	1302.69	692.57	903.48	670.87	879.65	626.27	0	1	1	2	-1	-1	-43.31	3.80	541.86	8.02	11.58	545.35	0.02	0.16	-0.99	-0.01	0.16	-0.99	0	 -1	
868729853	SMP	1	1597.36	732.83	1296.87	687.60	32.85	32.85	5.30	30.28	30.28	4.90	1589.97	737.63	1601.30	737.52	1291.56	692.79	1302.70	692.81	903.74	670.32	879.11	626.50	0	1	1	2	-1	-1	-43.30	3.77	541.80	8.02	11.54	545.52	0.01	0.16	-0.99	0.00	0.16	-0.99	0	 -1	
868763182	SMP	1	1597.41	732.94	1296.97	687.64	33.05	33.05	5.31	30.57	30.57	4.91	1590.13	737.61	1601.46	737.54	1291.68	692.81	1302.88	692.83	905.53	671.40	878.89	627.50	0	1	1	2	-1	-1	-43.34	3.77	541.87	7.99	11.54	545.54	0.02	0.16	-0.99	0.00	0.16	-0.99	0	 -1	
868796510	SMP	1	1597.62	732.79	1296.97	687.60	33.28	33.28	5.33	30.70	30.70	4.93	1590.17	737.56	1601.49	737.48	1291.73	692.77	1303.01	692.77	904.38	671.54	880.14	628.67	0	1	1	2	-1	-1	-43.34	3.78	541.88	7.97	11.54	545.38	0.01	0.16	-0.99	0.00	0.16	-0.99	0	 -1	
868829948	SMP	1	1597.70	732.99	1297.10	687.47	33.31	33.31	5.35	30.85	30.85	4.95	1590.18	737.67	1601.56	737.59	1291.81	692.78	1303.02	692.77	903.45	673.28	880.28	627.63	0	1	1	2	-1	-1	-43.35	3.76	541.87	7.97	11.54	545.41	0.01	0.16	-0.99	0.00	0.17	-0.99	0	 -1	
868863229	SMP	1	1597.87	732.79	1297.28	687.18	33.66	33.66	5.38	31.00	31.00	4.97	1590.41	737.53	1601.65	737.46	1291.98	692.47	1303.29	692.43	902.53	672.85	880.71	628.31	0	1	1	2	-1	-1	-43.40	3.78	542.18	7.93	11.59	545.25	0.01	0.16	-0.99	0.00	0.16	-0.99	0	 -1	
868896566	SMP	1	1598.17	732.82	1297.48	687.08	33.74	33.74	5.40	31.02	31.02	4.99	1590.73	737.56	1602.04	737.45	1292.32	692.39	1303.41	692.36	902.49	672.41	881.67	627.56	0	1	1	2	-1	-1	-43.46	3.78	542.20	7.90	11.62	545.74	0.01	0.16	-0.99	0.00	0.17	-0.99	0	 -1	
868929916	SMP	1	1598.34	732.50	1297.48	686.75	33.82	33.82	5.42	31.32	31.32	5.02	1590.87	737.16	1602.23	737.20	1292.43	692.04	1303.58	691.99	902.37	672.21	883.88	626.31	0	1	1	2	-1	-1	-43.49	3.84	542.22	7.87	11.68	545.91	0.01	0.16	-0.99	0.00	0.16	-0.99	0	 -1	
868963656	SMP	1	1598.45	732.33	1297.80	686.65	33.99	33.99	5.44	31.20	31.20	5.03	1590.93	737.16	1602.30	737.20	1292.55	691.88	1303.68	691.88	901.47	670.67	883.82	625.86	0	1	1	2	-1	-1	-43.50	3.84	542.16	7.86	11.71	546.12	0.01	0.16	-0.99	0.00	0.16	-0.99	0	 -1	
868996475	SMP	1	1598.54	732.36	1297.93	686.59	33.96	33.96	5.46	31.45	31.45	5.06	1591.08	737.21	1602.41	737.20	1292.72	691.82	1303.91	691.81	901.59	669.42	884.54	624.46	0	1	1	2	-1	-1	-43.52	3.83	542.18	7.82	11.72	546.13	0.01	0.16	-0.99	0.00	0.16	-0.99	0	 -1	
869029808	SMP	1	1598.83	732.20	1298.11	686.35	34.17	34.17	5.48	31.59	31.59	5.08	1591.23	737.02	1602.51	737.02	1292.89	691.64	1304.14	691.64	899.45	667.50	885.60	622.83	0	1	1	2	-1	-1	-43.55	3.87	542.25	7.79	11.75	545.98	0.01	0.16	-0.99	0.00	0.17	-0.99	0	 -1	
869063213	SMP	1	1598.93	732.24	1298.08	686.47	34.28	34.28	5.50	31.72	31.72	5.10	1591.24	737.01	1602.51	736.96	1292.87	691.66	1304.13	691.65	895.75	666.67	886.82	622.07	0	1	1	2	-1	-1	-43.56	3.87	542.34	7.79	11.74	545.84	0.00	0.16	-0.99	0.00	0.16	-0.99	0	 -1	
869096487	SMP	1	1598.79	732.44	1297.84	686.68	34.29	34.29	5.52	31.87	31.87	5.12	1591.07	737.21	1602.41	737.25	1292.67	691.97	1303.88	691.97	893.13	665.51	887.78	620.60	0	1	1	2	-1	-1	-43.53	3.83	542.30	7.83	11.69	545.88	0.00	0.16	-0.99	0.00	0.17	-0.99	0	 -1	
869129800	SMP	1	1593.17	738.45	1293.74	693.27	34.65	34.65	5.54	31.92	31.92	5.14	1587.73	740.34	1599.21	740.41	1290.62	695.49	1301.94	695.49	1112.81	915.92	1073.29	886.10	0	1	1	2	-1	-1	-42.95	3.29	541.98	8.17	11.08	545.64	0.09	0.06	-0.99	0.08	0.06	-1.00	0	 -1	
869163223	SMP	1	1589.02	742.19	1289.61	697.08	34.66	34.66	5.56	31.97	31.97	5.16	1585.04	742.39	1596.45	742.39	1288.21	697.52	1299.34	697.48	1263.48	1075.54	1222.22	1048.23	0	1	1	2	-1	-1	-42.47	2.94	541.87	8.61	10.73	545.94	0.13	0.00	-0.99	0.13	0.00	-0.99	0	 -1	
869196468	SMP	1	1588.96	742.50	1288.69	697.28	34.67	34.67	5.58	31.92	31.92	5.17	1585.00	742.51	1596.39	742.51	1287.45	697.76	1298.57	697.75	1265.40	1084.84	1229.93	1044.80	0	1	1	2	-1	-1	-42.45	2.92	541.75	8.74	10.69	546.15	0.13	0.00	-0.99	0.14	0.00	-0.99	0	 -1	
869229792	SMP	1	1588.51	742.20	1287.99	697.30	34.79	34.79	5.59	31.93	31.93	5.18	1584.79	742.36	1596.21	742.43	1286.70	697.75	1297.94	697.73	1275.73	1081.04	1232.49	1044.58	0	1	1	2	-1	-1	-42.40	2.94	541.55	8.86	10.69	545.95	0.14	0.00	-0.99	0.14	0.00	-0.99	0	 -1	
869263115	SMP	1	1588.35	741.75	1287.18	697.05	35.07	35.07	5.61	32.12	32.12	5.19	1584.52	741.91	1595.83	741.92	1285.91	697.53	1297.11	697.50	1274.63	1080.19	1233.80	1043.76	0	1	1	2	-1	-1	-42.35	3.02	541.66	9.00	10.73	545.95	0.14	0.00	-0.99	0.14	0.00	-0.99	0	 -1	
869296616	SMP	1	1587.65	741.97	1286.29	697.53	35.05	35.05	5.63	32.11	32.11	5.21	1583.81	742.04	1595.29	742.17	1285.02	697.98	1296.19	697.94	1277.35	1080.08	1234.17	1043.85	0	1	1	2	-1	-1	-42.22	2.99	541.27	9.16	10.66	546.04	0.14	0.00	-0.99	0.14	0.00	-0.99	0	 -1	
869329771	SMP	1	1586.69	742.69	1285.08	698.83	35.30	35.30	5.65	32.38	32.38	5.22	1582.84	742.82	1594.31	742.85	1283.85	699.25	1295.08	699.19	1278.66	1079.72	1235.63	1044.54	0	1	1	2	-1	-1	-42.03	2.86	541.00	9.35	10.44	546.01	0.14	0.00	-0.99	0.14	-0.01	-0.99	0	 -1	
