## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-082018-02-[4dd8133c-bea5-4fd4-9aee-fe452407839c]\SAN-082018-02-eye_data.idf
## Date:	20.08.2018 11:48:16
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11359                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-082018-02                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
5889604077	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
5889625508	SMP	1	1363.02	577.42	1082.55	539.68	31.44	31.44	5.40	32.51	32.51	5.54	1356.62	588.34	1366.99	588.31	1080.16	550.91	1090.69	551.02	1090.99	218.59	1045.79	216.51	0	1	1	2	-1	-1	-3.30	30.83	567.96	46.11	37.27	563.56	-0.04	0.35	-0.94	0.03	0.35	-0.94	0	 -1	
5889658899	SMP	1	1363.37	577.96	1081.47	539.26	31.37	31.37	5.39	32.44	32.44	5.54	1356.59	588.65	1367.04	588.71	1079.04	550.75	1089.50	550.90	1065.20	227.69	1041.97	193.30	0	1	1	2	-1	-1	-3.29	30.74	567.48	46.31	37.29	563.52	-0.05	0.34	-0.94	0.03	0.36	-0.93	0	 -1	
5889692217	SMP	1	1363.72	578.06	1081.04	538.72	31.35	31.35	5.38	32.62	32.62	5.54	1356.73	588.62	1367.15	588.75	1078.39	550.36	1088.85	550.55	1048.92	232.62	1033.96	180.99	0	1	1	2	-1	-1	-3.32	30.75	567.66	46.43	37.36	563.56	-0.06	0.34	-0.94	0.02	0.36	-0.93	0	 -1	
5889725605	SMP	1	1363.86	577.95	1080.62	538.64	31.50	31.50	5.38	32.62	32.62	5.54	1357.17	588.50	1367.39	588.66	1078.03	550.12	1088.55	550.28	1051.79	231.68	1032.56	183.04	0	1	1	2	-1	-1	-3.39	30.83	568.80	46.48	37.40	563.44	-0.05	0.34	-0.94	0.02	0.36	-0.93	0	 -1	
5889758866	SMP	1	1365.16	574.29	1083.03	535.01	30.82	30.82	5.36	32.25	32.25	5.53	1357.71	587.49	1367.68	586.78	1079.49	548.66	1090.09	549.09	996.46	47.42	989.50	-9.98	0	1	1	2	-1	-1	-3.47	31.20	570.75	46.18	37.61	563.10	-0.09	0.42	-0.90	-0.01	0.44	-0.90	0	 -1	
5889792148	SMP	1	1366.10	574.52	1082.91	534.89	31.01	31.01	5.35	32.27	32.27	5.52	1358.53	587.56	1368.73	586.92	1079.40	548.91	1090.02	548.75	985.60	53.78	981.26	-12.11	0	1	1	2	-1	-1	-3.64	31.15	570.23	46.16	37.59	562.68	-0.08	0.41	-0.91	-0.01	0.44	-0.90	0	 -1	
5889825465	SMP	1	1366.51	574.75	1082.81	534.97	31.15	31.15	5.35	32.48	32.48	5.52	1358.79	587.79	1369.08	587.28	1079.23	548.94	1089.73	548.83	974.56	54.28	968.31	-12.13	0	1	1	2	-1	-1	-3.69	31.08	569.96	46.20	37.58	562.68	-0.09	0.42	-0.90	-0.01	0.44	-0.90	0	 -1	
5889858865	SMP	1	1366.95	575.21	1082.75	535.09	31.35	31.35	5.35	32.52	32.52	5.52	1359.43	588.31	1369.63	587.66	1079.22	549.12	1089.74	549.05	978.80	54.13	966.81	-13.77	0	1	1	2	-1	-1	-3.80	31.03	570.56	46.19	37.54	562.56	-0.08	0.42	-0.90	-0.01	0.44	-0.90	0	 -1	
5889892134	SMP	1	1367.45	575.40	1083.09	535.30	31.19	31.19	5.35	32.49	32.49	5.51	1359.89	588.42	1370.05	587.88	1079.41	549.36	1090.10	549.21	974.49	54.11	962.34	-14.09	0	1	1	2	-1	-1	-3.89	31.03	570.99	46.09	37.46	561.91	-0.09	0.42	-0.90	-0.01	0.44	-0.90	0	 -1	
