## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order2\SAN-082418-02-[e3bd5005-7486-4e74-a81c-1acd555be578]\SAN-082418-02-eye_data.idf
## Date:	24.08.2018 12:00:25
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11229                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-082418-02                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
7424633851	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
7424658653	SMP	1	1491.05	963.99	1257.35	962.01	23.04	23.04	4.78	22.84	22.84	4.79	1490.49	962.96	1497.52	962.89	1260.48	961.22	1267.58	961.34	1560.58	1113.02	1584.05	1128.47	0	1	1	2	-1	-1	-33.24	-44.94	696.59	17.61	-44.73	699.06	0.18	0.02	-0.98	0.28	0.03	-0.96	0	 -1	
7424691980	SMP	1	1490.87	961.19	1256.75	959.40	23.14	23.14	4.79	22.97	22.97	4.79	1490.42	960.16	1497.46	960.08	1259.80	958.52	1266.91	958.62	1575.59	1115.62	1583.70	1128.78	0	1	1	2	-1	-1	-33.18	-44.25	695.57	17.71	-44.00	696.96	0.18	0.01	-0.98	0.27	0.02	-0.96	0	 -1	
7424725344	SMP	1	1490.57	958.40	1255.80	956.86	23.33	23.33	4.81	23.25	23.25	4.80	1489.89	957.42	1497.05	957.28	1258.96	955.89	1266.10	956.02	1567.29	1116.20	1591.32	1130.72	0	1	1	2	-1	-1	-32.97	-43.50	693.34	17.83	-43.28	694.72	0.18	0.01	-0.98	0.28	0.02	-0.96	0	 -1	
7424758647	SMP	1	1489.77	955.65	1254.59	954.54	23.41	23.41	4.82	23.13	23.13	4.80	1489.23	954.58	1496.40	954.65	1257.64	953.62	1264.94	953.67	1579.32	1116.47	1589.61	1131.58	0	1	1	2	-1	-1	-32.75	-42.81	691.80	17.98	-42.46	689.70	0.18	0.01	-0.98	0.27	0.02	-0.96	0	 -1	
7424792021	SMP	1	1488.87	953.19	1253.22	952.53	23.41	23.41	4.83	23.20	23.20	4.80	1488.21	952.19	1495.38	952.08	1256.36	951.61	1263.49	951.70	1576.16	1117.29	1593.63	1131.58	0	1	1	2	-1	-1	-32.47	-42.19	690.59	18.32	-42.12	691.17	0.18	0.01	-0.98	0.27	0.02	-0.96	0	 -1	
7424825401	SMP	1	1487.64	950.73	1251.55	950.74	23.68	23.68	4.84	23.50	23.50	4.81	1486.87	949.59	1494.15	949.66	1254.58	949.80	1261.90	949.87	1575.01	1118.73	1593.43	1132.31	0	1	1	2	-1	-1	-32.07	-41.49	688.04	18.56	-41.44	686.58	0.17	0.01	-0.98	0.27	0.02	-0.96	0	 -1	
7424858665	SMP	1	1486.06	948.38	1249.67	949.21	23.61	23.61	4.85	23.57	23.57	4.82	1485.46	947.29	1492.72	947.25	1252.80	948.40	1260.04	948.54	1583.15	1119.80	1596.81	1129.58	0	1	1	2	-1	-1	-31.71	-40.90	686.93	18.95	-41.13	686.39	0.18	0.01	-0.98	0.27	0.02	-0.96	0	 -1	
7424891998	SMP	1	1484.40	946.30	1247.62	948.19	23.71	23.71	4.85	23.63	23.63	4.83	1483.69	945.39	1491.03	945.27	1250.75	947.41	1258.04	947.53	1582.69	1118.18	1598.74	1127.45	0	1	1	2	-1	-1	-31.22	-40.34	684.57	19.34	-40.80	684.43	0.17	0.02	-0.98	0.27	0.03	-0.96	0	 -1	
7424925318	SMP	1	1482.57	945.06	1245.54	948.02	23.78	23.78	4.86	23.68	23.68	4.83	1481.80	943.88	1489.15	943.92	1248.54	947.11	1255.87	947.29	1583.13	1120.02	1597.25	1127.71	0	1	1	2	-1	-1	-30.75	-39.95	683.08	19.76	-40.64	682.76	0.17	0.01	-0.99	0.27	0.02	-0.96	0	 -1	
