## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order3\SAN-092718-02-[a71230e8-1d87-46e4-b8d5-ab87d58bffca]\SAN-092718-02-eye_data.idf
## Date:	27.09.2018 14:31:39
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11162                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-092718-02                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;459)
## Calibration Point 1:	Position(446;109)
## Calibration Point 2:	Position(1774;282)
## Calibration Point 3:	Position(1528;970)
## Calibration Point 4:	Position(139;707)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
8423844308	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
8423858606	SMP	1	1406.69	813.94	1155.75	821.37	28.60	28.60	6.08	28.44	28.44	6.06	1402.17	811.16	0.00	0.00	1152.86	818.05	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.85	-11.51	702.53	42.04	-13.14	707.67	-0.03	-0.11	-0.99	-0.04	-0.13	-0.99	0	 -1	
8423891865	SMP	1	0.00	0.00	1155.05	822.98	0.00	0.00	0.00	28.24	28.24	6.06	0.00	0.00	0.00	0.00	1152.33	819.56	1158.65	819.60	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	42.44	-13.57	712.01	0.00	0.00	0.00	-0.04	-0.14	-0.99	0	 -1	
8423925282	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
8423958541	SMP	1	0.00	0.00	1154.24	828.29	0.00	0.00	0.00	28.11	28.11	6.05	0.00	0.00	0.00	0.00	1151.43	824.86	1158.03	824.98	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	42.45	-14.71	709.17	0.00	0.00	0.00	-0.04	-0.13	-0.99	0	 -1	
8423991924	SMP	1	0.00	0.00	1154.11	831.07	0.00	0.00	0.00	27.90	27.90	6.04	0.00	0.00	0.00	0.00	1151.48	827.56	1157.85	827.64	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	42.74	-15.42	713.88	0.00	0.00	0.00	-0.03	-0.14	-0.99	0	 -1	
8424025187	SMP	1	0.00	0.00	1157.18	831.43	0.00	0.00	0.00	27.81	27.81	6.04	0.00	0.00	0.00	0.00	1153.47	828.51	1159.61	828.48	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	42.85	-15.82	722.87	0.00	0.00	0.00	-0.09	-0.12	-0.99	0	 -1	
8424058531	SMP	1	1404.38	823.11	1157.49	831.14	27.90	27.90	6.05	28.10	28.10	6.03	1398.61	820.56	1405.29	820.62	1153.51	828.54	1160.04	828.58	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.05	-13.65	704.28	42.27	-15.64	713.92	-0.09	-0.10	-0.99	-0.09	-0.10	-0.99	0	 -1	
8424091859	SMP	1	1404.33	821.75	1157.88	829.54	28.01	28.01	6.03	28.21	28.21	6.04	1398.57	819.35	1405.21	819.32	1153.98	827.13	1160.48	827.35	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.05	-13.38	705.15	42.25	-15.37	715.28	-0.09	-0.09	-0.99	-0.09	-0.09	-0.99	0	 -1	
8424125182	SMP	1	1404.78	819.53	1158.80	827.07	27.99	27.99	6.01	28.22	28.22	6.04	1398.81	817.17	1405.51	817.30	1154.70	824.66	1161.38	824.63	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-13.11	-12.90	704.81	41.92	-14.73	712.81	-0.10	-0.09	-0.99	-0.09	-0.09	-0.99	0	 -1	
