## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order3\SAN-100418-04-[0168f831-cd5a-4b97-b726-171a38d1056a]\SAN-100418-04-eye_data.idf
## Date:	04.10.2018 16:08:23
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11184                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-100418-04                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;459)
## Calibration Point 1:	Position(446;109)
## Calibration Point 2:	Position(1774;282)
## Calibration Point 3:	Position(1528;970)
## Calibration Point 4:	Position(139;707)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
9749363388	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
9771965932	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
9771980667	MSG	1	# Message: UE-keypress VolumeDown
9771994277	SMP	1	1430.44	624.77	1196.26	621.95	25.59	25.59	6.66	25.04	25.04	6.51	1426.24	627.91	1430.65	627.93	1194.56	625.10	1199.08	625.03	844.68	468.52	829.92	508.11	0	1	1	2	-1	-1	-23.43	36.30	869.84	40.19	36.84	864.15	-0.09	0.14	-0.99	-0.01	0.13	-0.99	0	 -1	
9772027617	SMP	1	1430.57	624.59	1196.33	621.50	25.69	25.69	6.67	24.92	24.92	6.50	1426.44	627.61	1430.75	627.70	1194.64	624.63	1199.30	624.62	848.80	478.98	830.62	513.34	0	1	1	2	-1	-1	-23.58	36.54	874.00	39.99	36.81	860.60	-0.09	0.13	-0.99	-0.01	0.13	-0.99	0	 -1	
9772060988	SMP	1	1430.54	624.81	1196.34	621.92	25.56	25.56	6.68	25.22	25.22	6.50	1426.39	628.13	1430.71	628.05	1194.65	625.10	1199.23	625.09	852.44	458.26	829.07	513.57	0	1	1	2	-1	-1	-23.58	36.43	874.14	40.02	36.71	861.21	-0.09	0.14	-0.99	-0.01	0.14	-0.99	0	 -1	
9772094250	SMP	1	1430.31	624.60	1196.20	621.60	25.50	25.50	6.68	25.10	25.10	6.50	1426.18	627.64	1430.54	627.59	1194.52	624.51	1199.21	624.63	857.95	487.76	829.52	529.69	0	1	1	2	-1	-1	-23.51	36.54	873.71	39.94	36.75	858.86	-0.08	0.13	-0.99	-0.01	0.12	-0.99	0	 -1	
9772127613	SMP	1	1430.37	624.81	1196.18	621.76	25.64	25.64	6.68	25.04	25.04	6.50	1425.92	628.06	1430.50	628.13	1194.48	625.05	1198.98	625.01	852.04	464.38	826.68	515.43	0	1	1	2	-1	-1	-23.29	36.12	866.87	40.12	36.76	862.00	-0.10	0.14	-0.98	-0.01	0.14	-0.99	0	 -1	
9772160902	SMP	1	1430.29	624.77	1196.16	621.68	25.64	25.64	6.68	25.01	25.01	6.49	1425.90	627.74	1430.49	627.73	1194.45	624.65	1198.99	624.78	855.79	499.47	826.10	529.97	0	1	1	2	-1	-1	-23.26	36.19	866.10	40.07	36.79	860.82	-0.09	0.13	-0.99	-0.01	0.13	-0.99	0	 -1	
9772194265	SMP	1	1430.30	625.03	1196.00	622.14	25.72	25.72	6.67	25.14	25.14	6.50	1425.83	628.23	1430.49	628.35	1194.46	625.35	1198.85	625.16	852.44	472.70	828.83	524.25	0	1	1	2	-1	-1	-23.17	35.92	863.16	40.20	36.76	863.38	-0.09	0.14	-0.99	-0.01	0.13	-0.99	0	 -1	
9772227573	SMP	1	1430.12	624.88	1196.00	621.77	25.67	25.67	6.67	25.10	25.10	6.50	1425.79	628.15	1430.39	628.18	1194.37	625.17	1198.74	625.09	855.88	472.61	827.78	509.79	0	1	1	2	-1	-1	-23.17	35.98	863.80	40.27	36.83	864.29	-0.09	0.14	-0.99	-0.01	0.15	-0.99	0	 -1	
9772260907	SMP	1	1430.02	625.30	1195.73	622.32	25.65	25.65	6.66	25.07	25.07	6.50	1425.62	628.41	1430.31	628.45	1194.12	625.42	1198.46	625.45	858.62	486.14	828.55	524.32	0	1	1	2	-1	-1	-23.02	35.72	859.31	40.44	36.83	866.35	-0.09	0.13	-0.99	-0.01	0.13	-0.99	0	 -1	
9772294257	SMP	1	1429.75	625.10	1195.42	622.15	25.42	25.42	6.66	25.22	25.22	6.50	1425.58	628.34	1429.92	628.24	1193.69	625.33	1198.43	625.42	861.58	473.07	830.27	520.14	0	1	1	2	-1	-1	-23.25	36.21	870.20	40.13	36.51	858.24	-0.09	0.14	-0.99	-0.01	0.14	-0.99	0	 -1	
9772327579	SMP	1	1429.61	624.93	1195.39	622.06	25.70	25.70	6.67	25.27	25.27	6.50	1425.50	628.23	1429.88	628.11	1193.64	625.32	1198.37	625.34	866.84	465.79	830.99	514.49	0	1	1	2	-1	-1	-23.20	36.20	869.12	40.06	36.44	856.52	-0.08	0.14	-0.99	-0.01	0.14	-0.99	0	 -1	
