## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order4\SAN-100418-05-[d0f9b172-69fc-4e19-a225-343126706d14]\SAN-100418-05-eye_data.idf
## Date:	04.10.2018 16:33:59
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11529                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-100418-05                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;459)
## Calibration Point 1:	Position(446;109)
## Calibration Point 2:	Position(1774;282)
## Calibration Point 3:	Position(1528;970)
## Calibration Point 4:	Position(139;707)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
11307181924	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
11307198598	SMP	1	1502.89	691.31	1249.43	696.02	27.49	27.49	6.34	26.57	26.57	6.12	1498.84	697.22	1504.48	697.25	1247.57	702.25	1253.28	702.21	962.53	-19.32	1005.04	37.04	0	1	1	2	-1	-1	-38.38	15.11	765.29	22.55	13.88	764.13	-0.01	0.27	-0.96	0.02	0.29	-0.96	0	 -1	
11307231923	SMP	1	1502.92	691.97	1249.23	696.77	27.40	27.40	6.33	26.58	26.58	6.12	1498.72	697.77	1504.56	697.55	1247.45	702.88	1253.12	703.00	961.42	6.03	1013.16	39.76	0	1	1	2	-1	-1	-38.26	14.96	762.96	22.60	13.72	764.61	-0.02	0.26	-0.97	0.02	0.29	-0.96	0	 -1	
11307265237	SMP	1	1502.87	691.56	1249.20	696.37	27.54	27.54	6.33	26.79	26.79	6.13	1498.86	697.40	1504.51	697.30	1247.42	702.41	1253.01	702.49	964.42	-7.30	1016.56	44.16	0	1	1	2	-1	-1	-38.40	15.09	765.57	22.66	13.86	766.10	-0.01	0.27	-0.96	0.02	0.28	-0.96	0	 -1	
11307298566	SMP	1	1502.63	691.95	1248.90	696.74	27.52	27.52	6.33	26.55	26.55	6.13	1498.68	697.78	1504.43	697.61	1247.06	702.99	1252.57	703.02	970.48	-5.44	1017.11	36.61	0	1	1	2	-1	-1	-38.34	14.99	764.98	22.83	13.77	768.60	-0.01	0.27	-0.96	0.02	0.29	-0.96	0	 -1	
11307331898	SMP	1	1502.63	691.94	1248.81	696.76	27.46	27.46	6.32	26.63	26.63	6.13	1498.67	697.76	1504.35	697.57	1246.87	703.01	1252.43	703.07	972.61	-5.53	1017.51	31.00	0	1	1	2	-1	-1	-38.38	15.02	765.99	22.90	13.78	769.41	-0.01	0.26	-0.96	0.01	0.30	-0.96	0	 -1	
11307365222	SMP	1	1502.45	691.58	1248.81	696.44	27.55	27.55	6.33	26.49	26.49	6.13	1498.63	697.69	1504.23	697.58	1246.91	702.93	1252.48	702.96	978.47	-29.75	1019.61	11.32	0	1	1	2	-1	-1	-38.44	15.06	767.52	22.92	13.82	770.52	0.00	0.28	-0.96	0.02	0.31	-0.95	0	 -1	
11307398560	SMP	1	1502.44	691.98	1248.70	696.80	27.47	27.47	6.33	26.54	26.54	6.13	1498.50	698.11	1504.24	698.05	1246.68	703.20	1252.34	703.18	979.47	-41.28	1018.84	12.37	0	1	1	2	-1	-1	-38.38	14.93	766.68	22.96	13.76	770.37	-0.01	0.28	-0.96	0.01	0.30	-0.95	0	 -1	
11307431905	SMP	1	1502.39	691.93	1248.76	696.67	27.34	27.34	6.32	26.62	26.62	6.13	1498.51	697.99	1504.11	697.83	1246.73	703.10	1252.33	703.13	981.44	-39.06	1018.21	2.91	0	1	1	2	-1	-1	-38.43	15.00	768.09	22.99	13.80	771.55	-0.01	0.28	-0.96	0.01	0.30	-0.95	0	 -1	
11307465220	SMP	1	1502.38	692.16	1248.52	696.84	27.54	27.54	6.33	26.56	26.56	6.14	1498.39	698.22	1504.22	698.19	1246.62	703.23	1252.31	703.18	982.00	-44.72	1022.55	4.33	0	1	1	2	-1	-1	-38.31	14.88	765.73	23.00	13.77	771.28	-0.01	0.28	-0.96	0.02	0.30	-0.95	0	 -1	
