## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-072018-01-[caf76c81-4266-448c-ba29-230ffec768e3]\SAN-072018-01-eye_data.idf
## Date:	20.07.2018 11:04:46
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11283                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-072018-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
5865615667	SMP	1	1419.60	941.08	1155.36	955.63	20.17	20.17	4.87	20.72	20.72	4.85	1418.44	944.62	1423.92	944.52	1153.78	958.54	1159.10	958.58	1292.05	321.29	1222.10	450.41	0	1	1	2	-1	-1	-19.27	-45.93	782.54	46.95	-49.96	791.48	0.10	0.23	-0.97	0.00	0.21	-0.98	0		
5865649127	SMP	1	1420.14	938.41	1155.64	953.54	19.91	19.91	4.83	20.61	20.61	4.86	1419.09	941.83	1424.61	941.27	1154.04	956.48	1159.36	956.44	1318.05	371.69	1219.06	450.51	0	1	1	2	-1	-1	-19.43	-45.16	782.13	46.93	-49.49	792.38	0.11	0.21	-0.97	0.00	0.21	-0.98	0		
5898749795	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
5898778925	SMP	1	0.00	0.00	1147.89	970.16	0.00	0.00	0.00	22.27	22.27	5.13	0.00	0.00	0.00	0.00	1145.41	971.39	1151.11	971.43	0.00	0.00	891.58	742.05	0	0	1	1	-1	-1	0.00	0.00	0.00	47.28	-51.33	763.74	0.00	0.00	0.00	-0.04	0.13	-0.99	0	 -1	
5898812201	SMP	1	0.00	0.00	1147.81	970.23	0.00	0.00	0.00	22.37	22.37	5.13	0.00	0.00	0.00	0.00	1145.16	971.54	1150.96	971.52	0.00	0.00	891.47	739.60	0	0	1	1	-1	-1	0.00	0.00	0.00	47.18	-51.19	761.30	0.00	0.00	0.00	-0.05	0.13	-0.99	0	 -1	
5898845531	SMP	1	0.00	0.00	1147.45	970.23	0.00	0.00	0.00	22.42	22.42	5.13	0.00	0.00	0.00	0.00	1144.95	971.51	1150.79	971.59	0.00	0.00	898.91	738.31	0	0	1	1	-1	-1	0.00	0.00	0.00	47.14	-51.11	759.98	0.00	0.00	0.00	-0.04	0.13	-0.99	0	 -1	
5898878890	SMP	1	1424.60	953.03	1147.33	970.22	21.16	21.16	5.28	22.34	22.34	5.13	1417.63	957.18	1423.21	957.20	1144.75	971.53	1150.49	971.60	546.42	587.38	898.69	735.49	0	1	1	2	-1	-1	-19.12	-49.14	783.81	47.27	-51.19	761.13	-0.19	0.27	-0.94	-0.05	0.13	-0.99	0	 -1	
5898912192	SMP	1	0.00	0.00	1147.14	970.21	0.00	0.00	0.00	22.13	22.13	5.12	0.00	0.00	0.00	0.00	1144.54	971.52	1150.28	971.55	0.00	0.00	900.64	735.67	0	0	1	1	-1	-1	0.00	0.00	0.00	47.33	-51.19	761.22	0.00	0.00	0.00	-0.05	0.13	-0.99	0	 -1	
5898945542	SMP	1	1424.40	953.47	1146.95	970.46	21.38	21.38	5.24	22.44	22.44	5.12	1417.29	957.34	1422.67	957.31	1144.42	971.76	1150.07	971.87	505.56	775.26	901.53	735.95	0	1	1	2	-1	-1	-19.06	-49.31	786.02	47.44	-51.33	762.40	-0.20	0.26	-0.95	-0.05	0.13	-0.99	0	 -1	
5898978849	SMP	1	0.00	0.00	1146.82	970.27	0.00	0.00	0.00	22.35	22.35	5.12	0.00	0.00	0.00	0.00	1144.22	971.57	1150.00	971.68	0.00	0.00	902.02	734.39	0	0	1	1	-1	-1	0.00	0.00	0.00	47.38	-51.19	760.92	0.00	0.00	0.00	-0.05	0.13	-0.99	0	 -1	
