## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order2\SAN-072718-02-[3e78d4e5-c6c0-48e9-a7f5-c76810c0870b]\SAN-072718-02-eye_data.idf
## Date:	27.07.2018 10:33:35
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11218                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-072718-02                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;459)
## Calibration Point 1:	Position(446;109)
## Calibration Point 2:	Position(1774;282)
## Calibration Point 3:	Position(1528;970)
## Calibration Point 4:	Position(139;707)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4806057577	SMP	1	1374.89	791.83	1081.63	798.44	29.48	29.48	6.24	29.70	29.70	6.35	1370.36	792.40	1376.89	792.45	1078.38	799.61	1084.66	799.66	696.35	1000.24	960.54	981.16	0	1	1	2	-1	-1	-6.87	-7.51	719.66	60.42	-9.26	727.42	-0.05	0.04	-1.00	-0.09	0.07	-0.99	0		
4828258936	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
4828288635	SMP	1	1386.92	787.31	1091.90	792.15	32.73	32.73	7.01	32.63	32.63	7.06	1386.77	787.88	1393.18	787.76	1093.42	792.99	1099.64	792.94	1538.67	1150.51	1556.70	1182.61	0	1	1	2	-1	-1	-10.63	-6.48	721.42	56.90	-7.71	726.57	0.16	0.03	-0.99	0.14	0.05	-0.99	0	 -1	
4828321966	SMP	1	1387.13	787.25	1092.26	792.07	32.86	32.86	7.03	32.74	32.74	7.07	1387.04	787.74	1393.44	787.59	1093.58	792.83	1100.16	792.87	1546.48	1152.51	0.00	0.00	0	1	1	2	-1	-1	-10.70	-6.45	721.77	56.52	-7.64	722.79	0.16	0.03	-0.99	0.14	0.05	-0.99	0	 -1	
4828355297	SMP	1	1387.43	787.18	1092.70	791.92	32.86	32.86	7.04	32.57	32.57	7.07	1387.21	787.75	1393.64	787.65	1093.91	792.63	1100.30	792.78	1541.75	1149.10	0.00	0.00	0	1	1	2	-1	-1	-10.74	-6.46	722.07	56.60	-7.63	724.41	0.15	0.03	-0.99	0.13	0.05	-0.99	0	 -1	
4828388615	SMP	1	1387.88	787.98	1092.78	792.48	31.70	31.70	7.01	31.52	31.52	7.04	1387.65	787.31	1394.22	787.47	1094.34	792.35	1100.61	792.29	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-10.85	-6.38	721.33	56.60	-7.55	725.59	0.16	-0.02	-0.99	0.14	0.00	-0.99	0	 -1	
4828421953	SMP	1	1388.12	787.90	1093.13	792.41	31.46	31.46	6.97	31.07	31.07	6.99	1388.00	787.24	1394.42	787.47	1094.45	792.26	1100.91	792.17	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-10.92	-6.38	721.64	56.44	-7.51	724.07	0.16	-0.02	-0.99	0.14	0.00	-0.99	0	 -1	
4828455268	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4828488645	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4828521952	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4828555273	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4828588596	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4828621926	SMP	1	0.00	0.00	1103.66	781.71	0.00	0.00	0.00	31.85	31.85	6.98	0.00	0.00	0.00	0.00	1101.46	786.53	1107.72	786.48	0.00	0.00	978.71	507.76	0	0	1	1	-1	-1	0.00	0.00	0.00	54.97	-6.22	725.70	0.00	0.00	0.00	-0.03	0.23	-0.97	0	 -1	
4828655270	SMP	1	1399.72	778.62	1103.82	782.41	30.98	30.98	6.92	31.71	31.71	6.97	1395.40	782.27	1401.80	782.38	1101.50	787.22	1107.81	787.00	892.24	604.05	968.28	524.68	0	1	1	2	-1	-1	-12.61	-5.23	721.97	54.96	-6.36	725.79	-0.04	0.18	-0.98	-0.03	0.23	-0.97	0	 -1	
4828688603	SMP	1	1399.89	778.43	1104.31	781.81	31.63	31.63	6.91	32.36	32.36	6.98	1395.87	782.42	1402.41	782.47	1101.75	787.12	1108.26	786.99	908.87	569.98	963.11	467.14	0	1	1	2	-1	-1	-12.73	-5.25	721.47	54.75	-6.33	724.03	-0.02	0.19	-0.98	-0.04	0.25	-0.97	0	 -1	
4828721943	SMP	1	1400.35	778.38	1104.83	781.97	32.15	32.15	6.92	32.63	32.63	7.01	1396.41	782.87	1402.71	782.86	1102.34	787.40	1108.48	787.32	902.81	516.41	956.61	445.80	0	1	1	2	-1	-1	-12.85	-5.36	722.83	54.94	-6.43	727.83	-0.02	0.22	-0.98	-0.04	0.26	-0.96	0	 -1	
4828755344	SMP	1	1400.82	778.40	1105.29	781.66	32.16	32.16	6.93	32.61	32.61	7.03	1396.70	782.86	1403.26	782.77	1102.59	787.36	1109.15	787.25	899.61	518.06	956.39	426.10	0	1	1	2	-1	-1	-12.92	-5.34	721.64	54.49	-6.38	723.16	-0.02	0.21	-0.98	-0.04	0.27	-0.96	0	 -1	
4828788669	SMP	1	0.00	0.00	1105.09	781.76	0.00	0.00	0.00	31.61	31.61	6.99	0.00	0.00	0.00	0.00	1102.67	786.55	1109.31	786.49	0.00	0.00	963.75	523.99	0	0	1	1	-1	-1	0.00	0.00	0.00	54.29	-6.18	720.95	0.00	0.00	0.00	-0.03	0.23	-0.97	0	 -1	
4828821926	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4828855374	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4828888672	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4828921991	SMP	1	0.00	0.00	1104.88	782.08	0.00	0.00	0.00	31.78	31.78	6.98	0.00	0.00	0.00	0.00	1102.93	786.55	1109.34	786.66	0.00	0.00	989.87	548.74	0	0	1	1	-1	-1	0.00	0.00	0.00	54.43	-6.22	723.22	0.00	0.00	0.00	-0.01	0.22	-0.98	0	 -1	
4828955323	SMP	1	1401.24	780.11	1105.07	783.05	30.09	30.09	6.85	31.34	31.34	6.96	1397.33	782.92	1403.75	782.80	1103.31	787.15	1109.46	787.04	906.13	766.04	1006.70	610.97	0	1	1	2	-1	-1	-13.06	-5.35	722.22	54.74	-6.37	728.04	-0.02	0.14	-0.99	-0.01	0.20	-0.98	0	 -1	
4828988629	SMP	1	1401.09	779.56	1105.34	782.79	31.44	31.44	6.84	32.03	32.03	6.97	1397.38	783.15	1403.97	783.37	1103.50	787.43	1109.60	787.40	926.97	604.24	1010.68	546.98	0	1	1	2	-1	-1	-13.07	-5.43	721.05	54.88	-6.47	730.43	0.00	0.18	-0.98	-0.01	0.23	-0.97	0	 -1	
4829021985	SMP	1	1401.35	779.24	1105.60	782.46	32.12	32.12	6.86	32.62	32.62	7.00	1397.57	783.46	1404.12	783.47	1103.50	787.47	1109.71	787.51	929.44	544.52	998.37	499.17	0	1	1	2	-1	-1	-13.10	-5.48	720.66	54.79	-6.47	729.43	-0.01	0.20	-0.98	-0.02	0.25	-0.97	0	 -1	
4829055322	SMP	1	1401.19	778.85	1105.71	782.24	32.53	32.53	6.89	32.89	32.89	7.04	1397.63	783.52	1404.17	783.48	1103.52	787.44	1109.80	787.46	950.49	504.69	995.48	468.10	0	1	1	2	-1	-1	-13.11	-5.48	720.19	54.74	-6.46	728.94	0.00	0.22	-0.97	-0.03	0.25	-0.97	0	 -1	
4829088663	SMP	1	1401.27	778.87	1105.87	782.18	32.61	32.61	6.92	32.91	32.91	7.06	1397.76	783.47	1404.27	783.48	1103.53	787.43	1110.03	787.44	962.50	500.85	993.37	463.25	0	1	1	2	-1	-1	-13.13	-5.47	720.00	54.39	-6.42	724.64	0.01	0.22	-0.98	-0.03	0.25	-0.97	0	 -1	
4829121969	SMP	1	1401.31	778.72	1106.02	782.05	32.55	32.55	6.94	32.98	32.98	7.08	1397.93	783.43	1404.42	783.43	1103.59	787.42	1110.33	787.40	979.04	490.48	996.52	456.79	0	1	1	2	-1	-1	-13.16	-5.46	719.88	53.93	-6.36	719.11	0.01	0.23	-0.97	-0.03	0.26	-0.97	0	 -1	
4829155303	SMP	1	1402.21	777.76	1107.15	781.01	32.37	32.37	6.95	32.95	32.95	7.10	1398.28	782.88	1404.69	782.85	1104.52	786.85	1110.81	786.62	932.23	449.01	969.50	413.04	0	1	1	2	-1	-1	-13.25	-5.34	720.37	54.43	-6.29	727.89	-0.02	0.25	-0.97	-0.05	0.28	-0.96	0	 -1	
4829188600	SMP	1	1402.20	776.22	1107.51	779.43	32.45	32.45	6.96	32.83	32.83	7.11	1398.18	782.24	1404.50	782.28	1104.61	786.23	1111.07	786.13	925.76	260.36	955.92	219.03	0	1	1	2	-1	-1	-13.23	-5.21	721.43	54.10	-6.13	724.06	-0.02	0.29	-0.96	-0.05	0.32	-0.94	0	 -1	
4829221950	SMP	1	1402.09	776.12	1107.33	779.41	32.59	32.59	6.98	32.93	32.93	7.14	1398.03	782.08	1404.45	782.19	1104.52	786.14	1110.54	786.09	924.41	261.21	932.04	206.07	0	1	1	2	-1	-1	-13.20	-5.18	721.09	54.91	-6.19	733.90	-0.02	0.29	-0.96	-0.06	0.33	-0.94	0	 -1	
4829255258	SMP	1	1401.85	775.83	1106.96	779.34	32.55	32.55	6.98	32.61	32.61	7.14	1397.71	781.85	1404.29	781.92	1104.12	785.89	1110.35	785.89	923.14	260.10	926.41	217.34	0	1	1	2	-1	-1	-13.12	-5.11	719.90	54.70	-6.11	730.20	-0.02	0.29	-0.96	-0.06	0.32	-0.95	0	 -1	
4829288638	SMP	1	1401.59	775.89	1106.55	779.28	32.57	32.57	7.00	32.79	32.79	7.14	1397.61	781.80	1403.99	781.79	1103.72	786.01	1110.23	785.89	927.43	265.41	939.05	219.99	0	1	1	2	-1	-1	-13.11	-5.10	721.39	54.26	-6.07	723.51	-0.02	0.28	-0.96	-0.05	0.32	-0.95	0	 -1	
4829321870	SMP	1	1401.24	775.64	1106.22	779.40	32.67	32.67	7.01	32.75	32.75	7.15	1397.36	781.72	1403.66	781.71	1103.51	786.07	1109.69	785.90	930.82	260.00	931.28	219.77	0	1	1	2	-1	-1	-13.06	-5.09	722.60	54.94	-6.14	731.35	-0.02	0.29	-0.96	-0.05	0.32	-0.95	0	 -1	
4829355291	SMP	1	1400.85	775.57	1105.64	779.39	32.66	32.66	7.02	32.97	32.97	7.16	1396.78	781.62	1403.30	781.58	1102.98	785.94	1109.35	785.80	922.91	259.81	939.52	227.84	0	1	1	2	-1	-1	-12.93	-5.05	721.17	54.72	-6.08	727.13	-0.02	0.29	-0.96	-0.04	0.31	-0.95	0	 -1	
