## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order3\SAN-073118-03-[db79f89e-6e67-4f39-a5e2-45dfe94e19bf]\SAN-073118-03-eye_data.idf
## Date:	31.07.2018 11:09:09
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10352                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-073118-03                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
9660296275	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
9660317611	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
9660350822	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
9660384160	SMP	1	1353.02	862.93	1132.89	845.48	21.15	21.15	4.94	20.36	20.36	4.90	1352.39	861.61	1358.47	861.86	1136.11	844.00	1142.28	843.83	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-2.81	-24.12	743.77	48.88	-20.20	754.54	0.12	-0.03	-0.99	0.25	-0.05	-0.97	0	 -1	
9660417495	SMP	1	1353.31	863.20	1132.79	845.93	21.67	21.67	4.92	20.44	20.44	4.87	1352.39	862.35	1358.59	862.24	1136.13	844.41	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-2.83	-24.22	742.89	49.90	-20.70	768.90	0.11	-0.01	-0.99	0.24	-0.05	-0.97	0	 -1	
9660450830	SMP	1	1353.05	863.94	1132.58	846.60	21.42	21.42	4.89	20.28	20.28	4.83	1352.25	862.82	1358.37	862.83	1135.94	845.21	1141.71	845.14	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-2.78	-24.34	742.72	49.31	-20.64	759.76	0.11	-0.02	-0.99	0.25	-0.04	-0.97	0	 -1	
9660484154	SMP	1	1352.58	864.37	1131.99	847.50	22.10	22.10	4.90	20.48	20.48	4.80	1351.66	863.56	1357.93	863.58	1135.42	845.96	1141.23	845.95	1534.49	1124.23	0.00	0.00	0	1	1	2	-1	-1	-2.65	-24.46	741.23	49.39	-20.82	759.19	0.11	-0.01	-0.99	0.25	-0.05	-0.97	0	 -1	
9660517506	SMP	1	1351.97	865.01	1131.26	848.05	21.68	21.68	4.88	20.66	20.66	4.78	1351.14	864.31	1357.26	864.35	1134.66	846.70	1140.66	846.66	1540.73	1124.29	0.00	0.00	0	1	1	2	-1	-1	-2.51	-24.65	741.48	49.34	-20.90	756.02	0.11	0.00	-0.99	0.25	-0.04	-0.97	0	 -1	
9660550821	SMP	1	1357.74	865.96	1137.91	848.87	21.78	21.78	4.88	21.11	21.11	4.78	1353.89	864.67	1360.00	864.69	1137.64	847.47	1143.78	847.47	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-3.16	-24.72	741.24	48.35	-20.98	751.94	-0.03	-0.03	-1.00	0.07	-0.04	-1.00	0	 -1	
9660584217	SMP	1	1363.77	866.44	1144.48	848.59	21.66	21.66	4.87	21.93	21.93	4.81	1357.05	865.17	1363.15	865.05	1141.31	847.80	1147.46	847.88	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-3.90	-24.83	741.29	47.32	-21.00	749.54	-0.17	-0.03	-0.98	-0.07	-0.01	-1.00	0	 -1	
