## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-080118-02-[8064eac2-b5e6-414c-8f17-193aedf6954a]\SAN-080118-02-eye_data.idf
## Date:	01.08.2018 11:20:57
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11349                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-080118-02                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;459)
## Calibration Point 1:	Position(446;109)
## Calibration Point 2:	Position(1774;282)
## Calibration Point 3:	Position(1528;970)
## Calibration Point 4:	Position(139;707)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
7092872379	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
7092908663	SMP	1	1497.76	676.59	1236.35	679.23	30.51	30.51	6.93	28.60	28.60	6.50	1493.61	679.28	1499.68	679.03	1234.79	681.52	1240.70	681.49	1026.58	657.25	1070.04	683.62	0	1	1	2	-1	-1	-36.39	19.10	749.39	25.30	18.66	754.48	-0.01	0.10	-1.00	0.04	0.09	-1.00	0	 -1	
7092942001	SMP	1	1497.83	676.73	1236.38	679.39	30.65	30.65	6.92	28.78	28.78	6.50	1493.60	679.41	1499.63	679.18	1234.65	681.57	1240.58	681.55	985.40	643.28	1018.67	684.61	0	1	1	2	-1	-1	-36.40	19.07	749.69	25.31	18.64	753.97	-0.01	0.10	-0.99	0.03	0.08	-1.00	0	 -1	
7092975321	SMP	1	1497.64	676.78	1236.29	679.40	30.71	30.71	6.92	28.76	28.76	6.50	1493.56	679.40	1499.50	679.11	1234.47	681.57	1240.42	681.54	993.74	647.66	999.01	682.79	0	1	1	2	-1	-1	-36.42	19.10	750.66	25.33	18.62	753.36	-0.01	0.09	-1.00	0.02	0.08	-1.00	0	 -1	
7093008709	SMP	1	1497.48	676.58	1236.01	679.12	30.69	30.69	6.92	28.82	28.82	6.50	1493.36	678.95	1499.35	678.95	1234.33	681.50	1240.22	681.42	986.99	653.16	1005.92	668.95	0	1	1	2	-1	-1	-36.36	19.16	750.23	25.38	18.65	753.44	-0.01	0.09	-1.00	0.03	0.09	-1.00	0	 -1	
7093041988	SMP	1	1497.49	676.51	1235.94	679.17	30.72	30.72	6.92	28.86	28.86	6.51	1493.36	679.10	1499.29	678.99	1234.25	681.49	1240.14	681.43	978.77	632.99	1001.18	665.36	0	1	1	2	-1	-1	-36.37	19.15	750.61	25.39	18.65	753.36	-0.01	0.10	-1.00	0.03	0.09	-1.00	0	 -1	
7093075369	SMP	1	1497.76	675.76	1236.44	678.50	30.80	30.80	6.92	28.76	28.76	6.50	1493.58	678.48	1499.57	678.59	1234.52	681.26	1240.50	681.07	975.00	603.66	989.49	625.17	0	1	1	2	-1	-1	-36.39	19.25	749.77	25.29	18.70	752.56	-0.01	0.11	-0.99	0.02	0.11	-0.99	0	 -1	
7093108635	SMP	1	1498.78	671.23	1237.84	673.77	30.40	30.40	6.91	28.81	28.81	6.51	1493.93	675.93	1499.88	675.92	1235.59	678.32	1241.41	678.35	874.97	176.25	957.32	219.89	0	1	1	2	-1	-1	-36.48	19.88	749.92	25.08	19.39	753.22	-0.04	0.20	-0.98	0.00	0.20	-0.98	0	 -1	
7093141970	SMP	1	1498.91	670.19	1237.76	672.63	30.49	30.49	6.90	28.82	28.82	6.51	1493.81	675.31	1500.00	675.27	1235.54	677.43	1241.42	677.63	839.16	124.58	954.15	181.17	0	1	1	2	-1	-1	-36.36	19.96	747.60	25.09	19.58	753.36	-0.05	0.22	-0.97	0.00	0.21	-0.98	0	 -1	
7093175357	SMP	1	1498.90	670.29	1237.65	672.84	30.28	30.28	6.88	28.68	28.68	6.50	1494.14	675.33	1500.11	675.26	1235.50	677.45	1241.39	677.44	869.95	127.82	955.88	202.48	0	1	1	2	-1	-1	-36.47	19.99	748.77	25.11	19.62	753.78	-0.04	0.22	-0.98	0.01	0.20	-0.98	0	 -1	
