## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order4\SAN-080318-01-[602dce27-495d-4f65-aa9e-b1bfda3b8393]\SAN-080318-01-eye_data.idf
## Date:	03.08.2018 10:41:11
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11487                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	080318-01                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
5183553217	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0		
5183586615	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0		
5210888091	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
5210916923	SMP	1	1053.51	743.23	829.60	747.43	23.77	23.77	6.11	24.46	24.46	6.30	1050.70	745.62	1055.44	745.64	828.44	749.54	832.96	749.61	1030.40	578.42	952.73	667.44	0	1	1	2	-1	-1	78.52	3.75	852.61	138.84	2.69	853.82	-0.11	0.13	-0.99	-0.10	0.12	-0.99	0	 -1	
5210950237	SMP	1	1053.39	743.43	829.42	747.62	23.49	23.49	6.09	24.06	24.06	6.29	1050.61	745.57	1055.37	745.60	828.38	749.59	832.94	749.71	1031.83	585.43	961.78	674.72	0	1	1	2	-1	-1	78.35	3.75	850.56	138.88	2.67	854.02	-0.11	0.11	-0.99	-0.09	0.11	-0.99	0	 -1	
5210983585	SMP	1	1053.40	743.17	829.51	747.28	23.77	23.77	6.09	24.50	24.50	6.30	1050.55	745.51	1055.29	745.54	828.33	749.59	832.89	749.70	1030.31	579.26	962.39	660.54	0	1	1	2	-1	-1	78.28	3.77	849.55	138.89	2.67	854.02	-0.12	0.13	-0.99	-0.10	0.13	-0.99	0	 -1	
5211016895	SMP	1	1053.30	743.10	829.37	747.13	23.81	23.81	6.09	24.56	24.56	6.31	1050.54	745.47	1055.28	745.44	828.29	749.50	832.89	749.43	1029.75	576.71	969.37	656.06	0	1	1	2	-1	-1	78.17	3.78	848.32	138.84	2.72	853.63	-0.11	0.12	-0.99	-0.09	0.13	-0.99	0	 -1	
5211050244	SMP	1	1053.46	743.35	829.59	747.59	23.76	23.76	6.08	24.44	24.44	6.32	1050.65	745.61	1055.39	745.66	828.38	749.60	832.94	749.76	1028.55	578.20	967.37	666.89	0	1	1	2	-1	-1	78.10	3.73	847.91	138.85	2.66	853.82	-0.11	0.12	-0.99	-0.10	0.11	-0.99	0	 -1	
5211083559	SMP	1	1053.70	743.24	829.80	747.59	23.80	23.80	6.09	24.10	24.10	6.31	1050.93	745.58	1055.51	745.67	828.49	749.50	833.03	749.68	1027.83	573.33	966.03	675.33	0	1	1	2	-1	-1	78.31	3.74	850.75	138.89	2.68	854.27	-0.12	0.13	-0.99	-0.10	0.11	-0.99	0	 -1	
5211116893	SMP	1	1053.79	743.38	829.77	747.40	23.91	23.91	6.10	24.60	24.60	6.32	1051.19	745.74	1055.53	745.87	828.52	749.54	833.09	749.80	1027.33	567.54	969.32	660.56	0	1	1	2	-1	-1	78.97	3.73	858.36	138.85	2.66	854.10	-0.11	0.13	-0.98	-0.10	0.12	-0.99	0	 -1	
