## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order2\SAN-080618-01-[6eb6fb30-75a8-4dd1-bb1f-87a412ad1856]\SAN-080618-01-eye_data.idf
## Date:	06.08.2018 15:11:35
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11219                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	080618-01                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;459)
## Calibration Point 1:	Position(446;109)
## Calibration Point 2:	Position(1774;282)
## Calibration Point 3:	Position(1528;970)
## Calibration Point 4:	Position(139;707)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
280607570187	SMP	1	0.00	0.00	1256.46	519.34	0.00	0.00	0.00	18.80	18.80	5.05	0.00	0.00	0.00	0.00	1253.18	518.69	1257.45	518.81	0.00	0.00	0.00	0.00	0	0	1	1	-1	-1	0.00	0.00	0.00	24.87	67.90	889.31	0.00	0.00	0.00	-0.09	-0.11	-0.99	0	 -1	
280648724799	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
280648732512	SMP	1	1480.47	520.60	1240.63	525.45	16.85	16.85	4.42	18.84	18.84	5.06	1481.05	520.39	1485.42	520.46	1241.58	525.70	1245.83	525.62	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-38.85	66.47	876.72	28.10	65.86	888.03	0.20	-0.08	-0.98	0.15	-0.06	-0.99	0	 -1	
280648765829	SMP	1	1481.11	521.28	1240.77	525.82	16.81	16.81	4.43	18.65	18.65	5.05	1481.63	520.86	1485.84	520.64	1242.18	525.93	1246.28	525.90	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-39.17	66.69	880.76	28.09	66.09	892.20	0.19	-0.10	-0.98	0.17	-0.07	-0.98	0	 -1	
280648799169	SMP	1	1481.56	520.81	1241.30	525.49	17.04	17.04	4.44	18.81	18.81	5.05	1482.02	520.59	1486.43	520.48	1242.50	525.64	1246.60	525.59	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-39.12	66.45	876.79	28.04	66.29	893.74	0.19	-0.09	-0.98	0.16	-0.07	-0.99	0	 -1	
280648832497	SMP	1	1481.61	520.11	0.00	0.00	16.84	16.84	4.44	0.00	0.00	0.00	1482.00	519.51	1486.41	519.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	-39.12	66.74	876.89	0.00	0.00	0.00	0.19	-0.11	-0.98	0.00	0.00	0.00	0	 -1	
280648866227	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
280648899152	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
280648932482	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
280648965819	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
