## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order4\SAN-080718-05-[f4fce7e4-7364-4529-a30d-212719e07578]\SAN-080718-05-eye_data.idf
## Date:	07.08.2018 15:26:29
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	5637                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	SAN-080718-05                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
14695604080	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
14695620307	SMP	1	1244.45	656.42	1033.55	657.15	17.62	17.62	4.26	17.56	17.56	4.23	1244.40	656.46	1249.54	656.42	1035.25	656.61	1040.42	656.65	1559.66	1105.53	1542.96	1147.31	0	1	1	2	-1	-1	24.53	26.19	801.39	77.13	25.96	795.81	0.10	-0.03	-0.99	0.13	-0.06	-0.99	0	 -1	
14695653649	SMP	1	1248.07	656.76	1037.20	656.29	18.00	18.00	4.27	17.51	17.51	4.22	1247.60	656.78	1252.97	656.77	1038.52	656.27	1044.04	656.31	1538.88	1106.02	1538.08	1128.58	0	1	1	2	-1	-1	23.51	25.92	795.52	75.76	25.88	790.56	0.09	-0.03	-1.00	0.12	-0.03	-0.99	0	 -1	
14695686878	SMP	1	1253.10	653.34	1043.85	652.24	17.87	17.87	4.27	18.26	18.26	4.24	1251.48	655.44	1256.71	655.35	1043.49	654.06	1049.11	654.02	1259.70	720.65	1235.58	746.88	0	1	1	2	-1	-1	22.64	26.37	798.79	74.14	26.31	786.77	0.02	0.07	-1.00	0.03	0.06	-1.00	0	 -1	
14695720346	SMP	1	1257.56	651.33	1048.49	649.69	17.49	17.49	4.25	17.97	17.97	4.24	1254.99	654.52	1260.42	654.49	1047.38	652.66	1053.00	652.69	1110.42	531.55	1125.39	541.49	0	1	1	2	-1	-1	21.62	26.46	794.59	72.97	26.58	784.64	-0.02	0.13	-0.99	0.00	0.12	-0.99	0	 -1	
14695753542	SMP	1	1260.28	652.06	1050.71	649.83	17.66	17.66	4.25	17.97	17.97	4.24	1258.00	655.41	1263.41	655.43	1049.97	653.05	1055.39	653.09	1143.85	514.49	1160.52	512.05	0	1	1	2	-1	-1	20.84	26.20	793.91	72.72	26.62	788.56	0.00	0.14	-0.99	0.01	0.13	-0.99	0	 -1	
14695786868	SMP	1	1263.01	652.58	1053.09	649.90	17.20	17.20	4.22	17.60	17.60	4.23	1260.53	656.14	1265.87	656.05	1052.36	653.43	1057.68	653.39	1122.85	496.06	1158.49	471.96	0	1	1	2	-1	-1	20.25	26.08	795.25	72.31	26.60	790.47	-0.01	0.15	-0.99	0.01	0.15	-0.99	0	 -1	
14695820289	SMP	1	1265.01	653.30	1054.94	650.68	17.66	17.66	4.22	17.74	17.74	4.23	1262.68	656.58	1268.12	656.62	1054.34	653.69	1059.61	653.76	1135.80	505.00	1166.78	510.15	0	1	1	2	-1	-1	19.65	25.89	793.41	71.94	26.56	791.81	0.00	0.14	-0.99	0.02	0.12	-0.99	0	 -1	
14695853520	SMP	1	1266.67	653.87	1056.85	651.21	17.60	17.60	4.21	17.56	17.56	4.22	1264.47	657.28	1269.73	657.25	1055.95	654.33	1061.38	654.42	1140.29	499.76	1151.10	504.04	0	1	1	2	-1	-1	19.29	25.82	796.41	71.23	26.29	788.62	0.00	0.14	-0.99	0.01	0.13	-0.99	0	 -1	
14695886863	SMP	1	1267.87	653.52	1058.04	651.34	17.23	17.23	4.20	17.53	17.53	4.21	1265.59	657.01	1270.97	656.93	1057.05	654.64	1062.45	654.53	1140.91	496.16	1142.18	498.63	0	1	1	2	-1	-1	18.95	25.84	794.61	70.95	26.24	788.61	0.00	0.15	-0.99	0.00	0.13	-0.99	0	 -1	
14695920184	SMP	1	1268.35	653.13	1057.90	651.24	17.50	17.50	4.19	17.64	17.64	4.21	1265.80	656.35	1271.34	656.39	1057.22	654.71	1062.48	654.68	1132.63	504.51	1153.21	480.74	0	1	1	2	-1	-1	18.80	25.88	791.25	71.20	26.31	791.63	-0.01	0.13	-0.99	0.01	0.14	-0.99	0	 -1	
14695953523	SMP	1	1267.58	652.46	1057.50	651.87	17.45	17.45	4.18	17.61	17.61	4.21	1265.21	655.80	1270.57	655.70	1056.44	655.28	1061.89	655.29	1134.11	504.76	1138.09	480.46	0	1	1	2	-1	-1	19.00	26.08	792.62	71.06	26.05	788.18	-0.01	0.14	-0.99	0.00	0.14	-0.99	0	 -1	
14695986867	SMP	1	1266.34	652.38	1056.12	652.27	17.59	17.59	4.18	17.36	17.36	4.19	1264.10	655.71	1269.46	655.55	1055.32	655.54	1060.55	655.57	1139.62	507.77	1142.69	484.06	0	1	1	2	-1	-1	19.27	26.09	792.12	71.73	26.11	792.20	0.00	0.13	-0.99	0.01	0.14	-0.99	0	 -1	
14696020187	SMP	1	1265.13	652.44	1054.91	652.87	17.35	17.35	4.17	17.64	17.64	4.19	1262.84	655.81	1268.21	655.71	1053.92	656.15	1059.37	656.22	1139.39	507.06	1137.82	483.56	0	1	1	2	-1	-1	19.58	26.05	791.91	71.71	25.83	788.41	0.00	0.14	-0.99	0.00	0.14	-0.99	0	 -1	
14696053509	SMP	1	1263.94	652.55	1053.55	652.94	17.31	17.31	4.16	17.72	17.72	4.19	1261.67	655.80	1267.07	655.72	1052.70	656.28	1058.25	656.30	1139.72	511.30	1141.54	482.35	0	1	1	2	-1	-1	19.85	26.03	791.08	71.78	25.73	785.98	0.00	0.13	-0.99	0.01	0.14	-0.99	0	 -1	
14696086842	SMP	1	1263.30	652.40	1052.77	652.63	17.54	17.54	4.16	17.83	17.83	4.20	1260.95	655.73	1266.34	655.61	1051.98	655.93	1057.39	655.90	1140.52	510.06	1144.35	481.25	0	1	1	2	-1	-1	20.03	26.04	790.92	72.12	25.87	787.56	-0.01	0.13	-0.99	0.01	0.13	-0.99	0	 -1	
14696120252	SMP	1	1262.73	652.31	1052.36	652.19	17.40	17.40	4.15	17.78	17.78	4.20	1260.48	655.54	1265.80	655.57	1051.50	655.44	1057.12	655.44	1141.17	512.75	1144.35	483.84	0	1	1	2	-1	-1	20.17	26.09	791.40	71.84	25.85	783.41	0.00	0.13	-0.99	0.01	0.13	-0.99	0	 -1	
14696153488	SMP	1	1262.53	652.24	1052.19	651.49	17.61	17.61	4.16	17.73	17.73	4.20	1260.33	655.48	1265.51	655.47	1051.35	654.81	1056.64	654.85	1143.27	516.01	1140.37	483.05	0	1	1	2	-1	-1	20.26	26.16	793.02	72.35	26.16	788.17	0.00	0.13	-0.99	0.00	0.14	-0.99	0	 -1	
14696186815	SMP	1	1264.55	654.02	1054.77	653.35	17.70	17.70	4.17	18.00	18.00	4.21	1261.10	656.36	1266.50	656.44	1052.55	655.38	1058.14	655.42	973.14	646.50	922.97	699.94	0	1	1	2	-1	-1	20.00	25.88	791.57	71.57	25.86	783.33	-0.06	0.09	-0.99	-0.06	0.07	-1.00	0	 -1	
14696220389	SMP	1	1267.67	656.80	1058.30	656.05	17.29	17.29	4.16	18.45	18.45	4.23	1262.57	657.63	1268.03	657.70	1054.68	656.48	1060.41	656.54	695.57	943.16	683.58	982.25	0	1	1	2	-1	-1	19.60	25.53	790.45	70.66	25.45	779.35	-0.15	0.01	-0.99	-0.13	-0.01	-0.99	0	 -1	
14696253519	SMP	1	1267.88	657.26	1058.06	655.93	17.17	17.17	4.14	18.36	18.36	4.25	1262.61	658.07	1268.02	658.02	1054.24	656.41	1059.60	656.47	677.39	950.95	633.01	975.38	0	1	1	2	-1	-1	19.60	25.44	790.58	71.47	25.71	786.51	-0.16	0.01	-0.99	-0.15	-0.01	-0.99	0	 -1	
14696286826	SMP	1	1267.69	657.40	1057.65	655.84	17.74	17.74	4.15	18.27	18.27	4.26	1262.49	658.27	1267.81	658.17	1053.90	656.32	1059.46	656.46	673.97	951.20	645.16	971.59	0	1	1	2	-1	-1	19.66	25.42	791.46	71.14	25.58	782.20	-0.15	0.01	-0.99	-0.14	0.00	-0.99	0	 -1	
14696320143	SMP	1	1267.76	657.29	1057.61	655.77	17.41	17.41	4.15	18.42	18.42	4.27	1262.46	658.35	1267.73	658.30	1053.79	656.26	1059.37	656.37	663.71	939.34	640.37	969.71	0	1	1	2	-1	-1	19.70	25.43	792.40	71.02	25.54	780.64	-0.16	0.02	-0.99	-0.14	0.00	-0.99	0	 -1	
14696353486	SMP	1	1267.55	657.43	1057.83	655.45	17.72	17.72	4.16	18.54	18.54	4.29	1262.38	658.11	1267.73	658.04	1053.83	656.06	1059.39	656.16	668.19	954.94	627.19	963.85	0	1	1	2	-1	-1	19.70	25.48	792.18	70.97	25.58	780.11	-0.15	0.00	-0.99	-0.15	0.00	-0.99	0	 -1	
14696386818	SMP	1	1267.59	657.22	1057.74	655.48	17.63	17.63	4.17	18.59	18.59	4.30	1262.34	658.08	1267.63	658.04	1053.84	656.03	1059.40	656.12	663.97	949.22	628.46	962.70	0	1	1	2	-1	-1	19.74	25.50	792.82	70.89	25.56	779.36	-0.16	0.01	-0.99	-0.14	0.00	-0.99	0	 -1	
14696420136	SMP	1	1267.73	657.37	1057.87	655.88	17.97	17.97	4.19	18.84	18.84	4.32	1262.44	658.30	1267.72	658.25	1053.96	656.26	1059.46	656.32	660.40	945.96	624.02	968.11	0	1	1	2	-1	-1	19.73	25.47	793.51	70.92	25.53	779.91	-0.16	0.01	-0.99	-0.15	-0.01	-0.99	0	 -1	
14696453470	SMP	1	1269.54	658.73	1060.10	657.21	17.25	17.25	4.17	18.61	18.61	4.34	1263.21	658.70	1268.53	658.56	1055.39	657.16	1060.65	657.09	474.34	1104.63	443.97	1021.57	0	1	1	2	-1	-1	19.54	25.39	793.76	71.02	25.47	784.60	-0.21	-0.04	-0.98	-0.19	-0.04	-0.98	0	 -1	
14696486781	SMP	1	1269.75	658.94	1060.22	657.31	17.49	17.49	4.17	18.92	18.92	4.36	1263.28	658.86	1268.56	658.81	1055.39	657.34	1060.63	657.30	453.32	1113.18	424.92	1018.96	0	1	1	2	-1	-1	19.54	25.36	794.37	71.21	25.49	786.66	-0.22	-0.04	-0.97	-0.20	-0.03	-0.98	0	 -1	
14696520472	SMP	1	1269.87	658.99	1060.40	657.44	17.33	17.33	4.17	18.49	18.49	4.37	1263.33	658.89	1268.63	658.87	1055.43	657.34	1060.66	657.34	443.04	1116.84	406.24	1044.50	0	1	1	2	-1	-1	19.53	25.36	794.67	71.36	25.54	788.40	-0.22	-0.04	-0.97	-0.21	-0.04	-0.98	0	 -1	
14696553462	SMP	1	1269.69	659.03	1060.22	657.32	17.71	17.71	4.18	18.82	18.82	4.39	1263.39	658.89	1268.66	658.84	1055.43	657.33	1060.72	657.30	453.36	1122.12	415.16	1037.55	0	1	1	2	-1	-1	19.54	25.38	795.22	71.34	25.54	788.21	-0.21	-0.04	-0.98	-0.20	-0.03	-0.98	0	 -1	
14696586878	SMP	1	1270.25	659.01	1060.35	657.48	17.41	17.41	4.17	18.88	18.88	4.40	1263.48	658.82	1268.71	658.73	1055.47	657.27	1060.83	657.32	420.08	1128.50	411.66	1064.64	0	1	1	2	-1	-1	19.54	25.43	796.22	71.28	25.53	787.79	-0.24	-0.04	-0.97	-0.20	-0.04	-0.98	0	 -1	
14696620138	SMP	1	1269.87	659.19	1060.18	657.67	17.64	17.64	4.18	19.18	19.18	4.43	1263.44	659.28	1268.64	659.33	1055.43	657.50	1060.79	657.50	437.83	1104.80	417.21	1069.55	0	1	1	2	-1	-1	19.58	25.33	797.28	71.33	25.50	788.28	-0.22	-0.03	-0.97	-0.19	-0.04	-0.98	0	 -1	
14696653445	SMP	1	1269.72	659.82	1059.98	658.36	17.67	17.67	4.19	19.19	19.19	4.46	1263.22	659.72	1268.53	659.60	1055.33	658.27	1060.58	658.23	436.51	1123.40	420.54	1068.83	0	1	1	2	-1	-1	19.61	25.23	796.90	71.66	25.42	791.49	-0.22	-0.04	-0.97	-0.19	-0.04	-0.98	0	 -1	
14696686824	SMP	1	1269.49	660.47	1060.16	659.00	17.62	17.62	4.19	19.06	19.06	4.47	1262.96	660.37	1268.40	660.41	1055.08	658.84	1060.48	658.83	438.46	1120.26	406.06	1074.05	0	1	1	2	-1	-1	19.63	25.00	795.41	71.47	25.18	788.87	-0.22	-0.03	-0.97	-0.21	-0.04	-0.98	0	 -1	
14696720173	SMP	1	1269.23	660.51	1059.67	659.36	18.07	18.07	4.21	19.29	19.29	4.49	1262.70	660.47	1268.13	660.44	1054.85	659.15	1060.38	659.15	438.76	1120.04	417.47	1078.58	0	1	1	2	-1	-1	19.68	24.97	794.87	71.32	25.04	786.72	-0.22	-0.03	-0.97	-0.19	-0.04	-0.98	0	 -1	
14696753442	SMP	1	1268.79	660.13	1059.36	659.20	17.96	17.96	4.23	19.32	19.32	4.51	1262.43	660.14	1267.69	660.10	1054.47	658.76	1059.83	658.79	442.06	1117.34	410.35	1090.81	0	1	1	2	-1	-1	19.81	25.10	796.31	71.70	25.22	789.62	-0.22	-0.03	-0.98	-0.20	-0.05	-0.98	0	 -1	
14696786768	SMP	1	1268.57	659.56	1059.11	658.54	18.07	18.07	4.24	19.35	19.35	4.53	1262.08	659.48	1267.49	659.49	1054.28	658.46	1059.49	658.49	441.36	1118.16	407.67	1080.70	0	1	1	2	-1	-1	19.84	25.22	795.07	72.04	25.39	792.62	-0.22	-0.03	-0.98	-0.20	-0.03	-0.98	0	 -1	
14696820116	SMP	1	1268.15	659.02	1058.56	658.19	17.88	17.88	4.25	19.52	19.52	4.54	1261.78	658.75	1267.15	658.77	1053.76	658.01	1059.38	658.05	443.15	1124.33	415.75	1083.08	0	1	1	2	-1	-1	19.92	25.39	794.81	71.50	25.29	785.93	-0.21	-0.04	-0.98	-0.19	-0.04	-0.98	0	 -1	
14696853416	SMP	1	1260.21	658.08	1050.87	657.34	18.80	18.80	4.29	19.15	19.15	4.54	1257.41	658.42	1262.71	658.34	1049.58	657.33	1055.12	657.33	1075.98	1096.13	1055.18	1081.21	0	1	1	2	-1	-1	21.04	25.50	795.15	72.61	25.48	786.49	-0.03	-0.02	-1.00	-0.01	-0.03	-1.00	0	 -1	
14696886750	SMP	1	1254.30	658.21	1045.67	657.69	18.91	18.91	4.33	19.13	19.13	4.54	1253.64	658.43	1259.20	658.40	1046.38	657.48	1051.81	657.46	1465.71	1091.91	1393.34	1088.57	0	1	1	2	-1	-1	21.87	25.39	791.92	73.56	25.50	788.01	0.08	-0.02	-1.00	0.08	-0.04	-1.00	0	 -1	
14696920286	SMP	1	1253.73	658.43	1044.72	658.00	19.09	19.09	4.37	19.17	19.17	4.55	1253.40	658.53	1258.53	658.55	1045.56	657.77	1050.91	657.94	1481.37	1091.95	1401.87	1089.27	0	1	1	2	-1	-1	22.12	25.51	796.76	73.92	25.45	789.58	0.09	-0.03	-1.00	0.09	-0.04	-1.00	0	 -1	
14696953391	SMP	1	1253.25	658.51	1044.27	658.12	19.10	19.10	4.40	19.31	19.31	4.55	1253.05	658.65	1258.38	658.54	1045.09	657.97	1050.58	658.00	1506.56	1088.95	1406.78	1088.79	0	1	1	2	-1	-1	22.11	25.43	794.53	73.80	25.34	787.22	0.10	-0.03	-0.99	0.09	-0.04	-1.00	0	 -1	
14696986733	SMP	1	1253.55	658.45	1044.27	658.04	19.17	19.17	4.44	19.35	19.35	4.56	1253.28	658.57	1258.43	658.52	1045.09	657.98	1050.56	658.00	1504.11	1085.96	1408.42	1085.52	0	1	1	2	-1	-1	22.17	25.54	797.63	73.73	25.32	786.43	0.09	-0.03	-1.00	0.09	-0.03	-1.00	0	 -1	
14697020066	SMP	1	1254.03	658.51	1044.78	658.16	18.73	18.73	4.44	19.44	19.44	4.57	1253.61	658.53	1259.23	658.57	1045.51	658.13	1050.87	658.01	1507.53	1085.27	1403.84	1086.28	0	1	1	2	-1	-1	21.80	25.27	789.42	73.77	25.34	787.76	0.10	-0.03	-1.00	0.08	-0.04	-1.00	0	 -1	
14697053387	SMP	1	1254.92	658.59	1045.45	658.23	18.87	18.87	4.45	19.64	19.64	4.58	1254.44	658.57	1259.64	658.62	1046.18	658.17	1051.65	658.04	1497.44	1084.29	1402.57	1086.63	0	1	1	2	-1	-1	21.85	25.51	797.06	73.40	25.27	785.77	0.08	-0.03	-1.00	0.09	-0.04	-1.00	0	 -1	
14697086744	SMP	1	1254.91	658.82	1045.46	658.61	19.12	19.12	4.47	19.47	19.47	4.59	1254.83	658.87	1260.26	658.82	1046.46	658.41	1052.01	658.42	1524.23	1080.79	1412.19	1088.28	0	1	1	2	-1	-1	21.60	25.30	792.54	73.14	25.13	783.92	0.11	-0.03	-0.99	0.10	-0.04	-0.99	0	 -1	
