## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order3\SAN-080918-10-[c1e56f22-7375-4975-8814-76929587583f]\SAN-080918-10-eye_data.idf
## Date:	09.08.2018 14:20:42
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11140                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-080918-10                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
3413911323	SMP	1	1165.33	656.42	940.64	660.18	24.92	24.92	4.77	23.64	23.64	4.60	1161.74	661.43	1170.07	661.37	939.76	666.23	947.96	666.11	1190.86	478.67	1112.77	392.83	0	1	1	2	-1	-1	35.90	19.84	637.67	81.17	18.96	640.62	-0.03	0.17	-0.98	0.01	0.22	-0.98		
3440860212	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
3440875257	SMP	1	1220.79	720.78	981.79	722.49	29.98	29.98	5.60	29.38	29.38	5.43	1214.71	721.39	1223.50	721.32	979.06	724.06	987.97	724.01	930.43	993.06	933.79	1011.42	0	1	1	2	-1	-1	24.49	7.51	620.94	69.87	6.89	612.23	-0.11	0.01	-0.99	-0.04	0.05	-1.00	 -1	
3440908577	SMP	1	1217.36	720.43	978.62	722.76	29.80	29.80	5.59	29.32	29.32	5.43	1211.37	720.96	1220.15	720.87	975.90	724.33	984.69	724.32	934.25	997.14	934.17	1010.96	0	1	1	2	-1	-1	25.12	7.59	620.18	70.64	6.84	613.46	-0.10	0.01	-0.99	-0.04	0.05	-1.00	 -1	
3440941890	SMP	1	1214.83	719.78	976.28	723.03	30.00	30.00	5.59	29.37	29.37	5.44	1208.73	720.44	1217.55	720.39	973.65	724.58	982.33	724.46	933.76	992.49	935.42	1013.76	0	1	1	2	-1	-1	25.58	7.67	618.85	71.27	6.82	615.01	-0.11	0.01	-0.99	-0.04	0.05	-1.00	 -1	
3440975360	SMP	1	1213.16	719.63	974.87	723.38	29.82	29.82	5.58	29.33	29.33	5.44	1207.16	720.13	1215.92	720.06	972.28	724.86	980.92	724.85	935.46	997.72	936.74	1014.83	0	1	1	2	-1	-1	25.89	7.74	618.97	71.64	6.77	615.86	-0.10	0.01	-0.99	-0.04	0.05	-1.00	 -1	
3441008554	SMP	1	1211.97	719.41	973.64	723.76	29.86	29.86	5.57	29.30	29.30	5.44	1206.20	719.88	1214.93	719.85	971.27	725.37	980.10	725.28	941.31	996.36	946.16	1010.78	0	1	1	2	-1	-1	26.09	7.78	619.09	71.62	6.66	614.16	-0.10	0.01	-1.00	-0.03	0.05	-1.00	 -1	
3441041872	SMP	1	1202.91	721.08	965.96	725.76	29.91	29.91	5.57	28.91	28.91	5.42	1201.33	720.59	1210.00	720.53	967.47	726.29	976.29	726.04	1447.07	1117.01	1422.45	1142.17	0	1	1	2	-1	-1	27.07	7.65	619.57	72.34	6.49	613.99	0.07	-0.03	-1.00	0.12	0.01	-0.99	 -1	
3441075262	SMP	1	1202.31	721.27	965.16	726.19	29.74	29.74	5.57	29.01	29.01	5.42	1201.23	720.89	1209.86	720.85	967.09	726.60	975.81	726.61	1484.55	1109.30	1449.24	1145.71	0	1	1	2	-1	-1	27.12	7.60	620.10	72.50	6.41	614.64	0.09	-0.03	-1.00	0.14	0.01	-0.99	 -1	
3441108574	SMP	1	1202.87	721.76	965.38	726.68	29.89	29.89	5.56	28.94	28.94	5.41	1201.61	721.39	1210.37	721.25	967.35	727.13	976.09	727.00	1483.08	1115.33	1459.29	1149.26	0	1	1	2	-1	-1	27.00	7.50	619.38	72.47	6.32	614.80	0.08	-0.03	-1.00	0.14	0.01	-0.99	 -1	
3441141864	SMP	1	1203.16	722.21	965.59	727.11	29.83	29.83	5.56	28.94	28.94	5.40	1202.04	721.82	1210.75	721.74	967.51	727.48	976.38	727.37	1490.62	1116.75	1463.49	1154.11	0	1	1	2	-1	-1	26.93	7.41	619.55	72.36	6.25	614.30	0.09	-0.03	-1.00	0.14	0.00	-0.99	 -1	
3441175207	SMP	1	1203.35	722.88	965.58	727.46	29.84	29.84	5.56	28.85	28.85	5.39	1202.30	722.37	1210.94	722.23	967.53	727.83	976.33	727.73	1495.37	1124.49	1465.64	1156.04	0	1	1	2	-1	-1	26.91	7.31	620.04	72.41	6.18	614.66	0.09	-0.04	-1.00	0.14	0.00	-0.99	 -1	
3441208642	SMP	1	1203.37	723.38	965.43	727.91	29.87	29.87	5.56	28.81	28.81	5.38	1202.28	722.93	1210.96	722.89	967.51	728.32	976.17	728.21	1496.87	1123.61	1469.59	1156.35	0	1	1	2	-1	-1	26.91	7.20	620.04	72.53	6.10	615.57	0.09	-0.03	-1.00	0.14	0.00	-0.99	 -1	
3441241887	SMP	1	1203.24	723.90	965.36	728.28	29.89	29.89	5.56	29.09	29.09	5.39	1202.18	723.54	1210.82	723.48	967.29	728.64	975.96	728.60	1498.36	1120.99	1467.41	1157.26	0	1	1	2	-1	-1	26.94	7.08	620.22	72.64	6.03	616.11	0.09	-0.03	-1.00	0.14	0.00	-0.99	 -1	
3441275171	SMP	1	1202.95	724.39	964.85	728.51	29.88	29.88	5.56	28.99	28.99	5.39	1201.80	723.94	1210.55	723.85	966.69	728.95	975.63	728.78	1498.39	1123.90	1468.27	1157.62	0	1	1	2	-1	-1	26.98	7.00	619.75	72.61	5.98	615.08	0.09	-0.03	-1.00	0.14	0.00	-0.99	 -1	
3441308507	SMP	1	1202.74	724.67	964.33	728.75	29.93	29.93	5.56	28.90	28.90	5.39	1201.47	724.18	1210.14	724.08	966.37	729.15	974.96	729.04	1494.72	1125.50	1469.72	1157.96	0	1	1	2	-1	-1	27.07	6.95	620.03	72.92	5.95	616.93	0.08	-0.03	-1.00	0.14	0.00	-0.99	 -1	
3441341832	SMP	1	1202.08	724.73	963.84	728.84	29.84	29.84	5.56	29.13	29.13	5.39	1201.00	724.26	1209.73	724.18	965.65	729.34	974.64	729.22	1498.81	1126.00	1469.37	1156.87	0	1	1	2	-1	-1	27.15	6.94	620.03	72.82	5.90	615.21	0.09	-0.03	-1.00	0.14	0.01	-0.99	 -1	
3441375166	SMP	1	1201.58	724.88	963.13	728.94	29.93	29.93	5.56	29.12	29.12	5.40	1200.50	724.43	1209.17	724.26	965.15	729.45	973.85	729.33	1499.35	1127.17	1470.96	1155.89	0	1	1	2	-1	-1	27.27	6.92	620.29	73.11	5.89	616.58	0.09	-0.03	-1.00	0.14	0.01	-0.99	 -1	
3441408648	SMP	1	1201.08	724.73	962.35	728.96	29.84	29.84	5.56	28.85	28.85	5.39	1199.89	724.35	1208.67	724.27	964.45	729.49	973.14	729.43	1500.81	1125.76	1474.70	1154.45	0	1	1	2	-1	-1	27.37	6.92	620.08	73.29	5.88	616.97	0.09	-0.03	-1.00	0.14	0.01	-0.99	 -1	
3441441807	SMP	1	1200.56	724.69	961.83	729.22	29.88	29.88	5.56	28.85	28.85	5.39	1199.43	724.38	1208.10	724.23	963.73	729.53	972.66	729.48	1500.61	1125.25	1475.44	1156.83	0	1	1	2	-1	-1	27.48	6.92	620.32	73.25	5.86	615.64	0.09	-0.03	-1.00	0.14	0.00	-0.99	 -1	
3441475222	SMP	1	1199.38	725.11	960.64	729.60	29.75	29.75	5.56	28.82	28.82	5.38	1198.54	724.53	1207.34	724.42	963.00	729.81	971.80	729.70	1508.06	1128.74	1484.57	1160.65	0	1	1	2	-1	-1	27.63	6.89	620.02	73.44	5.81	615.95	0.10	-0.04	-0.99	0.16	0.00	-0.99	 -1	
3441508494	SMP	1	1198.98	725.48	960.20	729.92	29.78	29.78	5.55	29.00	29.00	5.38	1198.11	724.71	1206.89	724.65	962.43	730.22	971.26	729.97	1512.17	1135.13	1486.48	1162.72	0	1	1	2	-1	-1	27.71	6.84	619.83	73.50	5.74	615.54	0.10	-0.04	-0.99	0.15	0.00	-0.99	 -1	
3441541829	SMP	1	1198.77	725.61	959.74	730.28	29.86	29.86	5.55	28.87	28.87	5.38	1197.83	725.06	1206.68	724.97	962.08	730.50	970.82	730.40	1513.87	1132.84	1493.00	1164.95	0	1	1	2	-1	-1	27.73	6.77	619.33	73.64	5.68	616.00	0.10	-0.03	-0.99	0.15	0.00	-0.99	 -1	
3441575170	SMP	1	1198.64	726.12	959.49	730.67	29.93	29.93	5.55	28.89	28.89	5.38	1197.68	725.44	1206.56	725.34	961.81	730.86	970.72	730.73	1516.71	1137.82	1499.23	1168.73	0	1	1	2	-1	-1	27.73	6.69	618.69	73.57	5.60	615.14	0.10	-0.04	-0.99	0.16	0.00	-0.99	 -1	
3441608643	SMP	1	1198.72	726.37	959.38	731.02	29.78	29.78	5.55	28.95	28.95	5.38	1197.81	725.68	1206.63	725.58	961.76	731.31	970.68	731.14	1519.67	1141.67	1506.55	1169.08	0	1	1	2	-1	-1	27.70	6.64	618.34	73.51	5.51	614.57	0.10	-0.04	-0.99	0.16	0.00	-0.99	 -1	
3441641799	SMP	1	1198.78	726.56	959.52	731.22	29.84	29.84	5.55	29.19	29.19	5.38	1197.96	725.89	1206.75	725.81	961.77	731.48	970.72	731.33	1524.92	1143.87	1506.12	1171.56	0	1	1	2	-1	-1	27.66	6.60	618.19	73.43	5.47	613.94	0.10	-0.04	-0.99	0.15	0.00	-0.99	 -1	
3441675116	SMP	1	1198.91	726.71	959.52	731.35	29.96	29.96	5.55	29.01	29.01	5.38	1198.04	726.10	1206.81	725.99	961.77	731.50	970.72	731.45	1526.60	1144.43	1509.00	1175.03	0	1	1	2	-1	-1	27.64	6.56	618.06	73.38	5.45	613.55	0.10	-0.04	-0.99	0.15	0.00	-0.99	 -1	
3441708447	SMP	1	1199.05	726.69	959.53	731.29	30.02	30.02	5.55	29.11	29.11	5.38	1198.03	726.16	1206.85	726.04	961.71	731.46	970.67	731.35	1525.53	1144.32	0.00	0.00	0	1	1	2	-1	-1	27.62	6.54	617.68	73.33	5.46	613.01	0.09	-0.03	-1.00	0.15	0.00	-0.99	 -1	
