## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order4\SAN-092718-05-[27d940bc-f1ba-413d-8b84-78ea14111cb4]\SAN-092718-05-eye_data.idf
## Date:	27.09.2018 15:59:44
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11522                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-092718-05                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;459)
## Calibration Point 1:	Position(446;109)
## Calibration Point 2:	Position(1774;282)
## Calibration Point 3:	Position(1528;970)
## Calibration Point 4:	Position(139;707)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
13708298608	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
13708330901	SMP	1	1414.70	797.30	1183.73	794.86	22.51	22.51	5.65	22.91	22.91	5.73	1411.87	798.82	1416.81	798.99	1182.49	796.48	1187.41	796.49	1082.16	710.63	1046.71	795.66	0	1	1	2	-1	-1	-18.79	-10.45	836.56	41.71	-9.73	829.61	0.00	0.10	-1.00	0.02	0.10	-0.99	0	 -1	
13708364218	SMP	1	1414.74	796.83	1183.33	794.22	22.65	22.65	5.66	22.87	22.87	5.73	1411.93	798.49	1416.64	798.52	1182.31	795.88	1187.22	795.84	1077.10	706.18	1055.25	791.04	0	1	1	2	-1	-1	-18.88	-10.40	841.05	41.75	-9.56	829.40	0.00	0.10	-0.99	0.03	0.10	-0.99	0	 -1	
13708397540	SMP	1	1415.32	795.24	1184.32	792.25	21.20	21.20	5.60	22.43	22.43	5.70	1412.47	796.90	1417.36	796.79	1182.55	794.44	1187.45	794.42	1075.97	709.93	994.81	691.02	0	1	1	2	-1	-1	-18.94	-9.91	836.43	41.68	-9.19	829.35	0.00	0.10	-1.00	-0.01	0.13	-0.99	0	 -1	
13708418662	MSG	1	# Message: UE-keypress VolumeDown
13708430885	SMP	1	1415.31	794.54	1184.22	792.33	22.13	22.13	5.59	22.74	22.74	5.69	1412.38	796.79	1417.01	796.99	1182.50	794.53	1187.40	794.50	1065.82	575.04	985.72	675.58	0	1	1	2	-1	-1	-19.00	-9.98	841.79	41.69	-9.21	829.26	-0.01	0.14	-0.99	-0.01	0.13	-0.99	0	 -1	
13708464226	SMP	1	1414.68	794.06	1183.55	791.92	22.48	22.48	5.60	23.32	23.32	5.72	1411.67	796.62	1416.53	796.65	1181.99	794.50	1186.62	794.47	1062.85	527.70	989.24	602.38	0	1	1	2	-1	-1	-18.74	-9.86	836.97	42.02	-9.24	832.45	-0.01	0.15	-0.99	-0.01	0.15	-0.99	0	 -1	
13708497548	SMP	1	1414.20	793.91	1182.83	791.99	22.56	22.56	5.62	23.04	23.04	5.72	1411.16	796.48	1415.84	796.59	1181.35	794.52	1186.31	794.46	1052.54	511.44	1017.18	602.84	0	1	1	2	-1	-1	-18.65	-9.87	840.38	42.00	-9.21	829.64	-0.02	0.15	-0.99	0.00	0.15	-0.99	0	 -1	
13708530879	SMP	1	1413.88	793.48	1182.30	791.96	22.47	22.47	5.62	22.86	22.86	5.72	1410.57	795.85	1415.40	796.00	1180.55	794.45	1185.44	794.44	1029.27	526.29	978.47	600.41	0	1	1	2	-1	-1	-18.45	-9.67	837.41	42.24	-9.20	829.95	-0.03	0.14	-0.99	-0.01	0.14	-0.99	0	 -1	
13708564213	SMP	1	1413.34	793.52	1181.69	792.25	22.32	22.32	5.62	22.90	22.90	5.72	1410.12	795.59	1414.93	795.82	1180.19	794.47	1184.92	794.39	1027.38	583.39	990.07	640.69	0	1	1	2	-1	-1	-18.33	-9.61	837.41	42.49	-9.22	832.53	-0.02	0.13	-0.99	0.00	0.13	-0.99	0	 -1	
13708597544	SMP	1	1412.87	792.98	1181.41	791.85	22.28	22.28	5.61	22.77	22.77	5.71	1409.69	795.34	1414.52	795.46	1179.63	794.29	1184.58	794.28	1024.79	538.48	972.12	608.42	0	1	1	2	-1	-1	-18.20	-9.53	836.73	42.49	-9.16	830.20	-0.02	0.14	-0.99	-0.01	0.14	-0.99	0	 -1	
13708631116	SMP	1	1412.83	792.78	1181.18	791.77	22.29	22.29	5.61	23.04	23.04	5.72	1409.58	795.05	1414.48	795.37	1179.52	794.28	1184.41	794.10	1016.47	538.72	973.97	607.95	0	1	1	2	-1	-1	-18.14	-9.46	835.02	42.54	-9.14	830.57	-0.02	0.14	-0.99	-0.01	0.14	-0.99	0	 -1	
