## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order3\SAN-100518-04-[57279f95-9f07-485c-a17f-26fbf4410d81]\SAN-100518-04-eye_data.idf
## Date:	05.10.2018 15:31:08
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11181                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-100518-04                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(953;459)
## Calibration Point 1:	Position(446;109)
## Calibration Point 2:	Position(1774;282)
## Calibration Point 3:	Position(1528;970)
## Calibration Point 4:	Position(139;707)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
7148607859	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
7148616240	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
7148649540	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
7148682936	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
7148716197	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
7148749546	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
7148782810	SMP	1	1393.77	918.67	1170.20	933.26	22.41	22.41	5.78	22.17	22.17	5.96	1393.09	920.56	1397.52	920.56	1171.52	934.52	1176.27	934.50	1492.54	787.14	1519.14	917.98	0	1	1	2	-1	-1	-14.12	-43.91	859.60	45.53	-46.98	846.55	0.10	0.16	-0.98	0.15	0.12	-0.98	0	 -1	
7148816171	SMP	1	1393.70	918.69	1170.21	933.37	22.37	22.37	5.77	22.60	22.60	5.92	1392.70	920.41	1397.47	920.49	1171.50	934.50	1176.23	934.48	1479.99	807.54	1518.76	924.24	0	1	1	2	-1	-1	-13.94	-43.49	852.08	45.54	-46.98	846.60	0.09	0.15	-0.98	0.15	0.12	-0.98	0	 -1	
7148849531	SMP	1	1393.49	919.33	1169.60	934.48	22.68	22.68	5.77	21.89	21.89	5.87	1392.68	921.31	1397.42	921.38	1171.44	935.46	1175.96	935.42	1485.06	769.37	1592.10	942.63	0	1	1	2	-1	-1	-13.91	-43.68	851.02	46.03	-47.70	854.93	0.10	0.16	-0.98	0.18	0.11	-0.98	0	 -1	
7148882833	SMP	1	1393.71	918.11	1170.62	933.60	22.44	22.44	5.77	22.43	22.43	5.85	1392.76	920.37	1397.45	920.47	1171.55	934.91	1176.21	934.85	1476.89	728.53	1484.50	907.67	0	1	1	2	-1	-1	-13.93	-43.43	851.11	45.77	-47.33	850.88	0.09	0.18	-0.98	0.13	0.13	-0.98	0	 -1	
7148916189	SMP	1	1393.64	918.32	1170.30	933.83	22.88	22.88	5.78	22.15	22.15	5.82	1392.85	920.57	1397.46	920.52	1171.64	935.36	1176.26	935.43	1479.44	726.08	1522.27	862.03	0	1	1	2	-1	-1	-13.95	-43.51	852.00	45.81	-47.53	852.10	0.10	0.17	-0.98	0.15	0.14	-0.98	0	 -1	
7148949511	SMP	1	1394.19	917.72	1171.02	932.44	22.54	22.54	5.79	22.95	22.95	5.84	1393.37	919.63	1397.79	919.66	1172.15	934.39	1176.51	934.29	1475.55	751.16	1495.62	774.26	0	1	1	2	-1	-1	-14.15	-43.52	856.97	46.21	-47.76	861.41	0.09	0.16	-0.98	0.13	0.16	-0.98	0	 -1	
