## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order4\SAN-100918-01-[9f08587c-2c75-4a1b-a812-3f377a92d55b]\SAN-100918-01-eye_data.idf
## Date:	09.10.2018 17:01:03
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11508                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-100918-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
312876477	SMP	1	1354.81	961.28	1119.59	970.85	27.31	27.31	6.76	27.70	27.70	6.97	1351.21	964.38	1356.41	964.41	1117.52	973.48	1122.47	973.31	1095.14	520.22	747.84	553.95	0	1	1	2	-1	-1	-2.66	-52.77	812.08	58.47	-55.96	824.97	-0.05	0.23	-0.97	-0.05	0.20	-0.98	0	 -1	
334860857	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
334874253	SMP	1	1361.82	966.61	1125.94	973.53	26.12	26.12	6.64	26.52	26.52	6.86	1358.58	968.07	1363.71	968.05	1124.13	974.53	1129.07	974.52	1012.52	753.41	1003.08	767.95	0	1	1	2	-1	-1	-4.55	-53.81	813.51	56.59	-56.11	822.84	-0.03	0.14	-0.99	-0.03	0.12	-0.99	0	 -1	
334907604	SMP	1	1361.81	966.79	1126.02	973.56	26.01	26.01	6.59	26.44	26.44	6.81	1358.74	968.21	1363.77	968.22	1124.23	974.66	1129.14	974.62	1016.35	755.41	997.78	769.50	0	1	1	2	-1	-1	-4.59	-53.95	815.09	56.59	-56.16	823.09	-0.02	0.14	-0.99	-0.03	0.13	-0.99	0	 -1	
334940937	SMP	1	1361.89	966.66	1125.98	973.44	25.88	25.88	6.55	26.33	26.33	6.76	1358.79	968.00	1363.88	967.93	1124.24	974.56	1129.15	974.53	1015.90	765.33	995.93	771.15	0	1	1	2	-1	-1	-4.61	-53.83	814.24	56.60	-56.14	823.25	-0.02	0.13	-0.99	-0.03	0.13	-0.99	0	 -1	
334974245	SMP	1	1361.90	966.62	1126.04	973.38	25.71	25.71	6.50	26.26	26.26	6.71	1358.81	968.00	1363.89	967.94	1124.24	974.56	1129.15	974.50	1016.73	769.91	990.62	771.80	0	1	1	2	-1	-1	-4.61	-53.82	814.02	56.62	-56.17	823.67	-0.02	0.14	-0.99	-0.03	0.13	-0.99	0	 -1	
335007936	SMP	1	1361.95	966.64	1126.02	973.38	25.75	25.75	6.46	26.21	26.21	6.67	1358.89	968.04	1364.02	967.91	1124.28	974.53	1129.20	974.50	1018.72	775.13	991.44	774.41	0	1	1	2	-1	-1	-4.63	-53.77	813.26	56.63	-56.18	823.86	-0.02	0.14	-0.99	-0.03	0.13	-0.99	0	 -1	
335040897	SMP	1	1362.05	966.57	1126.05	973.54	25.76	25.76	6.43	26.22	26.22	6.64	1359.04	968.03	1364.17	968.01	1124.37	974.59	1129.32	974.56	1019.85	775.09	990.92	777.86	0	1	1	2	-1	-1	-4.67	-53.75	812.78	56.60	-56.19	823.80	-0.02	0.14	-0.99	-0.02	0.12	-0.99	0	 -1	
335074218	SMP	1	1362.16	966.70	1126.23	973.59	25.67	25.67	6.40	26.17	26.17	6.62	1359.13	968.08	1364.26	968.05	1124.45	974.61	1129.40	974.56	1018.51	781.25	987.39	781.38	0	1	1	2	-1	-1	-4.69	-53.74	812.42	56.57	-56.19	823.76	-0.02	0.14	-0.99	-0.03	0.12	-0.99	0	 -1	
335107555	SMP	1	1362.06	966.56	1126.21	973.46	25.70	25.70	6.38	26.20	26.20	6.60	1359.08	967.99	1364.25	967.97	1124.41	974.54	1129.40	974.51	1019.12	781.56	985.33	781.20	0	1	1	2	-1	-1	-4.67	-53.65	811.50	56.55	-56.15	823.44	-0.01	0.14	-0.99	-0.03	0.12	-0.99	0	 -1	
335140940	SMP	1	1361.94	966.52	1126.06	973.26	25.76	25.76	6.36	26.12	26.12	6.57	1358.99	967.92	1364.04	967.79	1124.39	974.41	1129.35	974.43	1019.94	786.54	987.90	780.45	0	1	1	2	-1	-1	-4.64	-53.69	812.53	56.56	-56.12	823.34	-0.02	0.14	-0.99	-0.02	0.13	-0.99	0	 -1	
335174270	SMP	1	1361.88	966.55	1126.09	973.28	25.85	25.85	6.35	26.27	26.27	6.56	1358.90	967.86	1363.93	967.78	1124.33	974.45	1129.31	974.44	1019.66	791.72	984.91	777.93	0	1	1	2	-1	-1	-4.62	-53.68	812.56	56.55	-56.10	823.06	-0.02	0.13	-0.99	-0.03	0.13	-0.99	0	 -1	
335207565	SMP	1	1361.87	966.56	1126.12	973.39	25.98	25.98	6.35	26.32	26.32	6.55	1358.81	967.98	1363.88	967.85	1124.27	974.51	1129.28	974.52	1019.64	793.32	984.19	778.51	0	1	1	2	-1	-1	-4.60	-53.71	812.68	56.52	-56.09	822.51	-0.02	0.14	-0.99	-0.03	0.13	-0.99	0	 -1	
335240900	SMP	1	1361.86	966.46	1126.04	973.21	26.06	26.06	6.35	26.32	26.32	6.55	1358.89	967.79	1363.96	967.77	1124.33	974.42	1129.31	974.44	1023.98	795.90	988.25	773.82	0	1	1	2	-1	-1	-4.62	-53.71	813.06	56.50	-56.05	822.34	-0.02	0.14	-0.99	-0.02	0.13	-0.99	0	 -1	
335274216	SMP	1	1361.92	966.37	1126.04	973.15	26.04	26.04	6.35	26.50	26.50	6.55	1358.78	967.86	1363.91	967.72	1124.29	974.43	1129.30	974.43	1022.02	795.37	990.05	768.90	0	1	1	2	-1	-1	-4.60	-53.66	812.36	56.48	-56.02	821.90	-0.02	0.14	-0.99	-0.03	0.14	-0.99	0	 -1	
335307749	SMP	1	1361.84	966.35	1126.13	973.17	26.01	26.01	6.35	26.44	26.44	6.55	1358.89	967.81	1363.95	967.71	1124.29	974.43	1129.29	974.44	1025.77	793.80	988.51	766.14	0	1	1	2	-1	-1	-4.62	-53.66	812.49	56.46	-56.00	821.58	-0.02	0.14	-0.99	-0.03	0.13	-0.99	0	 -1	
335340830	SMP	1	1361.90	966.34	1126.04	973.25	26.21	26.21	6.36	26.68	26.68	6.56	1358.89	967.77	1363.92	967.69	1124.30	974.45	1129.30	974.44	1025.80	793.42	991.14	766.37	0	1	1	2	-1	-1	-4.61	-53.67	812.81	56.43	-55.98	821.29	-0.02	0.14	-0.99	-0.03	0.13	-0.99	0	 -1	
335374264	SMP	1	1361.93	966.38	1125.93	973.36	26.26	26.26	6.37	26.75	26.75	6.57	1358.79	967.89	1363.79	967.77	1124.25	974.49	1129.24	974.51	1020.89	791.12	993.37	767.75	0	1	1	2	-1	-1	-4.59	-53.75	813.53	56.43	-55.98	820.97	-0.03	0.14	-0.99	-0.02	0.13	-0.99	0	 -1	
335407529	SMP	1	1361.73	966.26	1125.94	973.17	26.52	26.52	6.39	26.85	26.85	6.58	1358.77	967.67	1363.71	967.65	1124.24	974.39	1129.21	974.42	1022.05	791.82	993.42	762.80	0	1	1	2	-1	-1	-4.58	-53.80	814.95	56.43	-55.95	820.91	-0.02	0.14	-0.99	-0.02	0.13	-0.99	0	 -1	
335440916	SMP	1	1361.82	966.41	1126.02	973.19	26.67	26.67	6.42	26.96	26.96	6.60	1358.78	967.79	1363.74	967.69	1124.28	974.44	1129.25	974.46	1019.12	792.69	993.90	758.80	0	1	1	2	-1	-1	-4.59	-53.86	815.61	56.40	-55.95	820.71	-0.02	0.14	-0.99	-0.03	0.13	-0.99	0	 -1	
