## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order4\SAN-101718-01-[54a13d23-7a44-484c-b552-6def9a4ab6cd]\SAN-101718-01-eye_data.idf
## Date:	17.10.2018 17:09:25
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11529                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-101718-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
435130222	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
435153564	SMP	1	1461.31	683.08	1190.77	674.51	24.84	24.84	5.77	25.42	25.42	5.86	1458.42	686.22	1464.50	686.25	1189.54	677.44	1196.08	677.29	1116.53	587.93	1098.70	594.36	0	1	1	2	-1	-1	-27.63	17.16	738.73	34.55	18.84	723.15	0.04	0.13	-0.99	0.05	0.11	-0.99	0	 -1	
435186863	SMP	1	1461.15	682.93	1190.68	674.40	24.73	24.73	5.72	25.24	25.24	5.79	1458.42	685.96	1464.41	685.90	1189.52	677.39	1195.83	677.20	1122.85	590.64	1096.36	595.23	0	1	1	2	-1	-1	-27.67	17.27	740.00	34.82	18.98	728.18	0.05	0.12	-0.99	0.05	0.11	-0.99	0	 -1	
435220381	SMP	1	1461.78	683.00	1191.48	674.67	24.63	24.63	5.67	25.04	25.04	5.74	1458.54	685.97	1464.71	685.96	1190.04	677.26	1196.38	677.42	1111.34	591.38	1088.90	600.91	0	1	1	2	-1	-1	-27.67	17.23	738.86	34.68	18.96	727.83	0.03	0.12	-0.99	0.04	0.10	-0.99	0	 -1	
435253597	SMP	1	1463.78	684.89	1193.87	676.36	24.43	24.43	5.63	25.17	25.17	5.70	1459.54	686.89	1465.70	686.81	1191.49	678.43	1197.63	678.35	921.55	756.13	891.96	682.19	0	1	1	2	-1	-1	-27.92	17.03	739.12	34.63	18.86	733.34	-0.02	0.07	-1.00	-0.01	0.07	-1.00	0	 -1	
435286865	SMP	1	1463.77	684.47	1193.76	676.12	24.42	24.42	5.59	24.93	24.93	5.66	1459.57	686.50	1465.57	686.53	1191.35	677.96	1197.65	678.13	914.23	751.26	894.40	726.09	0	1	1	2	-1	-1	-27.97	17.15	740.88	34.49	18.86	730.06	-0.02	0.08	-1.00	-0.01	0.07	-1.00	0	 -1	
435320190	SMP	1	1464.06	685.38	1194.43	677.12	24.09	24.09	5.54	24.35	24.35	5.60	1459.59	686.94	1465.91	686.88	1191.51	678.47	1197.88	678.36	904.77	803.67	848.79	832.31	0	1	1	2	-1	-1	-27.92	17.00	738.44	34.37	18.73	728.53	-0.03	0.05	-1.00	-0.03	0.04	-1.00	0	 -1	
435353527	SMP	1	1465.26	688.03	1196.59	679.62	23.88	23.88	5.50	24.85	24.85	5.57	1460.23	688.15	1466.37	688.30	1193.15	679.63	1199.48	679.55	798.95	1042.66	731.15	1066.89	0	1	1	2	-1	-1	-28.10	16.72	739.87	34.00	18.46	728.56	-0.06	-0.01	-1.00	-0.06	-0.03	-1.00	0	 -1	
435386854	SMP	1	1466.35	691.10	1197.58	682.16	23.06	23.06	5.43	24.55	24.55	5.53	1460.63	689.53	1466.59	689.50	1193.66	681.32	1200.16	681.27	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-28.26	16.47	742.07	33.73	18.00	725.74	-0.09	-0.10	-0.99	-0.08	-0.07	-0.99	0	 -1	
435420201	SMP	1	1466.65	690.56	1197.53	681.59	23.70	23.70	5.40	25.20	25.20	5.53	1460.78	689.59	1467.02	689.60	1193.51	681.40	1199.69	681.32	0.00	0.00	619.37	1085.67	0	1	1	2	-1	-1	-28.24	16.40	739.74	34.05	18.11	730.94	-0.09	-0.07	-0.99	-0.09	-0.04	-1.00	0	 -1	
