## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order2\SAN-071918-02-[00dd5bfd-5ca5-4170-a844-a60876491780]\SAN-071918-02-eye_data.idf
## Date:	19.07.2018 09:34:53
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11275                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-071918-02                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
4368971813	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0		
4397955998	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
4397968710	SMP	1	1205.68	1001.06	1009.16	1011.64	17.85	17.85	4.13	16.69	16.69	3.87	1206.41	1001.44	1212.11	1001.32	1011.29	1011.82	1017.18	1011.60	860.26	710.38	1620.65	1035.73	0	1	1	2	-1	-1	32.25	-58.12	757.67	78.19	-59.90	748.87	0.13	0.09	-0.99	0.15	0.08	-0.99	0	 -1	
4398002067	SMP	1	1204.48	1000.54	1008.07	1011.40	17.70	17.70	4.12	16.64	16.64	3.85	1205.20	1001.00	1210.95	1000.85	1010.27	1011.65	1016.13	1011.55	865.34	701.14	1625.49	1029.61	0	1	1	2	-1	-1	32.55	-58.03	757.98	78.50	-59.92	749.52	0.14	0.09	-0.99	0.15	0.09	-0.98	0	 -1	
4398035358	SMP	1	1203.59	1000.22	1007.19	1011.26	18.00	18.00	4.12	16.83	16.83	3.85	1204.27	1000.74	1210.06	1000.62	1009.36	1011.60	1015.19	1011.53	869.39	693.02	1625.23	1024.06	0	1	1	2	-1	-1	32.76	-57.96	757.80	78.82	-59.99	750.44	0.13	0.10	-0.99	0.15	0.09	-0.98	0	 -1	
4398068699	SMP	1	1202.94	1000.17	1006.72	1011.17	18.04	18.04	4.12	16.70	16.70	3.83	1203.83	1000.58	1209.57	1000.41	1008.80	1011.47	1014.81	1011.41	869.86	690.10	1625.29	1031.88	0	1	1	2	-1	-1	32.89	-57.96	758.36	78.76	-59.83	748.85	0.14	0.09	-0.99	0.15	0.09	-0.99	0	 -1	
4398102044	SMP	1	1202.92	1000.40	1006.69	1011.41	18.31	18.31	4.13	17.00	17.00	3.84	1203.65	1000.84	1209.36	1000.70	1008.64	1011.56	1014.55	1011.49	868.56	687.86	1619.54	1045.02	0	1	1	2	-1	-1	32.99	-58.10	759.36	78.90	-59.92	749.70	0.13	0.09	-0.99	0.14	0.08	-0.99	0	 -1	
4398135457	SMP	1	1203.68	1001.17	1007.38	1012.17	18.36	18.36	4.14	16.93	16.93	3.84	1204.16	1001.31	1209.92	1001.21	1009.26	1012.20	1015.16	1012.02	846.62	695.23	1614.74	1057.52	0	1	1	2	-1	-1	32.87	-58.25	759.71	78.81	-60.11	750.29	0.12	0.08	-0.99	0.13	0.08	-0.99	0	 -1	
4398168700	SMP	1	1204.05	1001.53	1007.71	1012.67	18.49	18.49	4.16	17.08	17.08	3.85	1204.47	1001.71	1210.31	1001.67	1009.43	1012.63	1015.24	1012.53	849.42	691.71	1602.34	1064.74	0	1	1	2	-1	-1	32.78	-58.34	759.59	78.92	-60.32	751.55	0.12	0.08	-0.99	0.12	0.08	-0.99	0	 -1	
4398202111	SMP	1	1204.32	1001.92	1007.94	1013.21	18.56	18.56	4.17	17.36	17.36	3.87	1204.85	1002.05	1210.61	1001.99	1009.76	1013.17	1015.47	1013.07	849.18	690.52	1600.15	1069.48	0	1	1	2	-1	-1	32.74	-58.49	760.52	79.05	-60.60	753.44	0.13	0.08	-0.99	0.13	0.08	-0.99	0	 -1	
4398235403	SMP	1	1204.74	1002.50	1008.23	1013.76	18.72	18.72	4.19	17.53	17.53	3.89	1205.00	1002.64	1210.87	1002.62	1010.03	1013.66	1015.87	1013.54	839.79	694.98	1599.55	1078.45	0	1	1	2	-1	-1	32.67	-58.60	760.06	78.95	-60.70	753.24	0.12	0.08	-0.99	0.13	0.07	-0.99	0	 -1	
4398268662	SMP	1	1204.87	1002.97	1008.44	1014.21	18.79	18.79	4.21	17.55	17.55	3.91	1205.34	1003.06	1211.08	1003.02	1010.13	1014.26	1016.13	1014.13	835.22	698.96	1592.59	1074.77	0	1	1	2	-1	-1	32.64	-58.77	760.90	78.80	-60.76	752.27	0.12	0.08	-0.99	0.13	0.08	-0.99	0	 -1	
4398301994	SMP	1	1205.14	1003.34	1008.66	1014.59	18.86	18.86	4.23	17.77	17.77	3.93	1205.58	1003.59	1211.35	1003.52	1010.38	1014.60	1016.22	1014.52	836.54	699.71	1586.30	1078.76	0	1	1	2	-1	-1	32.59	-58.91	761.14	78.87	-60.93	753.28	0.12	0.09	-0.99	0.13	0.08	-0.99	0	 -1	
4398335327	SMP	1	1205.71	1003.56	1009.15	1014.51	19.05	19.05	4.26	17.74	17.74	3.95	1206.05	1003.64	1211.87	1003.63	1010.80	1014.44	1016.72	1014.41	827.06	704.13	1580.25	1082.40	0	1	1	2	-1	-1	32.47	-58.92	761.04	78.72	-60.87	752.89	0.12	0.08	-0.99	0.12	0.08	-0.99	0	 -1	
4398368675	SMP	1	1206.63	1003.53	1010.07	1014.00	18.98	18.98	4.27	17.85	17.85	3.97	1207.00	1003.67	1212.83	1003.65	1011.69	1013.81	1017.57	1013.66	825.24	706.16	1574.09	1092.92	0	1	1	2	-1	-1	32.23	-58.92	760.90	78.55	-60.73	753.27	0.12	0.08	-0.99	0.12	0.07	-0.99	0	 -1	
4398402001	SMP	1	1207.99	1003.50	1011.51	1013.22	19.28	19.28	4.30	17.91	17.91	3.99	1208.37	1003.65	1214.17	1003.55	1013.14	1013.18	1019.13	1013.10	821.25	709.19	1571.17	1091.01	0	1	1	2	-1	-1	31.90	-58.91	760.94	78.08	-60.50	752.17	0.12	0.08	-0.99	0.12	0.08	-0.99	0	 -1	
4398435333	SMP	1	1209.61	1003.40	1013.04	1012.57	19.30	19.30	4.32	18.05	18.05	4.01	1209.98	1003.53	1215.73	1003.50	1014.57	1012.55	1020.53	1012.45	818.12	711.62	1564.62	1093.43	0	1	1	2	-1	-1	31.53	-58.91	761.22	77.72	-60.34	752.04	0.12	0.08	-0.99	0.12	0.08	-0.99	0	 -1	
4398468663	SMP	1	1213.82	1000.90	1017.21	1009.70	19.69	19.69	4.35	18.54	18.54	4.05	1212.73	1002.07	1218.55	1002.02	1017.48	1010.62	1023.41	1010.56	818.91	709.40	1338.81	942.59	0	1	1	2	-1	-1	30.85	-58.54	761.04	77.03	-59.88	751.96	0.05	0.13	-0.99	0.06	0.12	-0.99	0	 -1	
4398501985	SMP	1	1215.93	999.81	1019.83	1008.23	19.54	19.54	4.38	18.34	18.34	4.07	1214.78	1001.08	1220.59	1001.01	1019.77	1009.47	1025.70	1009.45	823.39	704.02	1307.72	893.97	0	1	1	2	-1	-1	30.35	-58.27	760.75	76.46	-59.59	751.72	0.05	0.14	-0.99	0.04	0.14	-0.99	0	 -1	
4398535341	SMP	1	1217.65	999.19	1021.51	1007.39	19.73	19.73	4.40	18.61	18.61	4.10	1216.33	1000.79	1222.18	1000.68	1021.39	1008.67	1027.35	1008.63	834.87	693.00	1296.01	882.16	0	1	1	2	-1	-1	29.95	-58.16	760.27	76.02	-59.36	751.22	0.04	0.15	-0.99	0.04	0.14	-0.99	0	 -1	
4398568706	SMP	1	1219.13	998.81	1022.98	1006.81	19.73	19.73	4.42	18.55	18.55	4.12	1217.81	1000.29	1223.57	1000.25	1022.86	1008.21	1028.61	1008.17	837.36	689.16	1284.28	867.73	0	1	1	2	-1	-1	29.62	-58.07	760.51	75.85	-59.38	752.84	0.04	0.15	-0.99	0.04	0.15	-0.99	0	 -1	
4398602049	SMP	1	1220.42	998.51	1024.36	1006.12	19.70	19.70	4.44	18.45	18.45	4.13	1219.09	999.90	1224.95	999.79	1024.39	1007.58	1030.22	1007.46	838.53	687.13	1290.51	860.62	0	1	1	2	-1	-1	29.27	-57.92	759.90	75.49	-59.22	752.95	0.04	0.14	-0.99	0.05	0.15	-0.99	0	 -1	
4398635328	SMP	1	1221.75	998.00	1025.80	1005.57	19.80	19.80	4.45	18.75	18.75	4.16	1220.48	999.60	1226.23	999.58	1025.54	1006.77	1031.49	1006.73	852.55	675.50	1279.21	870.92	0	1	1	2	-1	-1	28.96	-57.89	760.24	75.12	-58.97	752.11	0.04	0.15	-0.99	0.04	0.13	-0.99	0	 -1	
4398668620	SMP	1	1223.06	997.69	1027.09	1004.81	19.81	19.81	4.47	18.54	18.54	4.17	1221.75	999.12	1227.53	999.03	1027.01	1006.23	1032.95	1006.20	849.00	676.41	1283.81	859.61	0	1	1	2	-1	-1	28.65	-57.76	760.26	74.75	-58.83	751.92	0.04	0.14	-0.99	0.05	0.15	-0.99	0	 -1	
4398702034	SMP	1	1224.17	997.21	1028.40	1004.12	19.79	19.79	4.48	18.62	18.62	4.18	1222.98	998.74	1228.80	998.67	1028.40	1005.57	1034.29	1005.43	859.11	668.74	1285.89	857.84	0	1	1	2	-1	-1	28.35	-57.66	760.16	74.44	-58.67	752.09	0.05	0.15	-0.99	0.05	0.14	-0.99	0	 -1	
4398735311	SMP	1	1225.39	996.75	1029.75	1003.52	19.86	19.86	4.49	18.82	18.82	4.20	1224.19	998.26	1229.93	998.16	1029.44	1004.69	1035.40	1004.76	862.04	665.53	1276.27	864.34	0	1	1	2	-1	-1	28.08	-57.57	760.50	74.10	-58.43	751.28	0.05	0.15	-0.99	0.04	0.14	-0.99	0	 -1	
4398768621	SMP	1	1226.43	996.38	1030.68	1003.05	19.74	19.74	4.49	18.79	18.79	4.21	1225.16	997.96	1230.98	997.85	1030.46	1004.53	1036.39	1004.38	866.81	661.35	1275.63	857.27	0	1	1	2	-1	-1	27.83	-57.49	760.45	73.85	-58.35	751.19	0.05	0.15	-0.99	0.04	0.14	-0.99	0	 -1	
4398801950	SMP	1	1226.98	996.40	1031.45	1002.82	19.90	19.90	4.51	18.83	18.83	4.22	1225.85	997.86	1231.56	997.75	1031.29	1004.30	1037.26	1004.15	868.91	658.97	1276.61	855.46	0	1	1	2	-1	-1	27.70	-57.51	761.00	73.63	-58.28	750.94	0.05	0.14	-0.99	0.04	0.14	-0.99	0	 -1	
4398835278	SMP	1	1227.14	996.14	1031.60	1002.69	20.00	20.00	4.52	19.08	19.08	4.24	1225.96	997.71	1231.70	997.64	1031.38	1004.09	1037.32	1004.00	873.14	656.00	1271.69	853.79	0	1	1	2	-1	-1	27.68	-57.50	761.22	73.59	-58.22	750.76	0.05	0.15	-0.99	0.04	0.14	-0.99	0	 -1	
4398868694	SMP	1	1226.23	995.54	1030.46	1002.56	20.00	20.00	4.53	19.02	19.02	4.25	1225.02	996.91	1230.78	996.84	1030.39	1003.73	1036.30	1003.79	872.16	656.15	1272.83	856.31	0	1	1	2	-1	-1	27.91	-57.32	761.46	73.84	-58.16	750.85	0.05	0.14	-0.99	0.05	0.13	-0.99	0	 -1	
4398902060	SMP	1	1212.51	991.38	1015.50	1000.51	19.96	19.96	4.54	18.41	18.41	4.24	1214.57	993.55	1220.25	993.42	1019.43	1002.28	1025.11	1002.15	1205.44	450.44	1894.52	838.04	0	1	1	2	-1	-1	30.48	-56.57	762.34	76.73	-57.98	753.29	0.20	0.17	-0.96	0.23	0.16	-0.96	0	 -1	
4398935355	SMP	1	1180.00	984.28	0.00	0.00	19.17	19.17	4.51	0.00	0.00	0.00	1189.43	987.83	1189.43	987.83	0.00	0.00	0.00	0.00	1713.94	124.39	0.00	0.00	0	1	0	1	-1	-1	36.88	-54.65	754.70	0.00	0.00	0.00	0.41	0.24	-0.88	0.00	0.00	0.00	0	 -1	
4398968608	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4399001955	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4399035282	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4399068639	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4399101918	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4399135244	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4399168605	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4399201925	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4399235252	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4399268597	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
4399301895	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
