## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-072418-01-[b2f1de39-8b05-4bdc-9743-e7bf72493a22]\SAN-072418-01-eye_data.idf
## Date:	24.07.2018 08:59:48
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11331                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-072418-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	477	268
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2093872195	SMP	1	1252.61	610.12	1008.18	606.60	23.46	23.46	4.35	24.26	24.26	4.64	1251.95	611.85	1260.87	611.75	1011.53	608.65	1020.03	608.50	1402.29	964.65	1731.48	1066.84	0	1	1	2	-1	-1	16.94	28.74	613.49	65.12	30.00	626.71	0.12	0.02	-0.99	0.21	0.03	-0.98	0	 -1	
2120858112	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
2120869380	SMP	1	1291.59	612.37	1041.47	606.24	22.74	22.74	4.10	24.08	24.08	4.21	1284.43	618.27	1293.38	618.38	1038.16	612.38	1047.48	612.38	874.81	541.43	887.78	535.46	0	1	1	2	-1	-1	10.52	27.22	607.97	56.64	27.72	594.23	-0.12	0.19	-0.97	-0.04	0.19	-0.98	0	 -1	
2120902705	SMP	1	1291.98	611.71	1042.30	605.76	22.74	22.74	4.11	24.41	24.41	4.24	1284.98	617.98	1293.87	618.12	1039.00	612.09	1048.29	612.06	879.02	527.32	888.63	534.01	0	1	1	2	-1	-1	10.44	27.30	608.66	56.54	27.81	594.74	-0.12	0.21	-0.97	-0.04	0.20	-0.98	0	 -1	
2120936031	SMP	1	1292.84	611.73	1043.04	605.74	22.75	22.75	4.12	24.59	24.59	4.27	1285.54	617.97	1294.41	618.03	1039.75	611.94	1049.07	611.97	875.23	527.11	890.11	534.35	0	1	1	2	-1	-1	10.34	27.34	609.38	56.43	27.85	595.12	-0.13	0.20	-0.97	-0.04	0.19	-0.98	0	 -1	
2120969395	SMP	1	1293.16	611.96	1043.88	605.59	23.32	23.32	4.15	24.73	24.73	4.30	1286.03	618.03	1294.90	618.13	1040.55	611.86	1049.83	611.87	876.21	529.88	890.29	532.73	0	1	1	2	-1	-1	10.26	27.36	610.07	56.34	27.89	595.69	-0.12	0.20	-0.97	-0.04	0.20	-0.98	0	 -1	
2121002867	SMP	1	1292.81	611.79	1043.73	604.85	23.28	23.28	4.17	24.50	24.50	4.32	1286.13	617.85	1295.06	617.89	1041.05	611.53	1050.17	611.51	889.65	528.73	907.59	517.80	0	1	1	2	-1	-1	10.24	27.41	610.36	56.38	28.02	596.98	-0.10	0.20	-0.98	-0.02	0.21	-0.98	0	 -1	
2121036039	SMP	1	1293.26	611.33	1044.15	604.72	23.05	23.05	4.18	24.70	24.70	4.35	1286.67	617.52	1295.44	617.61	1041.69	611.31	1050.94	611.19	897.00	519.67	947.89	518.51	0	1	1	2	-1	-1	10.17	27.53	611.57	56.26	28.08	597.17	-0.10	0.20	-0.97	-0.01	0.21	-0.98	0	 -1	
2121069349	SMP	1	1293.83	611.50	1045.18	604.64	23.62	23.62	4.21	25.01	25.01	4.37	1287.35	617.55	1296.26	617.67	1042.58	611.17	1051.83	611.08	914.89	521.83	941.12	515.81	0	1	1	2	-1	-1	10.02	27.52	611.63	56.14	28.12	597.69	-0.10	0.20	-0.98	-0.01	0.20	-0.98	0	 -1	
2121102696	SMP	1	1294.88	611.91	1046.18	604.92	23.52	23.52	4.23	25.07	25.07	4.40	1288.26	618.15	1297.19	618.21	1043.66	611.38	1052.89	611.33	912.92	512.92	951.07	513.99	0	1	1	2	-1	-1	9.85	27.43	611.94	56.00	28.11	598.30	-0.10	0.20	-0.97	-0.01	0.20	-0.98	0	 -1	
