## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-080918-01-[70acb37e-8135-4089-866f-85b3bb15fee7]\SAN-080918-01-eye_data.idf
## Date:	09.08.2018 08:43:45
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11318                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-080918-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
838991183	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
839010942	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
839044173	SMP	1	1477.07	670.76	1215.72	646.91	24.76	24.76	4.85	24.75	24.75	4.84	1469.90	676.04	1478.71	676.04	1212.06	652.29	1220.75	652.34	863.83	551.81	897.76	586.55	0	1	1	2	-1	-1	-25.70	16.40	619.75	25.04	21.12	621.45	-0.07	0.19	-0.98	-0.01	0.18	-0.98	0	 -1	
839077474	SMP	1	1477.35	671.11	1215.98	647.00	24.48	24.48	4.80	24.69	24.69	4.79	1470.28	676.35	1479.11	676.34	1212.47	652.52	1221.25	652.52	861.17	555.32	899.34	580.52	0	1	1	2	-1	-1	-25.74	16.32	618.96	24.92	21.05	620.55	-0.07	0.18	-0.98	0.00	0.19	-0.98	0	 -1	
839110799	SMP	1	1477.70	671.17	1216.24	647.00	24.84	24.84	4.76	25.01	25.01	4.77	1470.63	676.27	1479.38	676.31	1212.64	652.54	1221.42	652.55	853.64	561.70	892.18	578.08	0	1	1	2	-1	-1	-25.81	16.34	619.14	24.86	21.03	619.97	-0.07	0.18	-0.98	-0.01	0.19	-0.98	0	 -1	
839144156	SMP	1	1477.67	670.90	1216.14	646.82	25.04	25.04	4.74	24.90	24.90	4.74	1470.66	676.04	1479.53	676.11	1212.61	652.48	1221.37	652.45	856.64	563.33	891.50	573.99	0	1	1	2	-1	-1	-25.77	16.34	617.60	24.85	21.03	619.59	-0.06	0.18	-0.98	0.00	0.19	-0.98	0	 -1	
839177467	SMP	1	1477.69	670.47	1215.94	646.66	25.09	25.09	4.72	25.34	25.34	4.74	1470.73	675.65	1479.51	675.59	1212.29	652.29	1221.21	652.34	855.21	565.17	887.41	572.06	0	1	1	2	-1	-1	-25.78	16.43	617.72	24.84	21.01	618.10	-0.06	0.18	-0.98	-0.01	0.19	-0.98	0	 -1	
839210805	SMP	1	1477.54	670.25	1215.40	646.66	25.39	25.39	4.72	25.34	25.34	4.73	1470.42	675.49	1479.32	675.41	1211.85	652.30	1220.52	652.34	849.61	565.55	882.96	570.36	0	1	1	2	-1	-1	-25.68	16.43	616.55	24.98	21.04	619.00	-0.07	0.18	-0.98	-0.01	0.19	-0.98	0	 -1	
839244131	SMP	1	1476.95	670.60	1214.90	646.92	25.73	25.73	4.73	25.67	25.67	4.74	1470.00	675.77	1478.69	675.67	1211.09	652.66	1219.98	652.63	848.41	567.27	874.40	568.10	0	1	1	2	-1	-1	-25.61	16.41	617.45	25.06	20.93	617.62	-0.06	0.18	-0.98	-0.01	0.20	-0.98	0	 -1	
839277507	SMP	1	1476.59	671.11	1213.96	647.53	25.71	25.71	4.73	25.82	25.82	4.74	1469.38	676.38	1478.33	676.34	1210.35	653.25	1219.25	653.33	841.88	566.66	876.62	566.41	0	1	1	2	-1	-1	-25.45	16.24	615.78	25.17	20.78	616.96	-0.07	0.18	-0.98	0.00	0.20	-0.98	0	 -1	
