## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order3\SAN-082318-01-[c912895c-85d4-45e0-a933-a507aad3f859]\SAN-082318-01-eye_data.idf
## Date:	23.08.2018 13:30:54
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10998                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-082318-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1077181632	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
1077201609	SMP	1	1144.87	933.00	919.37	911.15	22.00	22.00	4.52	20.81	20.81	4.27	1144.49	932.00	1151.79	931.87	921.90	910.08	929.20	909.89	1487.97	1169.14	0.00	0.00	0	1	1	2	-1	-1	42.34	-37.38	683.48	90.04	-32.43	679.50	0.09	0.01	-1.00	0.14	0.00	-0.99	0	 -1	
1077234855	SMP	1	1146.88	931.75	921.06	908.93	22.21	22.21	4.53	20.94	20.94	4.28	1146.66	930.72	1154.10	930.60	923.69	907.98	930.99	907.77	1497.16	1168.27	0.00	0.00	0	1	1	2	-1	-1	41.70	-36.96	680.98	89.60	-31.95	679.02	0.10	0.01	-1.00	0.15	0.00	-0.99	0	 -1	
1077268196	SMP	1	1147.04	930.00	921.65	906.45	22.12	22.12	4.53	20.92	20.92	4.28	1148.15	929.12	1155.29	929.06	925.05	905.81	932.37	905.67	1680.29	1163.02	1584.12	1173.99	0	1	1	2	-1	-1	41.55	-36.75	683.30	89.19	-31.45	678.19	0.15	0.01	-0.99	0.18	0.01	-0.98	0	 -1	
1077301521	SMP	1	1149.55	928.61	923.69	904.69	22.05	22.05	4.53	20.93	20.93	4.28	1150.83	927.79	1158.03	927.63	927.40	903.95	934.49	903.84	1694.18	1158.98	1603.36	1173.12	0	1	1	2	-1	-1	40.90	-36.40	682.28	88.90	-31.12	679.67	0.16	0.01	-0.99	0.19	0.01	-0.98	0	 -1	
1077334869	SMP	1	1152.48	927.11	926.19	902.99	22.23	22.23	4.53	20.92	20.92	4.29	1153.63	926.30	1160.86	926.35	929.88	902.30	937.02	902.30	1692.18	1152.48	1608.77	1168.95	0	1	1	2	-1	-1	40.25	-36.06	681.64	88.37	-30.78	679.75	0.15	0.02	-0.99	0.19	0.01	-0.98	0	 -1	
1077368198	SMP	1	1155.45	925.42	928.73	901.44	22.27	22.27	4.54	20.96	20.96	4.29	1156.62	924.73	1163.88	924.60	932.52	900.70	939.62	900.64	1692.44	1146.87	1614.99	1168.89	0	1	1	2	-1	-1	39.57	-35.67	680.98	87.88	-30.46	680.27	0.16	0.02	-0.99	0.20	0.01	-0.98	0	 -1	
1077401519	SMP	1	1158.62	923.41	931.62	899.32	22.32	22.32	4.54	20.94	20.94	4.30	1159.67	922.61	1166.95	922.56	935.43	898.74	942.49	898.62	1689.13	1146.01	1618.99	1165.26	0	1	1	2	-1	-1	38.87	-35.19	680.38	87.39	-30.07	681.29	0.15	0.01	-0.99	0.20	0.02	-0.98	0	 -1	
1077434859	SMP	1	1161.55	921.02	934.54	897.21	22.20	22.20	4.54	20.93	20.93	4.30	1162.72	920.32	1169.97	920.34	938.36	896.51	945.49	896.55	1689.95	1137.40	1623.00	1164.14	0	1	1	2	-1	-1	38.20	-34.69	680.10	86.72	-29.60	681.09	0.16	0.02	-0.99	0.20	0.01	-0.98	0	 -1	
1077468213	SMP	1	1165.01	918.43	937.77	894.69	22.26	22.26	4.54	20.95	20.95	4.30	1166.00	917.68	1173.22	917.60	941.53	893.98	948.70	893.94	1684.94	1136.13	1624.37	1164.16	0	1	1	2	-1	-1	37.50	-34.11	680.10	86.05	-29.05	681.23	0.15	0.01	-0.99	0.20	0.01	-0.98	0	 -1	
