## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order1\SAN-100518-01-[1d47086d-51a5-433a-b09c-a4f96dbad239]\SAN-100518-01-eye_data.idf
## Date:	05.10.2018 10:04:42
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11341                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	SAN-100518-01                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
161702943	SMP	1	1399.84	794.67	1190.31	808.16	13.58	13.58	3.66	13.76	13.76	3.73	1394.31	803.49	1398.59	803.37	1185.11	817.24	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-14.82	-12.29	882.36	44.10	-16.30	890.08	-0.18	0.51	-0.84	-0.21	0.53	-0.82	0		
184967125	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
185000695	SMP	1	1391.91	791.99	1181.12	808.30	15.45	15.45	4.19	15.20	15.20	4.21	1389.58	794.93	1394.36	794.87	1179.10	811.48	1183.58	811.53	987.84	519.43	986.83	475.27	0	1	1	2	-1	-1	-13.14	-9.59	854.66	44.53	-14.28	865.99	0.02	0.17	-0.98	-0.04	0.20	-0.98	0	 -1	
185033952	SMP	1	1392.37	791.23	1182.11	807.39	15.03	15.03	4.14	15.26	15.26	4.17	1390.52	795.04	1394.90	795.14	1180.02	811.42	1184.49	811.39	998.89	263.21	985.90	294.41	0	1	1	2	-1	-1	-13.63	-9.86	873.22	44.28	-14.25	865.95	0.03	0.23	-0.97	-0.04	0.24	-0.97	0	 -1	
185067260	SMP	1	1393.14	792.02	1182.67	808.03	15.00	15.00	4.11	15.13	15.13	4.12	1391.24	796.02	1395.53	795.98	1180.59	812.08	1185.21	812.11	996.24	240.49	989.65	282.32	0	1	1	2	-1	-1	-13.87	-10.15	876.99	43.96	-14.40	863.19	0.03	0.24	-0.97	-0.04	0.24	-0.97	0	 -1	
185100595	SMP	1	1393.81	791.07	1183.55	806.53	14.77	14.77	4.05	15.00	15.00	4.09	1391.66	795.48	1396.33	795.46	1181.35	811.41	1185.69	811.43	990.42	196.24	980.75	67.90	0	1	1	2	-1	-1	-13.76	-9.80	859.45	44.10	-14.31	869.22	0.03	0.26	-0.97	-0.05	0.29	-0.96	0	 -1	
185133930	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
185167256	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
185200592	SMP	1	1394.29	789.31	1183.72	805.96	14.63	14.63	4.01	14.90	14.90	4.05	1392.03	795.06	1396.44	795.08	1181.46	811.17	1185.72	811.25	0.00	0.00	971.62	-3.47	0	1	1	2	-1	-1	-14.02	-9.83	871.50	44.23	-14.30	872.22	0.01	0.33	-0.94	-0.05	0.31	-0.95	0	 -1	
185233932	SMP	1	1393.78	790.48	1183.31	806.63	15.27	15.27	4.00	15.12	15.12	4.03	1391.66	795.43	1396.31	795.37	1181.04	811.65	1185.48	811.82	985.10	56.47	970.14	18.98	0	1	1	2	-1	-1	-13.75	-9.78	858.92	44.15	-14.39	868.85	0.03	0.28	-0.96	-0.05	0.30	-0.95	0	 -1	
