subid,tr.num,condition_long,correct,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
30,30,gaze_clear,0,boat,0.041999999999999815,gaze_clear,0.04,guess,0,0.020000000000000018,cs,0.5
28,50,gaze_clear,0,bottle,0.07000000000000028,gaze_clear,0.07,guess,0,0.030000000000000027,cs,0.49
3,32,gaze_clear,1,ball,0.07200000000000006,gaze_clear,0.07,guess,0,0.030000000000000027,cs,0.5
22,30,gaze_clear,1,boat,0.1070000000000002,gaze_clear,0.11,guess,0,0.030000000000000027,cs,0.5
6,15,gaze_clear,0,bottle,0.10899999999999999,gaze_clear,0.11,guess,0,0.030000000000000027,cs,0.5
7,2,gaze_clear,0,juice,0.11000000000000032,gaze_clear,0.11,guess,0,0.050000000000000044,cs,0.49
21,48,gaze_clear,1,bottle,0.13699999999999957,gaze_clear,0.14,guess,0,0.040000000000000036,cs,0.5
3,28,gaze_clear,0,bottle,0.1379999999999999,gaze_clear,0.14,guess,0,0.050000000000000044,cs,0.49
22,25,gaze_clear,0,shoe,0.14000000000000057,gaze_clear,0.14,guess,0,0.050000000000000044,cs,0.49
27,62,gaze_clear,1,ball,0.14000000000000057,gaze_clear,0.14,guess,0,0.06000000000000005,cs,0.49
33,47,gaze_clear,0,boat,0.14100000000000001,gaze_clear,0.14,guess,0,0.06000000000000005,cs,0.49
3,17,gaze_clear,1,bunny,0.16800000000000015,gaze_clear,0.17,guess,0,0.06000000000000005,cs,0.49
19,3,gaze_clear,1,chicken,0.16999999999999993,gaze_clear,0.17,guess,0,0.050000000000000044,cs,0.5
11,31,gaze_clear,1,boat,0.17499999999999982,gaze_clear,0.17,guess,0,0.050000000000000044,cs,0.5
27,56,gaze_clear,0,bottle,0.1750000000000007,gaze_clear,0.18,guess,0,0.050000000000000044,cs,0.5
3,18,gaze_clear,0,bottle,0.1750000000000007,gaze_clear,0.18,guess,0,0.07000000000000006,cs,0.49
22,21,gaze_clear,0,bunny,0.20099999999999962,gaze_clear,0.2,guess,0,0.07000000000000006,cs,0.49
26,37,gaze_clear,0,bunny,0.20199999999999996,gaze_clear,0.2,guess,0,0.08000000000000007,cs,0.48
27,61,gaze_clear,1,bunny,0.20199999999999996,gaze_clear,0.2,guess,0,0.07000000000000006,cs,0.49
13,32,gaze_clear,1,cookie,0.2029999999999994,gaze_clear,0.2,guess,0,0.07000000000000006,cs,0.49
20,64,gaze_clear,1,juice,0.20500000000000007,gaze_clear,0.21,guess,0,0.06000000000000005,cs,0.5
10,51,gaze_clear,1,ball,0.20599999999999952,gaze_clear,0.21,guess,0,0.06000000000000005,cs,0.5
6,2,gaze_clear,1,ball,0.2060000000000004,gaze_clear,0.21,guess,0,0.050000000000000044,cs,0.51
3,26,gaze_clear,1,boat,0.20800000000000018,gaze_clear,0.21,guess,0,0.05999999999999994,cs,0.51
27,57,gaze_clear,1,shoe,0.23399999999999999,gaze_clear,0.23,guess,0,0.04999999999999993,cs,0.52
26,48,gaze_clear,1,bunny,0.23500000000000032,gaze_clear,0.24,guess,0,0.04999999999999993,cs,0.52
24,35,gaze_clear,1,cookie,0.23599999999999977,gaze_clear,0.24,guess,0,0.039999999999999925,cs,0.53
15,29,gaze_clear,1,ball,0.23899999999999988,gaze_clear,0.24,guess,0,0.039999999999999925,cs,0.53
10,63,gaze_clear,1,chicken,0.2400000000000002,gaze_clear,0.24,guess,0,0.029999999999999916,cs,0.54
27,53,gaze_clear,1,chicken,0.2400000000000002,gaze_clear,0.24,guess,0,0.029999999999999916,cs,0.54
28,60,gaze_clear,1,chicken,0.2400000000000002,gaze_clear,0.24,guess,0,0.029999999999999916,cs,0.54
16,32,gaze_clear,0,chicken,0.242,gaze_clear,0.24,guess,0,0.029999999999999916,cs,0.54
12,39,gaze_clear,1,cookie,0.24299999999999944,gaze_clear,0.24,guess,0,0.029999999999999916,cs,0.54
10,64,gaze_clear,1,boat,0.24300000000000033,gaze_clear,0.24,guess,0,0.019999999999999907,cs,0.55
20,62,gaze_clear,1,boat,0.24300000000000033,gaze_clear,0.24,guess,0,0.029999999999999916,cs,0.55
14,46,gaze_clear,1,bunny,0.2679999999999998,gaze_clear,0.27,guess,0,0.019999999999999907,cs,0.56
20,51,gaze_clear,1,bottle,0.2699999999999996,gaze_clear,0.27,guess,0,0.019999999999999907,cs,0.56
16,22,gaze_clear,1,ball,0.27200000000000024,gaze_clear,0.27,guess,0,0.010000000000000009,cs,0.57
12,38,gaze_clear,0,ball,0.2730000000000006,gaze_clear,0.27,guess,0,0.019999999999999907,cs,0.56
15,28,gaze_clear,1,juice,0.2759999999999998,gaze_clear,0.28,guess,0,0.010000000000000009,cs,0.57
