t.rel.noun,gaze_condition,target_looking,age_code,ci_lower,ci_upper,mean
0,gaze,center,adults,0.7352006541252865,0.913747334160937,0.8355551311433664
0,gaze,center,children,0.584441866004366,0.703817584421751,0.6473302314968982
0,gaze,distracter,adults,0.022547905525846703,0.11933238636363634,0.06208778966131907
0,gaze,distracter,children,0.14340874865874867,0.2302909937284937,0.1855827505827506
0,gaze,target,adults,0.04310995989304815,0.17433652438248026,0.10235707919531449
0,gaze,target,children,0.14165238696488694,0.19518549197715865,0.16708701792035124
0,straight_ahead,center,adults,0.7526702556022409,0.9296383793902175,0.8527970803706098
0,straight_ahead,center,children,0.542021786084286,0.6514874685499685,0.5965632515632515
0,straight_ahead,distracter,adults,0.025454306722689078,0.12430234593837536,0.07162114845938375
0,straight_ahead,distracter,children,0.1400453389203389,0.1979662259037259,0.16961658711658711
0,straight_ahead,target,adults,0.03408657212885155,0.12415646547080371,0.07558177117000646
0,straight_ahead,target,children,0.1882087680837681,0.2790090256965257,0.2338201613201613
0.03333333333333333,gaze,NA,adults,NA,NA,NaN
0.03333333333333333,gaze,NA,children,NA,NA,NaN
0.03333333333333333,straight_ahead,NA,adults,NA,NA,NaN
0.03333333333333333,straight_ahead,NA,children,NA,NA,NaN
0.06666666666666667,gaze,NA,adults,NA,NA,NaN
0.06666666666666667,gaze,NA,children,NA,NA,NaN
0.06666666666666667,straight_ahead,NA,adults,NA,NA,NaN
0.06666666666666667,straight_ahead,NA,children,NA,NA,NaN
0.1,gaze,center,adults,0.732987065018315,0.9172137605042016,0.8306534152122388
0.1,gaze,center,children,0.5693818658193659,0.6842058427683428,0.6276870351870352
0.1,gaze,distracter,adults,0.026955969887955195,0.1186001804567981,0.06393018745959922
0.1,gaze,distracter,children,0.14973226541976542,0.23279203897953898,0.19197043697043698
0.1,gaze,target,adults,0.0452201505602241,0.18412946428571428,0.10541639732816203
0.1,gaze,target,children,0.15116121609871608,0.20945769970769973,0.18034252784252786
0.1,straight_ahead,center,adults,0.7382380364733306,0.9220171954271219,0.8343494740553564
0.1,straight_ahead,center,children,0.552361671390204,0.6650173467836511,0.6073443766378549
0.1,straight_ahead,distracter,adults,0.03796518126481363,0.12997703889248005,0.07856873518638224
